contig,lg,Tce_F_CC22B,Tce_F_CC22C,Tce_F_CC24B,Tce_F_CC24C,Tce_F_CC25B,Tce_M_05_HM15,Tce_M_06_HM16,Tce_M_07_HM33,Tce_M_08_HM61
lg10_ord10_scaf794,lg10,19.35837152536763184870897900,14.02857392399593639819620210,15.09172983483573211486570348,12.60828533471851283206384084,14.27463788435283463806822622,30.15906656676212759893537310,29.35929548912618770714486005,25.61743993086360731999944838,26.83942911910858183055148225
lg10_ord11_scaf1702,lg10,19.28651145196872220746370367,14.36702895621340047817600111,15.71270458194250337841739914,12.87889817392208272213816283,14.43404867231083750101063768,31.28151168297162129384723778,29.86696398664803243280703173,25.62831200406565102392035020,28.13647073770775823236581619
lg10_ord12_scaf222,lg10,19.29774066538065163966915942,13.87142668393097798800306530,15.34742488703326903258198346,12.62415241920566551277647121,14.03241814866686044975292657,30.12107391063076394577596914,29.14568083925692994741431705,25.03470126575588616124514441,26.53837697856935232407578680
lg10_ord13_scaf861,lg10,28.92263012706745318101504425,19.84601974680954048725587033,22.56208360715733303950542467,18.56434240920520862437381206,21.91461019923893324728373151,44.38272921528272409952895713,40.17465576879941129479727842,35.09329560792863129975562438,38.68468067858506121196141935
lg10_ord14_scaf771,lg10,20.45643987169097060091633972,14.79894554737970133980245562,16.25112932340781053486545621,13.74721403742287056567250426,15.43799500145805715226231432,32.36606537463123677238028277,31.25431200276225796698529241,27.36487030447453588162364951,28.07209063927308247594205699
lg10_ord15_scaf1028,lg10,19.69854929405164158830998452,13.88190182108100583403991445,15.64785895375373855233129585,12.78778310701645595784979984,14.64877645460796348557519921,30.22048494665839861299181210,29.39390104489637513340673340,25.39494087919783005774982388,26.66519444690517470481782862
lg10_ord16_scaf3381,lg10,19.64577488898482620421653809,14.26224741290384195438087573,15.60561953755359473583387182,12.87171694719023122320263208,14.45142335666546217553438357,30.73327847034466504442003193,29.80995671092380374203932822,25.93427639217858936030350943,27.23205647965033641046377004
lg10_ord17_scaf2737,lg10,14.81851792828685258964143426,11.37035856573705179282868526,11.86728286852589641434262948,9.603187250996015936254980080,11.67681274900398406374501992,23.50737848605577689243027888,21.81360956175298804780876494,20.39694023904382470119521912,20.59509163346613545816733068
lg10_ord18_scaf2065,lg10,20.14660339869602812833841230,14.72151631466782872575721845,15.99820462148647397499062763,13.31495378899442010682084949,14.83344356275969147164263262,31.76847203379845249080433479,30.95703938050123672166525738,26.75634439796184904100051396,28.29234279755782629448650871
lg10_ord19_scaf1865,lg10,18.26307207421679193362600900,13.07063917940407133636655335,14.41458385394409786348735526,11.96670765013182234222351687,13.49486979678805954259199839,28.87074756502027979162754385,28.08191838104715587566853815,24.23101699125669647147890916,25.46968825457755486190075545
