feature	depth	Nsites	totalNsites
sel_scaf	0	76568364	992877642
sel_scaf	1	10963403	992877642
sel_scaf	2	11778146	992877642
sel_scaf	3	14020700	992877642
sel_scaf	4	17591350	992877642
sel_scaf	5	22567171	992877642
sel_scaf	6	29099047	992877642
sel_scaf	7	37081398	992877642
sel_scaf	8	46141840	992877642
sel_scaf	9	55424485	992877642
sel_scaf	10	63884664	992877642
sel_scaf	11	70556305	992877642
sel_scaf	12	74366733	992877642
sel_scaf	13	74748392	992877642
sel_scaf	14	71802970	992877642
sel_scaf	15	65907571	992877642
sel_scaf	16	57847884	992877642
sel_scaf	17	48695616	992877642
sel_scaf	18	39307229	992877642
sel_scaf	19	30500752	992877642
sel_scaf	20	22807433	992877642
sel_scaf	21	16455691	992877642
sel_scaf	22	11481319	992877642
sel_scaf	23	7758075	992877642
sel_scaf	24	5096117	992877642
sel_scaf	25	3277154	992877642
sel_scaf	26	2077158	992877642
sel_scaf	27	1298848	992877642
sel_scaf	28	818903	992877642
sel_scaf	29	524573	992877642
sel_scaf	30	346184	992877642
sel_scaf	31	243614	992877642
sel_scaf	32	179658	992877642
sel_scaf	33	141818	992877642
sel_scaf	34	116270	992877642
sel_scaf	35	98299	992877642
sel_scaf	36	85947	992877642
sel_scaf	37	76398	992877642
sel_scaf	38	68114	992877642
sel_scaf	39	61249	992877642
sel_scaf	40	55848	992877642
sel_scaf	41	49534	992877642
sel_scaf	42	44471	992877642
sel_scaf	43	40942	992877642
sel_scaf	44	37667	992877642
sel_scaf	45	34922	992877642
sel_scaf	46	31629	992877642
sel_scaf	47	29349	992877642
sel_scaf	48	27273	992877642
sel_scaf	49	25020	992877642
sel_scaf	50	23334	992877642
sel_scaf	51	22110	992877642
sel_scaf	52	20477	992877642
sel_scaf	53	18617	992877642
sel_scaf	54	17193	992877642
sel_scaf	55	16359	992877642
sel_scaf	56	15300	992877642
sel_scaf	57	14062	992877642
sel_scaf	58	13402	992877642
sel_scaf	59	12196	992877642
sel_scaf	60	11414	992877642
sel_scaf	61	11204	992877642
sel_scaf	62	10273	992877642
sel_scaf	63	10022	992877642
sel_scaf	64	9453	992877642
sel_scaf	65	9226	992877642
sel_scaf	66	8923	992877642
sel_scaf	67	8278	992877642
sel_scaf	68	8278	992877642
sel_scaf	69	7617	992877642
sel_scaf	70	7197	992877642
sel_scaf	71	6954	992877642
sel_scaf	72	6837	992877642
sel_scaf	73	6886	992877642
sel_scaf	74	6315	992877642
sel_scaf	75	6139	992877642
sel_scaf	76	5968	992877642
sel_scaf	77	5719	992877642
sel_scaf	78	5470	992877642
sel_scaf	79	5190	992877642
sel_scaf	80	5145	992877642
sel_scaf	81	4844	992877642
sel_scaf	82	4494	992877642
sel_scaf	83	4459	992877642
sel_scaf	84	4473	992877642
sel_scaf	85	4319	992877642
sel_scaf	86	4216	992877642
sel_scaf	87	3998	992877642
sel_scaf	88	3923	992877642
sel_scaf	89	3710	992877642
sel_scaf	90	3744	992877642
sel_scaf	91	3664	992877642
sel_scaf	92	3664	992877642
sel_scaf	93	3555	992877642
sel_scaf	94	3442	992877642
sel_scaf	95	3373	992877642
sel_scaf	96	3264	992877642
sel_scaf	97	3309	992877642
sel_scaf	98	3166	992877642
sel_scaf	99	2900	992877642
sel_scaf	100	2845	992877642
sel_scaf	101	2843	992877642
sel_scaf	102	2788	992877642
sel_scaf	103	2929	992877642
sel_scaf	104	2696	992877642
sel_scaf	105	2722	992877642
sel_scaf	106	2652	992877642
sel_scaf	107	2742	992877642
sel_scaf	108	2569	992877642
sel_scaf	109	2524	992877642
sel_scaf	110	2480	992877642
sel_scaf	111	2487	992877642
sel_scaf	112	2399	992877642
sel_scaf	113	2437	992877642
sel_scaf	114	2451	992877642
sel_scaf	115	2269	992877642
sel_scaf	116	2341	992877642
sel_scaf	117	2004	992877642
sel_scaf	118	2057	992877642
sel_scaf	119	2014	992877642
sel_scaf	120	2083	992877642
sel_scaf	121	2140	992877642
sel_scaf	122	1899	992877642
sel_scaf	123	1993	992877642
sel_scaf	124	1770	992877642
sel_scaf	125	1903	992877642
sel_scaf	126	1795	992877642
sel_scaf	127	1855	992877642
sel_scaf	128	1705	992877642
sel_scaf	129	1670	992877642
sel_scaf	130	1833	992877642
sel_scaf	131	1705	992877642
sel_scaf	132	1728	992877642
sel_scaf	133	1685	992877642
sel_scaf	134	1611	992877642
sel_scaf	135	1499	992877642
sel_scaf	136	1513	992877642
sel_scaf	137	1470	992877642
sel_scaf	138	1413	992877642
sel_scaf	139	1410	992877642
sel_scaf	140	1399	992877642
sel_scaf	141	1368	992877642
sel_scaf	142	1277	992877642
sel_scaf	143	1257	992877642
sel_scaf	144	1216	992877642
sel_scaf	145	1121	992877642
sel_scaf	146	1108	992877642
sel_scaf	147	1113	992877642
sel_scaf	148	1164	992877642
sel_scaf	149	1177	992877642
sel_scaf	150	1033	992877642
sel_scaf	151	1055	992877642
sel_scaf	152	1068	992877642
sel_scaf	153	1081	992877642
sel_scaf	154	1005	992877642
sel_scaf	155	969	992877642
sel_scaf	156	904	992877642
sel_scaf	157	1005	992877642
sel_scaf	158	950	992877642
sel_scaf	159	827	992877642
sel_scaf	160	879	992877642
sel_scaf	161	774	992877642
sel_scaf	162	822	992877642
sel_scaf	163	787	992877642
sel_scaf	164	829	992877642
sel_scaf	165	770	992877642
sel_scaf	166	892	992877642
sel_scaf	167	856	992877642
sel_scaf	168	813	992877642
sel_scaf	169	802	992877642
sel_scaf	170	774	992877642
sel_scaf	171	791	992877642
sel_scaf	172	750	992877642
sel_scaf	173	747	992877642
sel_scaf	174	752	992877642
sel_scaf	175	670	992877642
sel_scaf	176	689	992877642
sel_scaf	177	734	992877642
sel_scaf	178	723	992877642
sel_scaf	179	671	992877642
sel_scaf	180	614	992877642
sel_scaf	181	616	992877642
sel_scaf	182	675	992877642
sel_scaf	183	787	992877642
sel_scaf	184	679	992877642
sel_scaf	185	652	992877642
sel_scaf	186	633	992877642
sel_scaf	187	580	992877642
sel_scaf	188	543	992877642
sel_scaf	189	555	992877642
sel_scaf	190	560	992877642
