feature	depth	Nsites	totalNsites	propsites
genome	0	108615425	1108645000	0.0979713
genome	1	10554107	1108645000	0.00951983
genome	2	8692090	1108645000	0.00784028
genome	3	8071684	1108645000	0.00728068
genome	4	7891698	1108645000	0.00711833
genome	5	7925001	1108645000	0.00714837
genome	6	8090450	1108645000	0.0072976
genome	7	8364674	1108645000	0.00754495
genome	8	8738359	1108645000	0.00788202
genome	9	9264686	1108645000	0.00835676
genome	10	9896821	1108645000	0.00892695
genome	11	10694068	1108645000	0.00964607
genome	12	11653744	1108645000	0.0105117
genome	13	12760650	1108645000	0.0115101
genome	14	14062576	1108645000	0.0126845
genome	15	15567869	1108645000	0.0140422
genome	16	17319045	1108645000	0.0156218
genome	17	19301632	1108645000	0.0174101
genome	18	21532556	1108645000	0.0194224
genome	19	24003046	1108645000	0.0216508
genome	20	26711691	1108645000	0.024094
genome	21	29590011	1108645000	0.0266903
genome	22	32524906	1108645000	0.0293375
genome	23	35417408	1108645000	0.0319466
genome	24	38160891	1108645000	0.0344212
genome	25	40607319	1108645000	0.0366279
genome	26	42630487	1108645000	0.0384528
genome	27	44098280	1108645000	0.0397767
genome	28	44849432	1108645000	0.0404543
genome	29	44868353	1108645000	0.0404713
genome	30	44152436	1108645000	0.0398256
genome	31	42678299	1108645000	0.0384959
genome	32	40539911	1108645000	0.0365671
genome	33	37796719	1108645000	0.0340927
genome	34	34579396	1108645000	0.0311907
genome	35	31103412	1108645000	0.0280553
genome	36	27448720	1108645000	0.0247588
genome	37	23797235	1108645000	0.0214652
genome	38	20260883	1108645000	0.0182754
genome	39	16946245	1108645000	0.0152855
genome	40	13960878	1108645000	0.0125927
genome	41	11286508	1108645000	0.0101805
genome	42	8976365	1108645000	0.0080967
genome	43	7036852	1108645000	0.00634725
genome	44	5436042	1108645000	0.00490332
genome	45	4142634	1108645000	0.00373666
genome	46	3121104	1108645000	0.00281524
genome	47	2330750	1108645000	0.00210234
genome	48	1734856	1108645000	0.00156484
genome	49	1280974	1108645000	0.00115544
genome	50	948081	1108645000	0.000855171
genome	51	707634	1108645000	0.000638287
genome	52	535261	1108645000	0.000482806
genome	53	416992	1108645000	0.000376128
genome	54	328821	1108645000	0.000296597
genome	55	269129	1108645000	0.000242755
genome	56	225886	1108645000	0.00020375
genome	57	194136	1108645000	0.000175111
genome	58	169826	1108645000	0.000153183
genome	59	152247	1108645000	0.000137327
genome	60	139007	1108645000	0.000125385
genome	61	128640	1108645000	0.000116034
genome	62	118564	1108645000	0.000106945
genome	63	110103	1108645000	9.93131e-05
genome	64	103061	1108645000	9.29612e-05
genome	65	97276	1108645000	8.77431e-05
genome	66	91257	1108645000	8.2314e-05
genome	67	86669	1108645000	7.81756e-05
genome	68	82395	1108645000	7.43205e-05
genome	69	77549	1108645000	6.99494e-05
genome	70	72265	1108645000	6.51832e-05
genome	71	67505	1108645000	6.08896e-05
genome	72	64367	1108645000	5.80592e-05
