feature	depth	Nsites	totalNsites
sel_scaf	0	73596660	992877642
sel_scaf	1	8049856	992877642
sel_scaf	2	7745310	992877642
sel_scaf	3	8339857	992877642
sel_scaf	4	9384013	992877642
sel_scaf	5	10876777	992877642
sel_scaf	6	12902496	992877642
sel_scaf	7	15560885	992877642
sel_scaf	8	18939370	992877642
sel_scaf	9	23159044	992877642
sel_scaf	10	28125501	992877642
sel_scaf	11	33752156	992877642
sel_scaf	12	39889207	992877642
sel_scaf	13	46114443	992877642
sel_scaf	14	51933054	992877642
sel_scaf	15	56873014	992877642
sel_scaf	16	60383061	992877642
sel_scaf	17	61994373	992877642
sel_scaf	18	61605418	992877642
sel_scaf	19	59206387	992877642
sel_scaf	20	55066583	992877642
sel_scaf	21	49563944	992877642
sel_scaf	22	43222979	992877642
sel_scaf	23	36490475	992877642
sel_scaf	24	29859554	992877642
sel_scaf	25	23721090	992877642
sel_scaf	26	18310889	992877642
sel_scaf	27	13755410	992877642
sel_scaf	28	10060361	992877642
sel_scaf	29	7178001	992877642
sel_scaf	30	4995885	992877642
sel_scaf	31	3415270	992877642
sel_scaf	32	2303472	992877642
sel_scaf	33	1536748	992877642
sel_scaf	34	1016345	992877642
sel_scaf	35	678672	992877642
sel_scaf	36	463573	992877642
sel_scaf	37	327253	992877642
sel_scaf	38	240350	992877642
sel_scaf	39	184902	992877642
sel_scaf	40	149727	992877642
sel_scaf	41	126511	992877642
sel_scaf	42	110022	992877642
sel_scaf	43	97518	992877642
sel_scaf	44	86837	992877642
sel_scaf	45	79357	992877642
sel_scaf	46	71896	992877642
sel_scaf	47	64895	992877642
sel_scaf	48	59525	992877642
sel_scaf	49	55013	992877642
sel_scaf	50	49043	992877642
sel_scaf	51	45501	992877642
sel_scaf	52	41581	992877642
sel_scaf	53	39634	992877642
sel_scaf	54	36558	992877642
sel_scaf	55	34763	992877642
sel_scaf	56	32037	992877642
sel_scaf	57	29908	992877642
sel_scaf	58	27548	992877642
sel_scaf	59	26035	992877642
sel_scaf	60	24313	992877642
sel_scaf	61	23442	992877642
sel_scaf	62	21591	992877642
sel_scaf	63	20654	992877642
sel_scaf	64	19591	992877642
sel_scaf	65	18403	992877642
sel_scaf	66	17699	992877642
sel_scaf	67	16770	992877642
sel_scaf	68	15869	992877642
sel_scaf	69	15089	992877642
sel_scaf	70	14991	992877642
sel_scaf	71	13689	992877642
sel_scaf	72	13005	992877642
sel_scaf	73	12505	992877642
sel_scaf	74	11966	992877642
sel_scaf	75	11080	992877642
sel_scaf	76	10798	992877642
sel_scaf	77	10414	992877642
sel_scaf	78	10156	992877642
sel_scaf	79	9530	992877642
sel_scaf	80	9099	992877642
sel_scaf	81	8596	992877642
sel_scaf	82	8535	992877642
sel_scaf	83	8146	992877642
sel_scaf	84	8266	992877642
sel_scaf	85	7904	992877642
sel_scaf	86	7523	992877642
sel_scaf	87	7216	992877642
sel_scaf	88	6903	992877642
sel_scaf	89	7076	992877642
sel_scaf	90	6778	992877642
sel_scaf	91	6342	992877642
sel_scaf	92	6160	992877642
sel_scaf	93	6313	992877642
sel_scaf	94	5982	992877642
sel_scaf	95	6079	992877642
sel_scaf	96	5805	992877642
sel_scaf	97	5674	992877642
sel_scaf	98	5530	992877642
sel_scaf	99	5468	992877642
sel_scaf	100	5267	992877642
sel_scaf	101	5033	992877642
sel_scaf	102	5146	992877642
sel_scaf	103	4884	992877642
sel_scaf	104	4643	992877642
sel_scaf	105	4526	992877642
sel_scaf	106	4509	992877642
sel_scaf	107	4701	992877642
sel_scaf	108	4382	992877642
sel_scaf	109	4284	992877642
sel_scaf	110	4215	992877642
sel_scaf	111	3928	992877642
sel_scaf	112	3882	992877642
sel_scaf	113	3725	992877642
sel_scaf	114	3608	992877642
sel_scaf	115	3477	992877642
sel_scaf	116	3516	992877642
sel_scaf	117	3399	992877642
sel_scaf	118	3344	992877642
sel_scaf	119	3226	992877642
sel_scaf	120	3204	992877642
sel_scaf	121	3236	992877642
sel_scaf	122	3092	992877642
sel_scaf	123	3035	992877642
sel_scaf	124	2978	992877642
sel_scaf	125	2857	992877642
sel_scaf	126	2904	992877642
sel_scaf	127	3004	992877642
sel_scaf	128	2823	992877642
sel_scaf	129	2759	992877642
sel_scaf	130	2820	992877642
sel_scaf	131	2585	992877642
sel_scaf	132	2568	992877642
sel_scaf	133	2359	992877642
sel_scaf	134	2500	992877642
sel_scaf	135	2362	992877642
sel_scaf	136	2260	992877642
sel_scaf	137	2136	992877642
sel_scaf	138	2191	992877642
sel_scaf	139	2209	992877642
sel_scaf	140	2095	992877642
sel_scaf	141	1987	992877642
sel_scaf	142	2074	992877642
sel_scaf	143	1945	992877642
sel_scaf	144	1930	992877642
sel_scaf	145	2009	992877642
sel_scaf	146	1948	992877642
sel_scaf	147	1750	992877642
sel_scaf	148	1904	992877642
sel_scaf	149	1747	992877642
sel_scaf	150	1793	992877642
sel_scaf	151	1742	992877642
sel_scaf	152	1729	992877642
sel_scaf	153	1700	992877642
sel_scaf	154	1593	992877642
sel_scaf	155	1531	992877642
sel_scaf	156	1491	992877642
sel_scaf	157	1558	992877642
sel_scaf	158	1505	992877642
sel_scaf	159	1540	992877642
sel_scaf	160	1521	992877642
sel_scaf	161	1518	992877642
sel_scaf	162	1513	992877642
sel_scaf	163	1449	992877642
sel_scaf	164	1413	992877642
sel_scaf	165	1390	992877642
sel_scaf	166	1416	992877642
sel_scaf	167	1355	992877642
sel_scaf	168	1239	992877642
sel_scaf	169	1242	992877642
sel_scaf	170	1200	992877642
sel_scaf	171	1053	992877642
sel_scaf	172	1163	992877642
sel_scaf	173	1099	992877642
sel_scaf	174	1131	992877642
sel_scaf	175	1127	992877642
sel_scaf	176	1152	992877642
sel_scaf	177	1107	992877642
sel_scaf	178	1105	992877642
sel_scaf	179	1069	992877642
sel_scaf	180	1039	992877642
sel_scaf	181	1011	992877642
sel_scaf	182	978	992877642
sel_scaf	183	910	992877642
sel_scaf	184	953	992877642
sel_scaf	185	956	992877642
sel_scaf	186	909	992877642
sel_scaf	187	901	992877642
sel_scaf	188	842	992877642
sel_scaf	189	768	992877642
sel_scaf	190	840	992877642
sel_scaf	191	835	992877642
sel_scaf	192	821	992877642
sel_scaf	193	852	992877642
sel_scaf	194	822	992877642
sel_scaf	195	820	992877642
sel_scaf	196	832	992877642
sel_scaf	197	758	992877642
sel_scaf	198	697	992877642
sel_scaf	199	775	992877642
sel_scaf	200	807	992877642
sel_scaf	201	810	992877642
sel_scaf	202	772	992877642
sel_scaf	203	691	992877642
sel_scaf	204	721	992877642
sel_scaf	205	691	992877642
sel_scaf	206	694	992877642
sel_scaf	207	712	992877642
sel_scaf	208	703	992877642
sel_scaf	209	767	992877642
sel_scaf	210	664	992877642
sel_scaf	211	626	992877642
sel_scaf	212	644	992877642
sel_scaf	213	664	992877642
sel_scaf	214	651	992877642
sel_scaf	215	628	992877642
sel_scaf	216	612	992877642
sel_scaf	217	683	992877642
sel_scaf	218	617	992877642
sel_scaf	219	646	992877642
sel_scaf	220	642	992877642
sel_scaf	221	636	992877642
sel_scaf	222	577	992877642
sel_scaf	223	587	992877642
sel_scaf	224	528	992877642
sel_scaf	225	531	992877642
sel_scaf	226	430	992877642
sel_scaf	227	522	992877642
sel_scaf	228	539	992877642
sel_scaf	229	532	992877642
sel_scaf	230	529	992877642
sel_scaf	231	474	992877642
sel_scaf	232	451	992877642
sel_scaf	233	467	992877642
sel_scaf	234	435	992877642
sel_scaf	235	471	992877642
sel_scaf	236	439	992877642
sel_scaf	237	436	992877642
sel_scaf	238	473	992877642
sel_scaf	239	490	992877642
sel_scaf	240	441	992877642
sel_scaf	241	429	992877642
sel_scaf	242	464	992877642
sel_scaf	243	464	992877642
sel_scaf	244	433	992877642
sel_scaf	245	438	992877642
sel_scaf	246	446	992877642
sel_scaf	247	443	992877642
sel_scaf	248	449	992877642
sel_scaf	249	433	992877642
sel_scaf	250	447	992877642
sel_scaf	251	442	992877642
sel_scaf	252	463	992877642
sel_scaf	253	429	992877642
sel_scaf	254	382	992877642
sel_scaf	255	412	992877642
sel_scaf	256	395	992877642
sel_scaf	257	432	992877642
sel_scaf	258	437	992877642
sel_scaf	259	435	992877642
sel_scaf	260	420	992877642
sel_scaf	261	463	992877642
sel_scaf	262	470	992877642
sel_scaf	263	393	992877642
sel_scaf	264	456	992877642
sel_scaf	265	430	992877642
sel_scaf	266	365	992877642
sel_scaf	267	462	992877642
sel_scaf	268	454	992877642
sel_scaf	269	504	992877642
sel_scaf	270	415	992877642
sel_scaf	271	401	992877642
sel_scaf	272	394	992877642
sel_scaf	273	357	992877642
sel_scaf	274	453	992877642
sel_scaf	275	388	992877642
sel_scaf	276	422	992877642
sel_scaf	277	490	992877642
sel_scaf	278	418	992877642
sel_scaf	279	381	992877642
sel_scaf	280	391	992877642
sel_scaf	281	367	992877642
sel_scaf	282	394	992877642
sel_scaf	283	389	992877642
sel_scaf	284	440	992877642
sel_scaf	285	408	992877642
sel_scaf	286	395	992877642
sel_scaf	287	409	992877642
sel_scaf	288	388	992877642
sel_scaf	289	394	992877642
sel_scaf	290	333	992877642
sel_scaf	291	361	992877642
sel_scaf	292	322	992877642
sel_scaf	293	346	992877642
sel_scaf	294	407	992877642
sel_scaf	295	321	992877642
sel_scaf	296	352	992877642
sel_scaf	297	296	992877642
sel_scaf	298	314	992877642
sel_scaf	299	303	992877642
sel_scaf	300	324	992877642
sel_scaf	301	316	992877642
sel_scaf	302	354	992877642
sel_scaf	303	345	992877642
sel_scaf	304	334	992877642
sel_scaf	305	318	992877642
sel_scaf	306	297	992877642
sel_scaf	307	299	992877642
sel_scaf	308	259	992877642
sel_scaf	309	304	992877642
sel_scaf	310	239	992877642
sel_scaf	311	292	992877642
sel_scaf	312	260	992877642
sel_scaf	313	305	992877642
sel_scaf	314	282	992877642
sel_scaf	315	319	992877642
sel_scaf	316	321	992877642
sel_scaf	317	290	992877642
sel_scaf	318	273	992877642
sel_scaf	319	294	992877642
sel_scaf	320	256	992877642
sel_scaf	321	256	992877642
sel_scaf	322	286	992877642
sel_scaf	323	241	992877642
sel_scaf	324	222	992877642
sel_scaf	325	224	992877642
sel_scaf	326	256	992877642
sel_scaf	327	238	992877642
sel_scaf	328	234	992877642
sel_scaf	329	234	992877642
sel_scaf	330	225	992877642
sel_scaf	331	209	992877642
sel_scaf	332	237	992877642
sel_scaf	333	235	992877642
sel_scaf	334	201	992877642
sel_scaf	335	202	992877642
sel_scaf	336	196	992877642
sel_scaf	337	190	992877642
sel_scaf	338	182	992877642
sel_scaf	339	206	992877642
sel_scaf	340	185	992877642
sel_scaf	341	201	992877642
sel_scaf	342	219	992877642
sel_scaf	343	213	992877642
sel_scaf	344	213	992877642
sel_scaf	345	200	992877642
sel_scaf	346	193	992877642
sel_scaf	347	179	992877642
sel_scaf	348	208	992877642
sel_scaf	349	198	992877642
sel_scaf	350	210	992877642
sel_scaf	351	237	992877642
sel_scaf	352	203	992877642
sel_scaf	353	197	992877642
sel_scaf	354	192	992877642
sel_scaf	355	207	992877642
sel_scaf	356	207	992877642
sel_scaf	357	241	992877642
sel_scaf	358	194	992877642
sel_scaf	359	194	992877642
sel_scaf	360	184	992877642
sel_scaf	361	227	992877642
sel_scaf	362	218	992877642
sel_scaf	363	239	992877642
sel_scaf	364	213	992877642
sel_scaf	365	212	992877642
sel_scaf	366	192	992877642
sel_scaf	367	192	992877642
sel_scaf	368	201	992877642
sel_scaf	369	193	992877642
sel_scaf	370	203	992877642
sel_scaf	371	206	992877642
sel_scaf	372	179	992877642
sel_scaf	373	187	992877642
sel_scaf	374	213	992877642
sel_scaf	375	186	992877642
sel_scaf	376	178	992877642
sel_scaf	377	220	992877642
