feature	depth	Nsites	totalNsites	propsites
genome	0	114947701	1108645000	0.103683
genome	1	14671611	1108645000	0.0132338
genome	2	13128059	1108645000	0.0118415
genome	3	13172748	1108645000	0.0118818
genome	4	13915440	1108645000	0.0125518
genome	5	15164837	1108645000	0.0136787
genome	6	17019765	1108645000	0.0153519
genome	7	19553802	1108645000	0.0176376
genome	8	22832300	1108645000	0.0205948
genome	9	26941013	1108645000	0.0243008
genome	10	31775798	1108645000	0.0286618
genome	11	37246619	1108645000	0.0335965
genome	12	43186934	1108645000	0.0389547
genome	13	49183600	1108645000	0.0443637
genome	14	54739443	1108645000	0.0493751
genome	15	59390514	1108645000	0.0535704
genome	16	62609481	1108645000	0.0564739
genome	17	63919787	1108645000	0.0576558
genome	18	63229005	1108645000	0.0570327
genome	19	60555353	1108645000	0.054621
genome	20	56169833	1108645000	0.0506653
genome	21	50447976	1108645000	0.0455042
genome	22	43923008	1108645000	0.0396186
genome	23	37042079	1108645000	0.033412
genome	24	30291649	1108645000	0.0273231
genome	25	24061711	1108645000	0.0217037
genome	26	18574800	1108645000	0.0167545
genome	27	13967256	1108645000	0.0125985
genome	28	10233229	1108645000	0.00923039
genome	29	7321626	1108645000	0.00660412
genome	30	5118086	1108645000	0.00461652
genome	31	3523728	1108645000	0.00317841
genome	32	2400627	1108645000	0.00216537
genome	33	1622836	1108645000	0.0014638
genome	34	1095951	1108645000	0.00098855
genome	35	751492	1108645000	0.000677847
genome	36	531203	1108645000	0.000479146
genome	37	389592	1108645000	0.000351413
genome	38	298890	1108645000	0.000269599
genome	39	238670	1108645000	0.000215281
genome	40	200479	1108645000	0.000180832
genome	41	174780	1108645000	0.000157652
genome	42	154878	1108645000	0.0001397
genome	43	139363	1108645000	0.000125706
genome	44	126966	1108645000	0.000114524
genome	45	116671	1108645000	0.000105237
genome	46	106707	1108645000	9.62499e-05
genome	47	97849	1108645000	8.826e-05
genome	48	91033	1108645000	8.21119e-05
genome	49	84541	1108645000	7.62562e-05
genome	50	77450	1108645000	6.98601e-05
genome	51	72287	1108645000	6.5203e-05
genome	52	67718	1108645000	6.10818e-05
genome	53	64498	1108645000	5.81773e-05
genome	54	59775	1108645000	5.39172e-05
genome	55	57244	1108645000	5.16342e-05
genome	56	53452	1108645000	4.82138e-05
genome	57	50587	1108645000	4.56296e-05
genome	58	47195	1108645000	4.257e-05
genome	59	44939	1108645000	4.05351e-05
genome	60	42276	1108645000	3.8133e-05
genome	61	40838	1108645000	3.6836e-05
genome	62	38327	1108645000	3.4571e-05
genome	63	36634	1108645000	3.30439e-05
genome	64	34537	1108645000	3.11524e-05
genome	65	33120	1108645000	2.98743e-05
genome	66	31601	1108645000	2.85042e-05
genome	67	30772	1108645000	2.77564e-05
genome	68	29230	1108645000	2.63655e-05
genome	69	27782	1108645000	2.50594e-05
genome	70	27257	1108645000	2.45859e-05
genome	71	25763	1108645000	2.32383e-05
genome	72	24812	1108645000	2.23805e-05
genome	73	24003	1108645000	2.16508e-05
genome	74	22993	1108645000	2.07397e-05
genome	75	21348	1108645000	1.92559e-05
genome	76	20474	1108645000	1.84676e-05
genome	77	19695	1108645000	1.77649e-05
genome	78	19420	1108645000	1.75169e-05
genome	79	18342	1108645000	1.65445e-05
genome	80	17721	1108645000	1.59844e-05
genome	81	16803	1108645000	1.51563e-05
genome	82	16552	1108645000	1.49299e-05
genome	83	16135	1108645000	1.45538e-05
