feature	depth	Nsites	totalNsites	propsites
genome	0	109905469	1108645000	0.099135
genome	1	14886494	1108645000	0.0134276
genome	2	14098354	1108645000	0.0127167
genome	3	14930747	1108645000	0.0134676
genome	4	16752722	1108645000	0.015111
genome	5	19277894	1108645000	0.0173887
genome	6	22389243	1108645000	0.0201951
genome	7	25868536	1108645000	0.0233335
genome	8	29368465	1108645000	0.0264904
genome	9	32772402	1108645000	0.0295608
genome	10	35949431	1108645000	0.0324265
genome	11	38999631	1108645000	0.0351777
genome	12	42080198	1108645000	0.0379564
genome	13	45277987	1108645000	0.0408408
genome	14	48418597	1108645000	0.0436737
genome	15	51359672	1108645000	0.0463265
genome	16	53746727	1108645000	0.0484797
genome	17	55273836	1108645000	0.0498571
genome	18	55575621	1108645000	0.0501293
genome	19	54462537	1108645000	0.0491253
genome	20	51917292	1108645000	0.0468295
genome	21	48119779	1108645000	0.0434041
genome	22	43337914	1108645000	0.0390909
genome	23	37879619	1108645000	0.0341675
genome	24	32231374	1108645000	0.0290728
genome	25	26645390	1108645000	0.0240342
genome	26	21440706	1108645000	0.0193396
genome	27	16799032	1108645000	0.0151528
genome	28	12847271	1108645000	0.0115883
genome	29	9585508	1108645000	0.00864615
genome	30	7003155	1108645000	0.00631686
genome	31	5012333	1108645000	0.00452113
genome	32	3527399	1108645000	0.00318172
genome	33	2448899	1108645000	0.00220891
genome	34	1686738	1108645000	0.00152144
genome	35	1159568	1108645000	0.00104593
genome	36	802646	1108645000	0.000723988
genome	37	567827	1108645000	0.000512181
genome	38	414898	1108645000	0.000374239
genome	39	317776	1108645000	0.000286635
genome	40	250477	1108645000	0.000225931
genome	41	207017	1108645000	0.00018673
genome	42	176078	1108645000	0.000158823
genome	43	152782	1108645000	0.00013781
genome	44	137227	1108645000	0.000123779
genome	45	123501	1108645000	0.000111398
genome	46	112235	1108645000	0.000101236
genome	47	101775	1108645000	9.18013e-05
genome	48	94502	1108645000	8.5241e-05
genome	49	88325	1108645000	7.96693e-05
genome	50	82345	1108645000	7.42754e-05
genome	51	75633	1108645000	6.82211e-05
genome	52	70600	1108645000	6.36813e-05
genome	53	66140	1108645000	5.96584e-05
genome	54	61075	1108645000	5.50898e-05
genome	55	57382	1108645000	5.17587e-05
genome	56	54569	1108645000	4.92213e-05
genome	57	51524	1108645000	4.64747e-05
genome	58	47955	1108645000	4.32555e-05
genome	59	45039	1108645000	4.06253e-05
genome	60	43119	1108645000	3.88934e-05
genome	61	40625	1108645000	3.66438e-05
genome	62	38778	1108645000	3.49778e-05
genome	63	36108	1108645000	3.25695e-05
genome	64	34456	1108645000	3.10794e-05
genome	65	32358	1108645000	2.9187e-05
genome	66	31589	1108645000	2.84933e-05
genome	67	30311	1108645000	2.73406e-05
genome	68	28696	1108645000	2.58838e-05
genome	69	27778	1108645000	2.50558e-05
genome	70	26406	1108645000	2.38183e-05
genome	71	24575	1108645000	2.21667e-05
genome	72	23298	1108645000	2.10148e-05
genome	73	22727	1108645000	2.04998e-05
genome	74	21710	1108645000	1.95825e-05
genome	75	21156	1108645000	1.90828e-05
genome	76	20194	1108645000	1.8215e-05
genome	77	19392	1108645000	1.74916e-05
genome	78	18306	1108645000	1.6512e-05
genome	79	18189	1108645000	1.64065e-05
genome	80	17346	1108645000	1.56461e-05
genome	81	16395	1108645000	1.47883e-05
genome	82	15764	1108645000	1.42192e-05
genome	83	15642	1108645000	1.41091e-05
genome	84	14714	1108645000	1.32721e-05
