feature	depth	Nsites	totalNsites
sel_scaf	0	68693836	992877642
sel_scaf	1	6696001	992877642
sel_scaf	2	6411333	992877642
sel_scaf	3	6921102	992877642
sel_scaf	4	7881694	992877642
sel_scaf	5	9296941	992877642
sel_scaf	6	11180359	992877642
sel_scaf	7	13488053	992877642
sel_scaf	8	16079287	992877642
sel_scaf	9	18733998	992877642
sel_scaf	10	21320372	992877642
sel_scaf	11	23708575	992877642
sel_scaf	12	25884675	992877642
sel_scaf	13	27972289	992877642
sel_scaf	14	30109069	992877642
sel_scaf	15	32443813	992877642
sel_scaf	16	35083912	992877642
sel_scaf	17	37978567	992877642
sel_scaf	18	40955005	992877642
sel_scaf	19	43751151	992877642
sel_scaf	20	46087138	992877642
sel_scaf	21	47704695	992877642
sel_scaf	22	48344517	992877642
sel_scaf	23	47836594	992877642
sel_scaf	24	46162239	992877642
sel_scaf	25	43448577	992877642
sel_scaf	26	39844751	992877642
sel_scaf	27	35619047	992877642
sel_scaf	28	31032251	992877642
sel_scaf	29	26405948	992877642
sel_scaf	30	21922909	992877642
sel_scaf	31	17758622	992877642
sel_scaf	32	14068555	992877642
sel_scaf	33	10884973	992877642
sel_scaf	34	8249804	992877642
sel_scaf	35	6145565	992877642
sel_scaf	36	4476603	992877642
sel_scaf	37	3206279	992877642
sel_scaf	38	2266288	992877642
sel_scaf	39	1582806	992877642
sel_scaf	40	1099070	992877642
sel_scaf	41	764761	992877642
sel_scaf	42	534016	992877642
sel_scaf	43	379460	992877642
sel_scaf	44	275395	992877642
sel_scaf	45	205088	992877642
sel_scaf	46	160538	992877642
sel_scaf	47	129051	992877642
sel_scaf	48	107917	992877642
sel_scaf	49	93807	992877642
sel_scaf	50	82294	992877642
sel_scaf	51	73191	992877642
sel_scaf	52	66806	992877642
sel_scaf	53	60333	992877642
sel_scaf	54	55175	992877642
sel_scaf	55	51086	992877642
sel_scaf	56	46790	992877642
sel_scaf	57	42974	992877642
sel_scaf	58	40167	992877642
sel_scaf	59	36636	992877642
sel_scaf	60	33313	992877642
sel_scaf	61	31067	992877642
sel_scaf	62	28577	992877642
sel_scaf	63	27304	992877642
sel_scaf	64	25629	992877642
sel_scaf	65	24182	992877642
sel_scaf	66	23093	992877642
sel_scaf	67	21098	992877642
sel_scaf	68	20167	992877642
sel_scaf	69	18950	992877642
sel_scaf	70	18247	992877642
sel_scaf	71	17163	992877642
sel_scaf	72	16303	992877642
sel_scaf	73	15943	992877642
sel_scaf	74	15035	992877642
sel_scaf	75	13733	992877642
sel_scaf	76	13347	992877642
sel_scaf	77	12802	992877642
sel_scaf	78	12477	992877642
sel_scaf	79	12000	992877642
sel_scaf	80	11231	992877642
sel_scaf	81	10551	992877642
sel_scaf	82	10546	992877642
sel_scaf	83	10089	992877642
sel_scaf	84	9655	992877642
sel_scaf	85	9300	992877642
sel_scaf	86	8997	992877642
sel_scaf	87	8516	992877642
sel_scaf	88	8475	992877642
sel_scaf	89	7888	992877642
sel_scaf	90	7531	992877642
sel_scaf	91	7192	992877642
sel_scaf	92	6864	992877642
sel_scaf	93	6903	992877642
sel_scaf	94	6651	992877642
sel_scaf	95	6448	992877642
sel_scaf	96	6560	992877642
sel_scaf	97	6401	992877642
sel_scaf	98	6248	992877642
sel_scaf	99	6008	992877642
sel_scaf	100	5876	992877642
sel_scaf	101	5735	992877642
sel_scaf	102	5444	992877642
sel_scaf	103	5306	992877642
sel_scaf	104	5134	992877642
sel_scaf	105	5196	992877642
sel_scaf	106	4869	992877642
sel_scaf	107	4809	992877642
sel_scaf	108	4596	992877642
sel_scaf	109	4358	992877642
sel_scaf	110	4229	992877642
sel_scaf	111	4159	992877642
sel_scaf	112	4112	992877642
sel_scaf	113	4023	992877642
sel_scaf	114	4071	992877642
sel_scaf	115	3944	992877642
sel_scaf	116	3602	992877642
sel_scaf	117	3587	992877642
sel_scaf	118	3492	992877642
sel_scaf	119	3341	992877642
sel_scaf	120	3361	992877642
sel_scaf	121	3462	992877642
sel_scaf	122	3224	992877642
sel_scaf	123	3216	992877642
sel_scaf	124	3091	992877642
sel_scaf	125	3136	992877642
sel_scaf	126	3097	992877642
sel_scaf	127	2926	992877642
sel_scaf	128	3004	992877642
sel_scaf	129	2957	992877642
sel_scaf	130	2877	992877642
sel_scaf	131	2680	992877642
sel_scaf	132	2606	992877642
sel_scaf	133	2641	992877642
sel_scaf	134	2508	992877642
sel_scaf	135	2431	992877642
sel_scaf	136	2469	992877642
sel_scaf	137	2573	992877642
sel_scaf	138	2418	992877642
sel_scaf	139	2545	992877642
sel_scaf	140	2269	992877642
sel_scaf	141	2270	992877642
sel_scaf	142	2289	992877642
sel_scaf	143	2202	992877642
sel_scaf	144	2253	992877642
sel_scaf	145	2189	992877642
sel_scaf	146	2192	992877642
sel_scaf	147	2101	992877642
sel_scaf	148	2065	992877642
sel_scaf	149	1916	992877642
sel_scaf	150	1865	992877642
sel_scaf	151	1811	992877642
sel_scaf	152	1818	992877642
sel_scaf	153	1921	992877642
sel_scaf	154	1805	992877642
sel_scaf	155	1654	992877642
sel_scaf	156	1826	992877642
sel_scaf	157	1791	992877642
sel_scaf	158	1652	992877642
sel_scaf	159	1672	992877642
sel_scaf	160	1715	992877642
sel_scaf	161	1498	992877642
sel_scaf	162	1453	992877642
sel_scaf	163	1438	992877642
sel_scaf	164	1524	992877642
sel_scaf	165	1368	992877642
sel_scaf	166	1384	992877642
sel_scaf	167	1371	992877642
sel_scaf	168	1369	992877642
sel_scaf	169	1291	992877642
sel_scaf	170	1204	992877642
sel_scaf	171	1249	992877642
sel_scaf	172	1228	992877642
sel_scaf	173	1175	992877642
sel_scaf	174	1210	992877642
sel_scaf	175	1189	992877642
sel_scaf	176	1145	992877642
sel_scaf	177	1087	992877642
sel_scaf	178	1123	992877642
sel_scaf	179	1227	992877642
sel_scaf	180	1092	992877642
sel_scaf	181	1243	992877642
sel_scaf	182	1227	992877642
sel_scaf	183	1134	992877642
sel_scaf	184	1099	992877642
sel_scaf	185	1164	992877642
sel_scaf	186	1105	992877642
sel_scaf	187	932	992877642
sel_scaf	188	920	992877642
sel_scaf	189	926	992877642
sel_scaf	190	912	992877642
sel_scaf	191	926	992877642
sel_scaf	192	1052	992877642
sel_scaf	193	1040	992877642
sel_scaf	194	922	992877642
sel_scaf	195	895	992877642
sel_scaf	196	914	992877642
sel_scaf	197	889	992877642
sel_scaf	198	922	992877642
sel_scaf	199	843	992877642
sel_scaf	200	813	992877642
sel_scaf	201	878	992877642
sel_scaf	202	855	992877642
sel_scaf	203	850	992877642
sel_scaf	204	911	992877642
sel_scaf	205	859	992877642
sel_scaf	206	838	992877642
sel_scaf	207	799	992877642
sel_scaf	208	814	992877642
sel_scaf	209	848	992877642
sel_scaf	210	827	992877642
sel_scaf	211	804	992877642
sel_scaf	212	862	992877642
sel_scaf	213	908	992877642
sel_scaf	214	826	992877642
sel_scaf	215	865	992877642
