feature	depth	Nsites	totalNsites
sel_scaf	0	100035812	986114295
sel_scaf	1	9374560	986114295
sel_scaf	2	8413222	986114295
sel_scaf	3	8387486	986114295
sel_scaf	4	8701247	986114295
sel_scaf	5	9251936	986114295
sel_scaf	6	10002740	986114295
sel_scaf	7	10991168	986114295
sel_scaf	8	12163583	986114295
sel_scaf	9	13654553	986114295
sel_scaf	10	15428442	986114295
sel_scaf	11	17496496	986114295
sel_scaf	12	19917095	986114295
sel_scaf	13	22661248	986114295
sel_scaf	14	25750292	986114295
sel_scaf	15	29155041	986114295
sel_scaf	16	32683243	986114295
sel_scaf	17	36286322	986114295
sel_scaf	18	39776496	986114295
sel_scaf	19	42828491	986114295
sel_scaf	20	45315011	986114295
sel_scaf	21	46985259	986114295
sel_scaf	22	47645033	986114295
sel_scaf	23	47247324	986114295
sel_scaf	24	45763765	986114295
sel_scaf	25	43259893	986114295
sel_scaf	26	39914819	986114295
sel_scaf	27	35968377	986114295
sel_scaf	28	31630112	986114295
sel_scaf	29	27143438	986114295
sel_scaf	30	22764307	986114295
sel_scaf	31	18646541	986114295
sel_scaf	32	14939319	986114295
sel_scaf	33	11694733	986114295
sel_scaf	34	8962975	986114295
sel_scaf	35	6727624	986114295
sel_scaf	36	4951813	986114295
sel_scaf	37	3584554	986114295
sel_scaf	38	2554158	986114295
sel_scaf	39	1792714	986114295
sel_scaf	40	1246290	986114295
sel_scaf	41	862988	986114295
sel_scaf	42	598886	986114295
sel_scaf	43	419762	986114295
sel_scaf	44	301302	986114295
sel_scaf	45	221473	986114295
sel_scaf	46	167687	986114295
sel_scaf	47	132167	986114295
sel_scaf	48	109711	986114295
sel_scaf	49	93183	986114295
sel_scaf	50	81140	986114295
sel_scaf	51	72415	986114295
sel_scaf	52	65409	986114295
sel_scaf	53	59438	986114295
sel_scaf	54	54438	986114295
sel_scaf	55	50128	986114295
sel_scaf	56	45826	986114295
sel_scaf	57	41854	986114295
sel_scaf	58	39138	986114295
sel_scaf	59	36158	986114295
sel_scaf	60	33500	986114295
sel_scaf	61	31227	986114295
sel_scaf	62	28688	986114295
sel_scaf	63	26624	986114295
sel_scaf	64	24730	986114295
sel_scaf	65	23218	986114295
sel_scaf	66	21957	986114295
sel_scaf	67	20726	986114295
sel_scaf	68	19443	986114295
sel_scaf	69	18301	986114295
sel_scaf	70	17335	986114295
sel_scaf	71	16476	986114295
sel_scaf	72	15864	986114295
sel_scaf	73	15172	986114295
sel_scaf	74	14054	986114295
sel_scaf	75	13674	986114295
sel_scaf	76	13176	986114295
sel_scaf	77	12457	986114295
sel_scaf	78	11981	986114295
sel_scaf	79	11955	986114295
sel_scaf	80	11455	986114295
sel_scaf	81	11137	986114295
sel_scaf	82	10485	986114295
sel_scaf	83	10502	986114295
sel_scaf	84	10054	986114295
sel_scaf	85	9514	986114295
sel_scaf	86	9217	986114295
sel_scaf	87	8891	986114295
sel_scaf	88	8292	986114295
sel_scaf	89	8142	986114295
sel_scaf	90	7839	986114295
sel_scaf	91	7463	986114295
sel_scaf	92	7257	986114295
sel_scaf	93	7008	986114295
sel_scaf	94	6870	986114295
sel_scaf	95	6899	986114295
sel_scaf	96	6715	986114295
sel_scaf	97	6386	986114295
sel_scaf	98	6164	986114295
sel_scaf	99	6063	986114295
sel_scaf	100	5925	986114295
sel_scaf	101	5719	986114295
sel_scaf	102	5647	986114295
sel_scaf	103	5301	986114295
sel_scaf	104	5415	986114295
sel_scaf	105	5246	986114295
sel_scaf	106	5018	986114295
sel_scaf	107	4939	986114295
sel_scaf	108	4742	986114295
sel_scaf	109	4640	986114295
sel_scaf	110	4474	986114295
sel_scaf	111	4508	986114295
sel_scaf	112	4197	986114295
sel_scaf	113	3986	986114295
sel_scaf	114	3958	986114295
sel_scaf	115	3811	986114295
