feature	depth	Nsites	totalNsites	propsites
genome	0	193219374	1177599484	0.164079
genome	1	23440230	1177599484	0.0199051
genome	2	20153214	1177599484	0.0171138
genome	3	19297912	1177599484	0.0163875
genome	4	19529800	1177599484	0.0165844
genome	5	20404787	1177599484	0.0173274
genome	6	21906969	1177599484	0.0186031
genome	7	24018250	1177599484	0.0203959
genome	8	26761917	1177599484	0.0227258
genome	9	30109371	1177599484	0.0255684
genome	10	34060096	1177599484	0.0289233
genome	11	38441424	1177599484	0.0326439
genome	12	42977043	1177599484	0.0364955
genome	13	47423208	1177599484	0.0402711
genome	14	51509092	1177599484	0.0437408
genome	15	54760216	1177599484	0.0465016
genome	16	56859692	1177599484	0.0482844
genome	17	57456252	1177599484	0.048791
genome	18	56493221	1177599484	0.0479732
genome	19	53979556	1177599484	0.0458386
genome	20	50105669	1177599484	0.042549
genome	21	45141105	1177599484	0.0383332
genome	22	39523224	1177599484	0.0335625
genome	23	33588338	1177599484	0.0285227
genome	24	27750231	1177599484	0.0235651
genome	25	22278228	1177599484	0.0189183
genome	26	17420199	1177599484	0.014793
genome	27	13271315	1177599484	0.0112698
genome	28	9854319	1177599484	0.00836814
genome	29	7146107	1177599484	0.00606837
genome	30	5071368	1177599484	0.00430653
genome	31	3531334	1177599484	0.00299876
genome	32	2433200	1177599484	0.00206624
genome	33	1654170	1177599484	0.0014047
genome	34	1115397	1177599484	0.000947179
genome	35	757155	1177599484	0.000642965
genome	36	519264	1177599484	0.000440951
genome	37	368421	1177599484	0.000312858
genome	38	271992	1177599484	0.000230972
genome	39	207719	1177599484	0.000176392
genome	40	166814	1177599484	0.000141656
genome	41	138203	1177599484	0.00011736
genome	42	120033	1177599484	0.00010193
genome	43	106472	1177599484	9.04144e-05
genome	44	95617	1177599484	8.11965e-05
genome	45	86725	1177599484	7.36456e-05
genome	46	78639	1177599484	6.67791e-05
genome	47	70809	1177599484	6.013e-05
genome	48	65547	1177599484	5.56615e-05
genome	49	62637	1177599484	5.31904e-05
genome	50	58470	1177599484	4.96519e-05
genome	51	54499	1177599484	4.62797e-05
genome	52	50956	1177599484	4.32711e-05
genome	53	47684	1177599484	4.04925e-05
genome	54	45426	1177599484	3.85751e-05
genome	55	42929	1177599484	3.64547e-05
genome	56	40130	1177599484	3.40778e-05
genome	57	38551	1177599484	3.27369e-05
genome	58	36474	1177599484	3.09732e-05
genome	59	35211	1177599484	2.99007e-05
genome	60	33691	1177599484	2.86099e-05
genome	61	32040	1177599484	2.72079e-05
genome	62	30226	1177599484	2.56675e-05
genome	63	29322	1177599484	2.48998e-05
genome	64	28643	1177599484	2.43232e-05
genome	65	27411	1177599484	2.3277e-05
genome	66	26155	1177599484	2.22104e-05
genome	67	25236	1177599484	2.143e-05
genome	68	24760	1177599484	2.10258e-05
genome	69	23008	1177599484	1.95381e-05
genome	70	22182	1177599484	1.88366e-05
genome	71	21522	1177599484	1.82762e-05
genome	72	20878	1177599484	1.77293e-05
genome	73	19623	1177599484	1.66636e-05
genome	74	18922	1177599484	1.60683e-05
genome	75	18048	1177599484	1.53261e-05
genome	76	18110	1177599484	1.53787e-05
genome	77	16968	1177599484	1.4409e-05
genome	78	16355	1177599484	1.38884e-05
genome	79	16124	1177599484	1.36923e-05
genome	80	14853	1177599484	1.26129e-05
genome	81	14660	1177599484	1.24491e-05
genome	82	14286	1177599484	1.21315e-05
genome	83	14003	1177599484	1.18911e-05
genome	84	13427	1177599484	1.1402e-05
genome	85	13134	1177599484	1.11532e-05
genome	86	12811	1177599484	1.08789e-05
genome	87	12557	1177599484	1.06632e-05
genome	88	12211	1177599484	1.03694e-05
genome	89	11519	1177599484	9.78176e-06
genome	90	11544	1177599484	9.80299e-06
genome	91	11501	1177599484	9.76648e-06
genome	92	11101	1177599484	9.4268e-06
genome	93	10699	1177599484	9.08543e-06
genome	94	10292	1177599484	8.73981e-06
genome	95	9795	1177599484	8.31777e-06
genome	96	9587	1177599484	8.14114e-06
genome	97	9461	1177599484	8.03414e-06
genome	98	9150	1177599484	7.77004e-06
genome	99	8879	1177599484	7.53991e-06
genome	100	8634	1177599484	7.33186e-06
genome	101	8559	1177599484	7.26818e-06
genome	102	8659	1177599484	7.35309e-06
genome	103	8406	1177599484	7.13825e-06
genome	104	8260	1177599484	7.01427e-06
genome	105	8090	1177599484	6.86991e-06
genome	106	7821	1177599484	6.64148e-06
genome	107	7635	1177599484	6.48353e-06
genome	108	7230	1177599484	6.13961e-06
genome	109	7325	1177599484	6.22028e-06
genome	110	7003	1177599484	5.94684e-06
genome	111	6845	1177599484	5.81267e-06
genome	112	6715	1177599484	5.70228e-06
genome	113	6474	1177599484	5.49762e-06
genome	114	6274	1177599484	5.32779e-06
genome	115	6355	1177599484	5.39657e-06
genome	116	6134	1177599484	5.2089e-06
genome	117	5821	1177599484	4.94311e-06
genome	118	5704	1177599484	4.84375e-06
genome	119	5561	1177599484	4.72232e-06
genome	120	5658	1177599484	4.80469e-06
genome	121	5189	1177599484	4.40642e-06
genome	122	5101	1177599484	4.33169e-06
genome	123	5089	1177599484	4.3215e-06
genome	124	4944	1177599484	4.19837e-06
genome	125	4642	1177599484	3.94192e-06
genome	126	4580	1177599484	3.88927e-06
genome	127	4559	1177599484	3.87144e-06
genome	128	4447	1177599484	3.77633e-06
genome	129	4387	1177599484	3.72538e-06
genome	130	4345	1177599484	3.68971e-06
genome	131	4414	1177599484	3.7483e-06
genome	132	4438	1177599484	3.76868e-06
genome	133	4258	1177599484	3.61583e-06
genome	134	4042	1177599484	3.43241e-06
genome	135	4058	1177599484	3.44599e-06
genome	136	3898	1177599484	3.31012e-06
genome	137	4018	1177599484	3.41203e-06
genome	138	3819	1177599484	3.24304e-06
genome	139	3860	1177599484	3.27785e-06
genome	140	3889	1177599484	3.30248e-06
genome	141	3609	1177599484	3.06471e-06
genome	142	3447	1177599484	2.92714e-06
genome	143	3237	1177599484	2.74881e-06
genome	144	3357	1177599484	2.85071e-06
genome	145	3328	1177599484	2.82609e-06
genome	146	3383	1177599484	2.87279e-06
genome	147	3237	1177599484	2.74881e-06
genome	148	3277	1177599484	2.78278e-06
genome	149	3243	1177599484	2.75391e-06
genome	150	3224	1177599484	2.73777e-06
genome	151	3174	1177599484	2.69531e-06
genome	152	3033	1177599484	2.57558e-06
genome	153	3106	1177599484	2.63757e-06
genome	154	2858	1177599484	2.42697e-06
genome	155	2849	1177599484	2.41933e-06
genome	156	2785	1177599484	2.36498e-06
genome	157	2732	1177599484	2.31997e-06
genome	158	2737	1177599484	2.32422e-06
genome	159	2666	1177599484	2.26393e-06
genome	160	2708	1177599484	2.29959e-06
genome	161	2726	1177599484	2.31488e-06
genome	162	2571	1177599484	2.18325e-06
genome	163	2679	1177599484	2.27497e-06
genome	164	2663	1177599484	2.26138e-06
genome	165	2631	1177599484	2.23421e-06
genome	166	2633	1177599484	2.2359e-06
genome	167	2445	1177599484	2.07626e-06
genome	168	2544	1177599484	2.16033e-06
genome	169	2382	1177599484	2.02276e-06
genome	170	2389	1177599484	2.0287e-06
genome	171	2370	1177599484	2.01257e-06
genome	172	2373	1177599484	2.01512e-06
genome	173	2295	1177599484	1.94888e-06
genome	174	2157	1177599484	1.83169e-06
genome	175	2144	1177599484	1.82065e-06
genome	176	2102	1177599484	1.78499e-06
genome	177	2098	1177599484	1.78159e-06
genome	178	2077	1177599484	1.76376e-06
genome	179	2120	1177599484	1.80027e-06
genome	180	1993	1177599484	1.69243e-06
genome	181	1937	1177599484	1.64487e-06
genome	182	1947	1177599484	1.65336e-06
genome	183	1802	1177599484	1.53023e-06
genome	184	1844	1177599484	1.5659e-06
genome	185	1860	1177599484	1.57948e-06
genome	186	1766	1177599484	1.49966e-06
genome	187	1754	1177599484	1.48947e-06
genome	188	1724	1177599484	1.464e-06
genome	189	1815	1177599484	1.54127e-06
genome	190	1734	1177599484	1.47249e-06
genome	191	1781	1177599484	1.5124e-06
genome	192	1743	1177599484	1.48013e-06
genome	193	1656	1177599484	1.40625e-06
genome	194	1784	1177599484	1.51495e-06
genome	195	1575	1177599484	1.33747e-06
genome	196	1753	1177599484	1.48862e-06
genome	197	1681	1177599484	1.42748e-06
genome	198	1597	1177599484	1.35615e-06
genome	199	1627	1177599484	1.38162e-06
genome	200	1631	1177599484	1.38502e-06
genome	201	1611	1177599484	1.36804e-06
genome	202	1567	1177599484	1.33067e-06
genome	203	1554	1177599484	1.31963e-06
genome	204	1600	1177599484	1.3587e-06
genome	205	1542	1177599484	1.30944e-06
genome	206	1516	1177599484	1.28736e-06
genome	207	1491	1177599484	1.26614e-06
genome	208	1625	1177599484	1.37993e-06
genome	209	1487	1177599484	1.26274e-06
genome	210	1409	1177599484	1.1965e-06
genome	211	1520	1177599484	1.29076e-06
genome	212	1499	1177599484	1.27293e-06
genome	213	1531	1177599484	1.3001e-06
genome	214	1486	1177599484	1.26189e-06
genome	215	1490	1177599484	1.26529e-06
genome	216	1456	1177599484	1.23641e-06
genome	217	1415	1177599484	1.2016e-06
genome	218	1287	1177599484	1.0929e-06
genome	219	1368	1177599484	1.16169e-06
genome	220	1253	1177599484	1.06403e-06
genome	221	1401	1177599484	1.18971e-06
genome	222	1260	1177599484	1.06997e-06
genome	223	1226	1177599484	1.0411e-06
genome	224	1258	1177599484	1.06827e-06
genome	225	1308	1177599484	1.11073e-06
genome	226	1236	1177599484	1.04959e-06
genome	227	1362	1177599484	1.15659e-06
genome	228	1297	1177599484	1.10139e-06
genome	229	1263	1177599484	1.07252e-06
genome	230	1224	1177599484	1.0394e-06
genome	231	1250	1177599484	1.06148e-06
genome	232	1271	1177599484	1.07931e-06
genome	233	1346	1177599484	1.143e-06
genome	234	1182	1177599484	1.00374e-06
genome	235	1175	1177599484	9.97793e-07
genome	236	1274	1177599484	1.08186e-06
genome	237	1257	1177599484	1.06743e-06
genome	238	1197	1177599484	1.01647e-06
genome	239	1171	1177599484	9.94396e-07
genome	240	1195	1177599484	1.01478e-06
genome	241	1168	1177599484	9.91848e-07
genome	242	1179	1177599484	1.00119e-06
genome	243	1100	1177599484	9.34104e-07
genome	244	1101	1177599484	9.34953e-07
genome	245	1089	1177599484	9.24763e-07
genome	246	1072	1177599484	9.10326e-07
genome	247	1088	1177599484	9.23913e-07
genome	248	1117	1177599484	9.4854e-07
genome	249	1046	1177599484	8.88248e-07
genome	250	1179	1177599484	1.00119e-06
genome	251	1025	1177599484	8.70415e-07
genome	252	1059	1177599484	8.99287e-07
genome	253	1049	1177599484	8.90795e-07
genome	254	1036	1177599484	8.79756e-07
genome	255	1079	1177599484	9.16271e-07
genome	256	1069	1177599484	9.07779e-07
genome	257	1094	1177599484	9.29009e-07
genome	258	1084	1177599484	9.20517e-07
genome	259	1185	1177599484	1.00628e-06
genome	260	1051	1177599484	8.92494e-07
genome	261	1078	1177599484	9.15422e-07
genome	262	968	1177599484	8.22011e-07
genome	263	993	1177599484	8.43241e-07
genome	264	973	1177599484	8.26257e-07
genome	265	1053	1177599484	8.94192e-07
genome	266	902	1177599484	7.65965e-07
genome	267	901	1177599484	7.65116e-07
genome	268	930	1177599484	7.89742e-07
genome	269	981	1177599484	8.33051e-07
genome	270	925	1177599484	7.85496e-07
genome	271	902	1177599484	7.65965e-07
genome	272	904	1177599484	7.67663e-07
genome	273	817	1177599484	6.93784e-07
genome	274	836	1177599484	7.09919e-07
genome	275	763	1177599484	6.47928e-07
genome	276	771	1177599484	6.54722e-07
genome	277	737	1177599484	6.25849e-07
genome	278	721	1177599484	6.12263e-07
genome	279	736	1177599484	6.25e-07
genome	280	789	1177599484	6.70007e-07
genome	281	861	1177599484	7.31148e-07
genome	282	842	1177599484	7.15014e-07
genome	283	863	1177599484	7.32847e-07
genome	284	844	1177599484	7.16712e-07
genome	285	815	1177599484	6.92086e-07
genome	286	867	1177599484	7.36244e-07
genome	287	899	1177599484	7.63417e-07
genome	288	771	1177599484	6.54722e-07
genome	289	745	1177599484	6.32643e-07
genome	290	768	1177599484	6.52174e-07
genome	291	718	1177599484	6.09715e-07
genome	292	781	1177599484	6.63214e-07
genome	293	771	1177599484	6.54722e-07
genome	294	737	1177599484	6.25849e-07
genome	295	679	1177599484	5.76597e-07
genome	296	725	1177599484	6.15659e-07
genome	297	764	1177599484	6.48777e-07
genome	298	709	1177599484	6.02072e-07
genome	299	721	1177599484	6.12263e-07
genome	300	690	1177599484	5.85938e-07
genome	301	689	1177599484	5.85089e-07
genome	302	725	1177599484	6.15659e-07
genome	303	744	1177599484	6.31794e-07
genome	304	719	1177599484	6.10564e-07
genome	305	635	1177599484	5.39233e-07
genome	306	620	1177599484	5.26495e-07
genome	307	624	1177599484	5.29892e-07
genome	308	570	1177599484	4.84036e-07
genome	309	600	1177599484	5.09511e-07
genome	310	600	1177599484	5.09511e-07
genome	311	637	1177599484	5.40931e-07
genome	312	614	1177599484	5.214e-07
genome	313	658	1177599484	5.58764e-07
genome	314	579	1177599484	4.91678e-07
genome	315	562	1177599484	4.77242e-07
genome	316	593	1177599484	5.03567e-07
genome	317	618	1177599484	5.24796e-07
genome	318	671	1177599484	5.69803e-07
genome	319	520	1177599484	4.41576e-07
genome	320	553	1177599484	4.69599e-07
genome	321	517	1177599484	4.39029e-07
genome	322	584	1177599484	4.95924e-07
genome	323	549	1177599484	4.66203e-07
genome	324	472	1177599484	4.00815e-07
genome	325	614	1177599484	5.214e-07
genome	326	568	1177599484	4.82337e-07
genome	327	526	1177599484	4.46671e-07
genome	328	555	1177599484	4.71298e-07
genome	329	553	1177599484	4.69599e-07
genome	330	522	1177599484	4.43275e-07
genome	331	489	1177599484	4.15252e-07
genome	332	467	1177599484	3.96569e-07
genome	333	482	1177599484	4.09307e-07
genome	334	513	1177599484	4.35632e-07
genome	335	550	1177599484	4.67052e-07
genome	336	507	1177599484	4.30537e-07
genome	337	498	1177599484	4.22894e-07
genome	338	461	1177599484	3.91474e-07
genome	339	472	1177599484	4.00815e-07
genome	340	500	1177599484	4.24593e-07
genome	341	462	1177599484	3.92324e-07
genome	342	433	1177599484	3.67697e-07
genome	343	472	1177599484	4.00815e-07
genome	344	471	1177599484	3.99966e-07
genome	345	410	1177599484	3.48166e-07
genome	346	462	1177599484	3.92324e-07
genome	347	449	1177599484	3.81284e-07
genome	348	456	1177599484	3.87228e-07
genome	349	436	1177599484	3.70245e-07
genome	350	415	1177599484	3.52412e-07
genome	351	440	1177599484	3.73641e-07
genome	352	445	1177599484	3.77887e-07
genome	353	433	1177599484	3.67697e-07
genome	354	419	1177599484	3.55809e-07
genome	355	433	1177599484	3.67697e-07
genome	356	414	1177599484	3.51563e-07
genome	357	429	1177599484	3.643e-07
genome	358	393	1177599484	3.3373e-07
genome	359	473	1177599484	4.01665e-07
genome	360	406	1177599484	3.44769e-07
genome	361	373	1177599484	3.16746e-07
genome	362	376	1177599484	3.19294e-07
genome	363	423	1177599484	3.59205e-07
genome	364	417	1177599484	3.5411e-07
genome	365	439	1177599484	3.72792e-07
genome	366	404	1177599484	3.43071e-07
genome	367	475	1177599484	4.03363e-07
genome	368	453	1177599484	3.84681e-07
genome	369	425	1177599484	3.60904e-07
genome	370	485	1177599484	4.11855e-07
genome	371	421	1177599484	3.57507e-07
genome	372	408	1177599484	3.46468e-07
genome	373	391	1177599484	3.32031e-07
genome	374	400	1177599484	3.39674e-07
genome	375	416	1177599484	3.53261e-07
genome	376	376	1177599484	3.19294e-07
genome	377	370	1177599484	3.14199e-07
genome	378	359	1177599484	3.04857e-07
genome	379	353	1177599484	2.99762e-07
genome	380	377	1177599484	3.20143e-07
genome	381	378	1177599484	3.20992e-07
genome	382	354	1177599484	3.00612e-07
genome	383	360	1177599484	3.05707e-07
genome	384	345	1177599484	2.92969e-07
genome	385	374	1177599484	3.17595e-07
genome	386	363	1177599484	3.08254e-07
genome	387	388	1177599484	3.29484e-07
genome	388	352	1177599484	2.98913e-07
genome	389	349	1177599484	2.96366e-07
genome	390	352	1177599484	2.98913e-07
genome	391	371	1177599484	3.15048e-07
genome	392	345	1177599484	2.92969e-07
genome	393	346	1177599484	2.93818e-07
genome	394	379	1177599484	3.21841e-07
genome	395	352	1177599484	2.98913e-07
genome	396	332	1177599484	2.81929e-07
genome	397	356	1177599484	3.0231e-07
genome	398	461	1177599484	3.91474e-07
genome	399	382	1177599484	3.24389e-07
genome	400	370	1177599484	3.14199e-07
genome	401	334	1177599484	2.83628e-07
genome	402	352	1177599484	2.98913e-07
genome	403	319	1177599484	2.7089e-07
genome	404	345	1177599484	2.92969e-07
genome	405	314	1177599484	2.66644e-07
genome	406	336	1177599484	2.85326e-07
genome	407	342	1177599484	2.90421e-07
genome	408	313	1177599484	2.65795e-07
genome	409	339	1177599484	2.87874e-07
genome	410	323	1177599484	2.74287e-07
genome	411	313	1177599484	2.65795e-07
genome	412	304	1177599484	2.58152e-07
genome	413	323	1177599484	2.74287e-07
genome	414	324	1177599484	2.75136e-07
genome	415	312	1177599484	2.64946e-07
genome	416	303	1177599484	2.57303e-07
genome	417	353	1177599484	2.99762e-07
genome	418	285	1177599484	2.42018e-07
genome	419	325	1177599484	2.75985e-07
genome	420	332	1177599484	2.81929e-07
genome	421	342	1177599484	2.90421e-07
genome	422	315	1177599484	2.67493e-07
genome	423	348	1177599484	2.95516e-07
genome	424	291	1177599484	2.47113e-07
genome	425	304	1177599484	2.58152e-07
genome	426	333	1177599484	2.82779e-07
genome	427	310	1177599484	2.63247e-07
genome	428	305	1177599484	2.59001e-07
genome	429	300	1177599484	2.54756e-07
genome	430	329	1177599484	2.79382e-07
genome	431	353	1177599484	2.99762e-07
genome	432	294	1177599484	2.4966e-07
genome	433	283	1177599484	2.40319e-07
genome	434	275	1177599484	2.33526e-07
genome	435	278	1177599484	2.36073e-07
genome	436	279	1177599484	2.36923e-07
