feature	depth	Nsites	totalNsites
sel_scaf	0	96084887	986114295
sel_scaf	1	14337333	986114295
sel_scaf	2	14532620	986114295
sel_scaf	3	16128471	986114295
sel_scaf	4	18568265	986114295
sel_scaf	5	21796633	986114295
sel_scaf	6	25896799	986114295
sel_scaf	7	30809325	986114295
sel_scaf	8	36446142	986114295
sel_scaf	9	42491424	986114295
sel_scaf	10	48675178	986114295
sel_scaf	11	54402010	986114295
sel_scaf	12	59037928	986114295
sel_scaf	13	61993481	986114295
sel_scaf	14	62937487	986114295
sel_scaf	15	61565313	986114295
sel_scaf	16	58036222	986114295
sel_scaf	17	52786189	986114295
sel_scaf	18	46306272	986114295
sel_scaf	19	39191103	986114295
sel_scaf	20	32025967	986114295
sel_scaf	21	25304617	986114295
sel_scaf	22	19368312	986114295
sel_scaf	23	14360353	986114295
sel_scaf	24	10336494	986114295
sel_scaf	25	7239988	986114295
sel_scaf	26	4929104	986114295
sel_scaf	27	3283605	986114295
sel_scaf	28	2143981	986114295
sel_scaf	29	1382628	986114295
sel_scaf	30	884016	986114295
sel_scaf	31	568169	986114295
sel_scaf	32	370745	986114295
sel_scaf	33	249529	986114295
sel_scaf	34	175819	986114295
sel_scaf	35	131455	986114295
sel_scaf	36	101081	986114295
sel_scaf	37	82653	986114295
sel_scaf	38	69849	986114295
sel_scaf	39	60021	986114295
sel_scaf	40	53179	986114295
sel_scaf	41	46114	986114295
sel_scaf	42	41190	986114295
sel_scaf	43	37684	986114295
sel_scaf	44	34158	986114295
sel_scaf	45	31325	986114295
sel_scaf	46	28752	986114295
sel_scaf	47	26475	986114295
sel_scaf	48	25042	986114295
sel_scaf	49	23330	986114295
sel_scaf	50	21923	986114295
sel_scaf	51	20920	986114295
sel_scaf	52	19908	986114295
sel_scaf	53	18983	986114295
sel_scaf	54	18079	986114295
sel_scaf	55	17042	986114295
sel_scaf	56	15703	986114295
sel_scaf	57	15419	986114295
sel_scaf	58	14958	986114295
sel_scaf	59	14425	986114295
sel_scaf	60	13782	986114295
sel_scaf	61	13163	986114295
sel_scaf	62	12390	986114295
sel_scaf	63	11975	986114295
sel_scaf	64	11446	986114295
sel_scaf	65	11032	986114295
sel_scaf	66	10336	986114295
sel_scaf	67	10288	986114295
sel_scaf	68	9805	986114295
sel_scaf	69	8982	986114295
sel_scaf	70	8525	986114295
sel_scaf	71	7983	986114295
sel_scaf	72	8100	986114295
sel_scaf	73	7666	986114295
sel_scaf	74	7307	986114295
sel_scaf	75	6936	986114295
sel_scaf	76	6793	986114295
sel_scaf	77	6608	986114295
sel_scaf	78	6435	986114295
sel_scaf	79	6205	986114295
sel_scaf	80	5744	986114295
sel_scaf	81	5375	986114295
sel_scaf	82	5048	986114295
sel_scaf	83	4858	986114295
sel_scaf	84	4857	986114295
sel_scaf	85	4335	986114295
sel_scaf	86	4318	986114295
sel_scaf	87	4201	986114295
sel_scaf	88	4174	986114295
sel_scaf	89	4191	986114295
sel_scaf	90	3808	986114295
sel_scaf	91	3711	986114295
sel_scaf	92	3770	986114295
sel_scaf	93	3768	986114295
sel_scaf	94	3651	986114295
sel_scaf	95	3539	986114295
sel_scaf	96	3374	986114295
sel_scaf	97	3214	986114295
sel_scaf	98	2998	986114295
sel_scaf	99	2925	986114295
sel_scaf	100	2865	986114295
sel_scaf	101	2797	986114295
sel_scaf	102	2726	986114295
sel_scaf	103	2676	986114295
sel_scaf	104	2612	986114295
sel_scaf	105	2503	986114295
sel_scaf	106	2521	986114295
sel_scaf	107	2627	986114295
sel_scaf	108	2639	986114295
sel_scaf	109	2593	986114295
sel_scaf	110	2567	986114295
sel_scaf	111	2440	986114295
sel_scaf	112	2437	986114295
sel_scaf	113	2377	986114295
sel_scaf	114	2457	986114295
sel_scaf	115	2361	986114295
sel_scaf	116	2358	986114295
sel_scaf	117	2257	986114295
sel_scaf	118	2173	986114295
sel_scaf	119	2125	986114295
sel_scaf	120	2063	986114295
sel_scaf	121	2175	986114295
sel_scaf	122	2056	986114295
sel_scaf	123	2085	986114295
sel_scaf	124	2072	986114295
sel_scaf	125	1975	986114295
sel_scaf	126	1972	986114295
sel_scaf	127	1959	986114295
sel_scaf	128	1833	986114295
sel_scaf	129	1819	986114295
sel_scaf	130	1678	986114295
sel_scaf	131	1616	986114295
sel_scaf	132	1605	986114295
sel_scaf	133	1601	986114295
sel_scaf	134	1671	986114295
sel_scaf	135	1609	986114295
sel_scaf	136	1483	986114295
sel_scaf	137	1512	986114295
sel_scaf	138	1385	986114295
sel_scaf	139	1361	986114295
sel_scaf	140	1304	986114295
sel_scaf	141	1248	986114295
sel_scaf	142	1207	986114295
sel_scaf	143	1169	986114295
sel_scaf	144	1284	986114295
sel_scaf	145	1172	986114295
sel_scaf	146	1255	986114295
sel_scaf	147	1208	986114295
sel_scaf	148	1125	986114295
sel_scaf	149	1147	986114295
sel_scaf	150	1217	986114295
sel_scaf	151	1123	986114295
sel_scaf	152	1131	986114295
sel_scaf	153	1129	986114295
sel_scaf	154	1107	986114295
sel_scaf	155	1118	986114295
sel_scaf	156	1077	986114295
sel_scaf	157	1085	986114295
sel_scaf	158	1085	986114295
sel_scaf	159	1051	986114295
sel_scaf	160	928	986114295
sel_scaf	161	998	986114295
sel_scaf	162	909	986114295
sel_scaf	163	950	986114295
sel_scaf	164	891	986114295
sel_scaf	165	1031	986114295
sel_scaf	166	849	986114295
sel_scaf	167	914	986114295
sel_scaf	168	935	986114295
sel_scaf	169	958	986114295
sel_scaf	170	889	986114295
sel_scaf	171	944	986114295
sel_scaf	172	881	986114295
sel_scaf	173	870	986114295
sel_scaf	174	860	986114295
sel_scaf	175	864	986114295
sel_scaf	176	873	986114295
sel_scaf	177	908	986114295
sel_scaf	178	865	986114295
sel_scaf	179	847	986114295
sel_scaf	180	881	986114295
sel_scaf	181	846	986114295
sel_scaf	182	752	986114295
sel_scaf	183	815	986114295
sel_scaf	184	726	986114295
sel_scaf	185	688	986114295
sel_scaf	186	755	986114295
sel_scaf	187	735	986114295
sel_scaf	188	727	986114295
sel_scaf	189	773	986114295
sel_scaf	190	752	986114295
sel_scaf	191	711	986114295
sel_scaf	192	736	986114295
sel_scaf	193	692	986114295
sel_scaf	194	755	986114295
sel_scaf	195	708	986114295
sel_scaf	196	664	986114295
sel_scaf	197	633	986114295
sel_scaf	198	688	986114295
sel_scaf	199	682	986114295
