feature	depth	Nsites	totalNsites	propsites
genome	0	191256971	1177599484	0.162413
genome	1	28098095	1177599484	0.0238605
genome	2	25208727	1177599484	0.0214069
genome	3	25164040	1177599484	0.0213689
genome	4	26524022	1177599484	0.0225238
genome	5	28912578	1177599484	0.0245521
genome	6	32333389	1177599484	0.027457
genome	7	36642117	1177599484	0.0311159
genome	8	41741853	1177599484	0.0354466
genome	9	47255196	1177599484	0.0401284
genome	10	52919028	1177599484	0.0449381
genome	11	58129827	1177599484	0.049363
genome	12	62246972	1177599484	0.0528592
genome	13	64711676	1177599484	0.0549522
genome	14	65178621	1177599484	0.0553487
genome	15	63374295	1177599484	0.0538165
genome	16	59469817	1177599484	0.0505009
genome	17	53889238	1177599484	0.0457619
genome	18	47154342	1177599484	0.0400428
genome	19	39830613	1177599484	0.0338236
genome	20	32505046	1177599484	0.0276028
genome	21	25660867	1177599484	0.0217908
genome	22	19637088	1177599484	0.0166755
genome	23	14567974	1177599484	0.0123709
genome	24	10500146	1177599484	0.00891657
genome	25	7376077	1177599484	0.00626366
genome	26	5041404	1177599484	0.00428109
genome	27	3381010	1177599484	0.0028711
genome	28	2230803	1177599484	0.00189436
genome	29	1459932	1177599484	0.00123975
genome	30	954243	1177599484	0.000810329
genome	31	632183	1177599484	0.00053684
genome	32	429270	1177599484	0.00036453
genome	33	303822	1177599484	0.000258001
genome	34	226528	1177599484	0.000192364
genome	35	178225	1177599484	0.000151346
genome	36	143375	1177599484	0.000121752
genome	37	122861	1177599484	0.000104332
genome	38	107569	1177599484	9.1346e-05
genome	39	95234	1177599484	8.08713e-05
genome	40	86086	1177599484	7.3103e-05
genome	41	78189	1177599484	6.63969e-05
genome	42	71435	1177599484	6.06615e-05
genome	43	65696	1177599484	5.57881e-05
genome	44	60175	1177599484	5.10997e-05
genome	45	55531	1177599484	4.71561e-05
genome	46	51765	1177599484	4.39581e-05
genome	47	49128	1177599484	4.17188e-05
genome	48	46550	1177599484	3.95296e-05
genome	49	42827	1177599484	3.63681e-05
genome	50	40791	1177599484	3.46391e-05
genome	51	38552	1177599484	3.27378e-05
genome	52	36655	1177599484	3.11269e-05
genome	53	35483	1177599484	3.01316e-05
genome	54	33684	1177599484	2.8604e-05
genome	55	31571	1177599484	2.68096e-05
genome	56	29012	1177599484	2.46366e-05
genome	57	28545	1177599484	2.424e-05
genome	58	27679	1177599484	2.35046e-05
genome	59	26908	1177599484	2.28499e-05
genome	60	25378	1177599484	2.15506e-05
genome	61	24208	1177599484	2.05571e-05
genome	62	23155	1177599484	1.96629e-05
genome	63	22501	1177599484	1.91075e-05
genome	64	21303	1177599484	1.80902e-05
genome	65	20702	1177599484	1.75798e-05
genome	66	19677	1177599484	1.67094e-05
genome	67	19604	1177599484	1.66474e-05
genome	68	18775	1177599484	1.59435e-05
genome	69	17391	1177599484	1.47682e-05
genome	70	16714	1177599484	1.41933e-05
genome	71	15563	1177599484	1.32159e-05
genome	72	15745	1177599484	1.33704e-05
genome	73	15254	1177599484	1.29535e-05
genome	74	14649	1177599484	1.24397e-05
genome	75	14150	1177599484	1.2016e-05
genome	76	14078	1177599484	1.19548e-05
genome	77	13967	1177599484	1.18606e-05
genome	78	13247	1177599484	1.12492e-05
genome	79	13116	1177599484	1.11379e-05
genome	80	12436	1177599484	1.05605e-05
genome	81	11648	1177599484	9.89131e-06
genome	82	11230	1177599484	9.53635e-06
genome	83	10913	1177599484	9.26716e-06
genome	84	10948	1177599484	9.29688e-06
genome	85	10310	1177599484	8.7551e-06
genome	86	10250	1177599484	8.70415e-06
genome	87	9916	1177599484	8.42052e-06
genome	88	9482	1177599484	8.05197e-06
genome	89	9498	1177599484	8.06556e-06
genome	90	9109	1177599484	7.73523e-06
genome	91	8767	1177599484	7.44481e-06
genome	92	8721	1177599484	7.40574e-06
genome	93	8586	1177599484	7.2911e-06
genome	94	8332	1177599484	7.07541e-06
genome	95	8122	1177599484	6.89708e-06
genome	96	7985	1177599484	6.78074e-06
