feature	depth	Nsites	totalNsites
sel_scaf	0	90984487	986114295
sel_scaf	1	10139538	986114295
sel_scaf	2	7902267	986114295
sel_scaf	3	7481413	986114295
sel_scaf	4	7636329	986114295
sel_scaf	5	8052842	986114295
sel_scaf	6	8706258	986114295
sel_scaf	7	9583990	986114295
sel_scaf	8	10689339	986114295
sel_scaf	9	11996180	986114295
sel_scaf	10	13526236	986114295
sel_scaf	11	15169741	986114295
sel_scaf	12	16796829	986114295
sel_scaf	13	18405083	986114295
sel_scaf	14	19837023	986114295
sel_scaf	15	21071504	986114295
sel_scaf	16	22062243	986114295
sel_scaf	17	22848611	986114295
sel_scaf	18	23557667	986114295
sel_scaf	19	24243146	986114295
sel_scaf	20	24978720	986114295
sel_scaf	21	25861092	986114295
sel_scaf	22	26880914	986114295
sel_scaf	23	28053428	986114295
sel_scaf	24	29333065	986114295
sel_scaf	25	30556586	986114295
sel_scaf	26	31724199	986114295
sel_scaf	27	32673594	986114295
sel_scaf	28	33300471	986114295
sel_scaf	29	33519274	986114295
sel_scaf	30	33276679	986114295
sel_scaf	31	32535187	986114295
sel_scaf	32	31317678	986114295
sel_scaf	33	29672732	986114295
sel_scaf	34	27662911	986114295
sel_scaf	35	25327221	986114295
sel_scaf	36	22825796	986114295
sel_scaf	37	20220245	986114295
sel_scaf	38	17611275	986114295
sel_scaf	39	15085260	986114295
sel_scaf	40	12697285	986114295
sel_scaf	41	10518909	986114295
sel_scaf	42	8575271	986114295
sel_scaf	43	6885359	986114295
sel_scaf	44	5449828	986114295
sel_scaf	45	4243621	986114295
sel_scaf	46	3263341	986114295
sel_scaf	47	2479946	986114295
sel_scaf	48	1867332	986114295
sel_scaf	49	1387681	986114295
sel_scaf	50	1024958	986114295
sel_scaf	51	754763	986114295
sel_scaf	52	559105	986114295
sel_scaf	53	413876	986114295
sel_scaf	54	310930	986114295
sel_scaf	55	236968	986114295
sel_scaf	56	185402	986114295
sel_scaf	57	148247	986114295
sel_scaf	58	120174	986114295
sel_scaf	59	101164	986114295
sel_scaf	60	86407	986114295
sel_scaf	61	75635	986114295
sel_scaf	62	68075	986114295
sel_scaf	63	61740	986114295
sel_scaf	64	56493	986114295
sel_scaf	65	51834	986114295
sel_scaf	66	48526	986114295
sel_scaf	67	45530	986114295
sel_scaf	68	41983	986114295
sel_scaf	69	39652	986114295
sel_scaf	70	37723	986114295
sel_scaf	71	36055	986114295
sel_scaf	72	34001	986114295
sel_scaf	73	32422	986114295
sel_scaf	74	30745	986114295
sel_scaf	75	29563	986114295
sel_scaf	76	28377	986114295
sel_scaf	77	26202	986114295
sel_scaf	78	24481	986114295
sel_scaf	79	23758	986114295
sel_scaf	80	22029	986114295
sel_scaf	81	20932	986114295
sel_scaf	82	20027	986114295
sel_scaf	83	19344	986114295
sel_scaf	84	18208	986114295
sel_scaf	85	17379	986114295
sel_scaf	86	16395	986114295
sel_scaf	87	16175	986114295
sel_scaf	88	14842	986114295
sel_scaf	89	14583	986114295
sel_scaf	90	13645	986114295
sel_scaf	91	13356	986114295
sel_scaf	92	13100	986114295
sel_scaf	93	12469	986114295
sel_scaf	94	12069	986114295
sel_scaf	95	11353	986114295
sel_scaf	96	11201	986114295
sel_scaf	97	10556	986114295
sel_scaf	98	10357	986114295
sel_scaf	99	9817	986114295
sel_scaf	100	9475	986114295
sel_scaf	101	9015	986114295
sel_scaf	102	8670	986114295
sel_scaf	103	8623	986114295
sel_scaf	104	8337	986114295
sel_scaf	105	8266	986114295
sel_scaf	106	7960	986114295
sel_scaf	107	7446	986114295
sel_scaf	108	7334	986114295
