feature	depth	Nsites	totalNsites	propsites
genome	0	183137650	1177599484	0.155518
genome	1	20837280	1177599484	0.0176947
genome	2	15200943	1177599484	0.0129084
genome	3	13422658	1177599484	0.0113983
genome	4	12886659	1177599484	0.0109432
genome	5	12802029	1177599484	0.0108713
genome	6	13124789	1177599484	0.0111454
genome	7	13681317	1177599484	0.011618
genome	8	14530985	1177599484	0.0123395
genome	9	15617059	1177599484	0.0132618
genome	10	16934790	1177599484	0.0143808
genome	11	18397534	1177599484	0.0156229
genome	12	19870832	1177599484	0.016874
genome	13	21318626	1177599484	0.0181035
genome	14	22610615	1177599484	0.0192006
genome	15	23701471	1177599484	0.0201269
genome	16	24561708	1177599484	0.0208574
genome	17	25225857	1177599484	0.0214214
genome	18	25831114	1177599484	0.0219354
genome	19	26400906	1177599484	0.0224193
genome	20	27032502	1177599484	0.0229556
genome	21	27797176	1177599484	0.0236049
genome	22	28702953	1177599484	0.0243741
genome	23	29752691	1177599484	0.0252655
genome	24	30907203	1177599484	0.0262459
genome	25	32005139	1177599484	0.0271783
genome	26	33045635	1177599484	0.0280619
genome	27	33864622	1177599484	0.0287573
genome	28	34368710	1177599484	0.0291854
genome	29	34462163	1177599484	0.0292648
genome	30	34098190	1177599484	0.0289557
genome	31	33249315	1177599484	0.0282348
genome	32	31928698	1177599484	0.0271134
genome	33	30191804	1177599484	0.0256384
genome	34	28099382	1177599484	0.0238616
genome	35	25695719	1177599484	0.0218204
genome	36	23134321	1177599484	0.0196453
genome	37	20477683	1177599484	0.0173893
genome	38	17825229	1177599484	0.0151369
genome	39	15263808	1177599484	0.0129618
genome	40	12848991	1177599484	0.0109112
genome	41	10646761	1177599484	0.00904107
genome	42	8683220	1177599484	0.00737366
genome	43	6977713	1177599484	0.00592537
genome	44	5531080	1177599484	0.00469691
genome	45	4315831	1177599484	0.00366494
genome	46	3329214	1177599484	0.00282712
genome	47	2539883	1177599484	0.00215683
genome	48	1923402	1177599484	0.00163332
genome	49	1439010	1177599484	0.00122199
genome	50	1073205	1177599484	0.00091135
genome	51	800466	1177599484	0.000679744
genome	52	602284	1177599484	0.000511451
genome	53	454639	1177599484	0.000386073
genome	54	350685	1177599484	0.000297797
genome	55	274246	1177599484	0.000232886
genome	56	220652	1177599484	0.000187374
genome	57	182888	1177599484	0.000155306
genome	58	152748	1177599484	0.000129711
genome	59	132879	1177599484	0.000112839
genome	60	116394	1177599484	9.88401e-05
genome	61	104898	1177599484	8.90778e-05
genome	62	96058	1177599484	8.1571e-05
genome	63	88722	1177599484	7.53414e-05
genome	64	82722	1177599484	7.02463e-05
genome	65	77135	1177599484	6.55019e-05
genome	66	72449	1177599484	6.15226e-05
genome	67	68518	1177599484	5.81845e-05
genome	68	64972	1177599484	5.51733e-05
genome	69	61426	1177599484	5.2162e-05
genome	70	58900	1177599484	5.0017e-05
genome	71	56447	1177599484	4.7934e-05
genome	72	53288	1177599484	4.52514e-05
genome	73	51009	1177599484	4.33161e-05
genome	74	48759	1177599484	4.14054e-05
genome	75	46785	1177599484	3.97291e-05
genome	76	45053	1177599484	3.82583e-05
genome	77	42027	1177599484	3.56887e-05
genome	78	40158	1177599484	3.41016e-05
genome	79	38945	1177599484	3.30715e-05
genome	80	36788	1177599484	3.12398e-05
genome	81	35628	1177599484	3.02548e-05
genome	82	34108	1177599484	2.8964e-05
genome	83	32862	1177599484	2.79059e-05
genome	84	31677	1177599484	2.68996e-05
genome	85	30188	1177599484	2.56352e-05
genome	86	29199	1177599484	2.47954e-05
genome	87	27986	1177599484	2.37653e-05
genome	88	26607	1177599484	2.25943e-05
genome	89	26089	1177599484	2.21544e-05
genome	90	25112	1177599484	2.13247e-05
genome	91	24161	1177599484	2.05172e-05
genome	92	23350	1177599484	1.98285e-05
genome	93	22887	1177599484	1.94353e-05
genome	94	21834	1177599484	1.85411e-05
genome	95	20912	1177599484	1.77582e-05
genome	96	21285	1177599484	1.80749e-05
genome	97	20022	1177599484	1.70024e-05
genome	98	19730	1177599484	1.67544e-05
genome	99	18730	1177599484	1.59052e-05
genome	100	18061	1177599484	1.53371e-05
genome	101	17344	1177599484	1.47283e-05
genome	102	16948	1177599484	1.4392e-05
genome	103	16589	1177599484	1.40871e-05
genome	104	16166	1177599484	1.37279e-05
genome	105	15640	1177599484	1.32813e-05
genome	106	15426	1177599484	1.30995e-05
genome	107	14579	1177599484	1.23803e-05
genome	108	14478	1177599484	1.22945e-05
genome	109	13763	1177599484	1.16873e-05
genome	110	13554	1177599484	1.15099e-05
genome	111	13336	1177599484	1.13247e-05
genome	112	12925	1177599484	1.09757e-05
genome	113	12658	1177599484	1.0749e-05
genome	114	12288	1177599484	1.04348e-05
genome	115	12222	1177599484	1.03787e-05
genome	116	11810	1177599484	1.00289e-05
genome	117	11450	1177599484	9.72317e-06
genome	118	11335	1177599484	9.62551e-06
genome	119	11121	1177599484	9.44379e-06
genome	120	10891	1177599484	9.24848e-06
genome	121	10576	1177599484	8.98098e-06
genome	122	10608	1177599484	9.00816e-06
genome	123	10262	1177599484	8.71434e-06
genome	124	10311	1177599484	8.75595e-06
genome	125	9865	1177599484	8.37721e-06
genome	126	9922	1177599484	8.42562e-06
genome	127	9751	1177599484	8.2804e-06
genome	128	9667	1177599484	8.20907e-06
genome	129	9355	1177599484	7.94413e-06
genome	130	9258	1177599484	7.86176e-06
genome	131	9198	1177599484	7.81081e-06
genome	132	8825	1177599484	7.49406e-06
genome	133	8698	1177599484	7.38621e-06
genome	134	8617	1177599484	7.31743e-06
genome	135	8270	1177599484	7.02276e-06
genome	136	8468	1177599484	7.1909e-06
genome	137	8239	1177599484	6.99644e-06
genome	138	7748	1177599484	6.57949e-06
genome	139	7680	1177599484	6.52174e-06
genome	140	7387	1177599484	6.27293e-06
genome	141	7731	1177599484	6.56505e-06
genome	142	7430	1177599484	6.30945e-06
genome	143	7370	1177599484	6.25849e-06
genome	144	7224	1177599484	6.13451e-06
genome	145	7461	1177599484	6.33577e-06
genome	146	7040	1177599484	5.97826e-06
genome	147	7017	1177599484	5.95873e-06
genome	148	6975	1177599484	5.92307e-06
genome	149	6726	1177599484	5.71162e-06
genome	150	6777	1177599484	5.75493e-06
genome	151	6657	1177599484	5.65303e-06
