feature	depth	Nsites	totalNsites
sel_scaf	0	85933945	974380168
sel_scaf	1	12861765	974380168
sel_scaf	2	13223088	974380168
sel_scaf	3	14714850	974380168
sel_scaf	4	16950554	974380168
sel_scaf	5	19969896	974380168
sel_scaf	6	23932680	974380168
sel_scaf	7	28901395	974380168
sel_scaf	8	34858966	974380168
sel_scaf	9	41553237	974380168
sel_scaf	10	48491237	974380168
sel_scaf	11	55089422	974380168
sel_scaf	12	60561050	974380168
sel_scaf	13	64083343	974380168
sel_scaf	14	65268335	974380168
sel_scaf	15	63932441	974380168
sel_scaf	16	60260722	974380168
sel_scaf	17	54580203	974380168
sel_scaf	18	47592738	974380168
sel_scaf	19	39904325	974380168
sel_scaf	20	32275974	974380168
sel_scaf	21	25173098	974380168
sel_scaf	22	18994490	974380168
sel_scaf	23	13870907	974380168
sel_scaf	24	9821553	974380168
sel_scaf	25	6766763	974380168
sel_scaf	26	4545982	974380168
sel_scaf	27	2985531	974380168
sel_scaf	28	1929890	974380168
sel_scaf	29	1236172	974380168
sel_scaf	30	795440	974380168
sel_scaf	31	522521	974380168
sel_scaf	32	353597	974380168
sel_scaf	33	252432	974380168
sel_scaf	34	189962	974380168
sel_scaf	35	149502	974380168
sel_scaf	36	122850	974380168
sel_scaf	37	105150	974380168
sel_scaf	38	91984	974380168
sel_scaf	39	81559	974380168
sel_scaf	40	72996	974380168
sel_scaf	41	65282	974380168
sel_scaf	42	58965	974380168
sel_scaf	43	53792	974380168
sel_scaf	44	49014	974380168
sel_scaf	45	44407	974380168
sel_scaf	46	41175	974380168
sel_scaf	47	37254	974380168
sel_scaf	48	35244	974380168
sel_scaf	49	32618	974380168
sel_scaf	50	31454	974380168
sel_scaf	51	29220	974380168
sel_scaf	52	27796	974380168
sel_scaf	53	26612	974380168
sel_scaf	54	24853	974380168
sel_scaf	55	23170	974380168
sel_scaf	56	22186	974380168
sel_scaf	57	21616	974380168
sel_scaf	58	20844	974380168
sel_scaf	59	19885	974380168
sel_scaf	60	18806	974380168
sel_scaf	61	18070	974380168
sel_scaf	62	17330	974380168
sel_scaf	63	16854	974380168
sel_scaf	64	16447	974380168
sel_scaf	65	15718	974380168
sel_scaf	66	14374	974380168
sel_scaf	67	14372	974380168
sel_scaf	68	13823	974380168
sel_scaf	69	13225	974380168
sel_scaf	70	12952	974380168
sel_scaf	71	12356	974380168
sel_scaf	72	11782	974380168
sel_scaf	73	11564	974380168
sel_scaf	74	11236	974380168
sel_scaf	75	10628	974380168
sel_scaf	76	9802	974380168
sel_scaf	77	9577	974380168
sel_scaf	78	8808	974380168
sel_scaf	79	8862	974380168
sel_scaf	80	8596	974380168
sel_scaf	81	8403	974380168
sel_scaf	82	8066	974380168
sel_scaf	83	7876	974380168
sel_scaf	84	7248	974380168
sel_scaf	85	7184	974380168
sel_scaf	86	7178	974380168
sel_scaf	87	6836	974380168
sel_scaf	88	6311	974380168
sel_scaf	89	6155	974380168
sel_scaf	90	5978	974380168
sel_scaf	91	5831	974380168
sel_scaf	92	5618	974380168
sel_scaf	93	5590	974380168
sel_scaf	94	5218	974380168
sel_scaf	95	4917	974380168
sel_scaf	96	4841	974380168
sel_scaf	97	4752	974380168
sel_scaf	98	4651	974380168
sel_scaf	99	4627	974380168
sel_scaf	100	4471	974380168
sel_scaf	101	4101	974380168
sel_scaf	102	4387	974380168
sel_scaf	103	4227	974380168
sel_scaf	104	4079	974380168
sel_scaf	105	4155	974380168
sel_scaf	106	3976	974380168
sel_scaf	107	3687	974380168
sel_scaf	108	3662	974380168
sel_scaf	109	3690	974380168
sel_scaf	110	3654	974380168
sel_scaf	111	3447	974380168
sel_scaf	112	3304	974380168
sel_scaf	113	3277	974380168
sel_scaf	114	3293	974380168
sel_scaf	115	3293	974380168
sel_scaf	116	3199	974380168
sel_scaf	117	3221	974380168
sel_scaf	118	3118	974380168
sel_scaf	119	3068	974380168
sel_scaf	120	2833	974380168
sel_scaf	121	2749	974380168
sel_scaf	122	2834	974380168
sel_scaf	123	2753	974380168
sel_scaf	124	2733	974380168
sel_scaf	125	2612	974380168
sel_scaf	126	2614	974380168
sel_scaf	127	2362	974380168
sel_scaf	128	2355	974380168
sel_scaf	129	2305	974380168
sel_scaf	130	2390	974380168
sel_scaf	131	2516	974380168
sel_scaf	132	2304	974380168
sel_scaf	133	2192	974380168
sel_scaf	134	2290	974380168
sel_scaf	135	2243	974380168
sel_scaf	136	2196	974380168
sel_scaf	137	2227	974380168
sel_scaf	138	2111	974380168
sel_scaf	139	2030	974380168
sel_scaf	140	2038	974380168
sel_scaf	141	1987	974380168
sel_scaf	142	1914	974380168
sel_scaf	143	1818	974380168
sel_scaf	144	1810	974380168
sel_scaf	145	1825	974380168
sel_scaf	146	1872	974380168
sel_scaf	147	1734	974380168
sel_scaf	148	1813	974380168
sel_scaf	149	1750	974380168
sel_scaf	150	1734	974380168
sel_scaf	151	1619	974380168
sel_scaf	152	1659	974380168
sel_scaf	153	1667	974380168
sel_scaf	154	1657	974380168
sel_scaf	155	1665	974380168
sel_scaf	156	1645	974380168
sel_scaf	157	1448	974380168
sel_scaf	158	1564	974380168
sel_scaf	159	1436	974380168
sel_scaf	160	1483	974380168
sel_scaf	161	1375	974380168
sel_scaf	162	1353	974380168
sel_scaf	163	1279	974380168
sel_scaf	164	1278	974380168
sel_scaf	165	1181	974380168
sel_scaf	166	1198	974380168
sel_scaf	167	1254	974380168
sel_scaf	168	1220	974380168
sel_scaf	169	1031	974380168
sel_scaf	170	1059	974380168
sel_scaf	171	1119	974380168
sel_scaf	172	1112	974380168
sel_scaf	173	1063	974380168
sel_scaf	174	984	974380168
sel_scaf	175	998	974380168
sel_scaf	176	961	974380168
sel_scaf	177	1020	974380168
sel_scaf	178	1101	974380168
sel_scaf	179	1052	974380168
sel_scaf	180	1005	974380168
sel_scaf	181	972	974380168
sel_scaf	182	976	974380168
sel_scaf	183	934	974380168
sel_scaf	184	909	974380168
sel_scaf	185	893	974380168
sel_scaf	186	880	974380168
sel_scaf	187	909	974380168
sel_scaf	188	954	974380168
sel_scaf	189	885	974380168
sel_scaf	190	982	974380168
sel_scaf	191	953	974380168
sel_scaf	192	909	974380168
sel_scaf	193	885	974380168
sel_scaf	194	764	974380168
sel_scaf	195	800	974380168
sel_scaf	196	784	974380168
sel_scaf	197	856	974380168
sel_scaf	198	843	974380168
sel_scaf	199	894	974380168
sel_scaf	200	832	974380168
sel_scaf	201	872	974380168
sel_scaf	202	816	974380168
sel_scaf	203	840	974380168
sel_scaf	204	775	974380168
sel_scaf	205	804	974380168
sel_scaf	206	829	974380168
sel_scaf	207	823	974380168
sel_scaf	208	786	974380168
sel_scaf	209	843	974380168
sel_scaf	210	834	974380168
sel_scaf	211	746	974380168
sel_scaf	212	790	974380168
sel_scaf	213	804	974380168
sel_scaf	214	773	974380168
sel_scaf	215	796	974380168
sel_scaf	216	721	974380168
sel_scaf	217	755	974380168
sel_scaf	218	726	974380168
sel_scaf	219	702	974380168
sel_scaf	220	678	974380168
sel_scaf	221	703	974380168
sel_scaf	222	695	974380168
sel_scaf	223	745	974380168
sel_scaf	224	728	974380168
sel_scaf	225	651	974380168
sel_scaf	226	679	974380168
sel_scaf	227	602	974380168
sel_scaf	228	599	974380168
sel_scaf	229	569	974380168
sel_scaf	230	576	974380168
sel_scaf	231	624	974380168
sel_scaf	232	558	974380168
sel_scaf	233	588	974380168
sel_scaf	234	607	974380168
sel_scaf	235	607	974380168
sel_scaf	236	601	974380168
sel_scaf	237	583	974380168
sel_scaf	238	562	974380168
sel_scaf	239	542	974380168
sel_scaf	240	553	974380168
sel_scaf	241	542	974380168
sel_scaf	242	570	974380168
sel_scaf	243	555	974380168
sel_scaf	244	553	974380168
sel_scaf	245	606	974380168
sel_scaf	246	485	974380168
sel_scaf	247	527	974380168
sel_scaf	248	481	974380168
sel_scaf	249	445	974380168
sel_scaf	250	464	974380168
sel_scaf	251	429	974380168
sel_scaf	252	457	974380168
sel_scaf	253	515	974380168
sel_scaf	254	474	974380168
sel_scaf	255	502	974380168
sel_scaf	256	501	974380168
sel_scaf	257	496	974380168
sel_scaf	258	523	974380168
sel_scaf	259	402	974380168
sel_scaf	260	488	974380168
sel_scaf	261	506	974380168
sel_scaf	262	446	974380168
sel_scaf	263	457	974380168
sel_scaf	264	418	974380168
sel_scaf	265	461	974380168
sel_scaf	266	388	974380168
sel_scaf	267	423	974380168
sel_scaf	268	396	974380168
sel_scaf	269	407	974380168
sel_scaf	270	502	974380168
sel_scaf	271	387	974380168
sel_scaf	272	393	974380168
sel_scaf	273	384	974380168
sel_scaf	274	424	974380168
sel_scaf	275	371	974380168
sel_scaf	276	351	974380168
sel_scaf	277	357	974380168
sel_scaf	278	348	974380168
sel_scaf	279	323	974380168
sel_scaf	280	363	974380168
sel_scaf	281	357	974380168
sel_scaf	282	333	974380168
sel_scaf	283	342	974380168
sel_scaf	284	329	974380168
sel_scaf	285	312	974380168
sel_scaf	286	321	974380168
sel_scaf	287	357	974380168
sel_scaf	288	321	974380168
sel_scaf	289	298	974380168
sel_scaf	290	284	974380168
sel_scaf	291	294	974380168
sel_scaf	292	301	974380168
sel_scaf	293	309	974380168
sel_scaf	294	295	974380168
sel_scaf	295	337	974380168
sel_scaf	296	328	974380168
sel_scaf	297	299	974380168
sel_scaf	298	307	974380168
sel_scaf	299	265	974380168
sel_scaf	300	236	974380168
sel_scaf	301	243	974380168
sel_scaf	302	276	974380168
sel_scaf	303	273	974380168
sel_scaf	304	239	974380168
sel_scaf	305	253	974380168
sel_scaf	306	300	974380168
sel_scaf	307	280	974380168
sel_scaf	308	251	974380168
sel_scaf	309	270	974380168
sel_scaf	310	277	974380168
sel_scaf	311	310	974380168
sel_scaf	312	284	974380168
sel_scaf	313	266	974380168
sel_scaf	314	310	974380168
sel_scaf	315	334	974380168
sel_scaf	316	325	974380168
sel_scaf	317	354	974380168
sel_scaf	318	299	974380168
sel_scaf	319	264	974380168
sel_scaf	320	252	974380168
sel_scaf	321	222	974380168
sel_scaf	322	237	974380168
sel_scaf	323	223	974380168
sel_scaf	324	223	974380168
sel_scaf	325	249	974380168
sel_scaf	326	230	974380168
sel_scaf	327	236	974380168
sel_scaf	328	230	974380168
sel_scaf	329	206	974380168
sel_scaf	330	227	974380168
sel_scaf	331	196	974380168
sel_scaf	332	177	974380168
sel_scaf	333	216	974380168
sel_scaf	334	239	974380168
sel_scaf	335	194	974380168
sel_scaf	336	198	974380168
sel_scaf	337	215	974380168
sel_scaf	338	206	974380168
sel_scaf	339	244	974380168
sel_scaf	340	225	974380168
sel_scaf	341	202	974380168
sel_scaf	342	203	974380168
sel_scaf	343	220	974380168
sel_scaf	344	220	974380168
sel_scaf	345	215	974380168
sel_scaf	346	205	974380168
sel_scaf	347	236	974380168
sel_scaf	348	217	974380168
sel_scaf	349	234	974380168
sel_scaf	350	191	974380168
sel_scaf	351	235	974380168
sel_scaf	352	242	974380168
sel_scaf	353	190	974380168
sel_scaf	354	162	974380168
sel_scaf	355	177	974380168
sel_scaf	356	180	974380168
sel_scaf	357	204	974380168
sel_scaf	358	190	974380168
sel_scaf	359	183	974380168
sel_scaf	360	178	974380168
sel_scaf	361	173	974380168
sel_scaf	362	178	974380168
sel_scaf	363	182	974380168
sel_scaf	364	201	974380168
sel_scaf	365	185	974380168
sel_scaf	366	185	974380168
sel_scaf	367	186	974380168
sel_scaf	368	177	974380168
sel_scaf	369	176	974380168
sel_scaf	370	170	974380168
sel_scaf	371	145	974380168
sel_scaf	372	126	974380168
sel_scaf	373	161	974380168
sel_scaf	374	169	974380168
sel_scaf	375	137	974380168
sel_scaf	376	159	974380168
sel_scaf	377	154	974380168
sel_scaf	378	167	974380168
sel_scaf	379	159	974380168
sel_scaf	380	173	974380168
sel_scaf	381	154	974380168
sel_scaf	382	149	974380168
sel_scaf	383	146	974380168
sel_scaf	384	153	974380168
sel_scaf	385	146	974380168
sel_scaf	386	161	974380168
sel_scaf	387	164	974380168
sel_scaf	388	172	974380168
sel_scaf	389	137	974380168
sel_scaf	390	127	974380168
sel_scaf	391	169	974380168
sel_scaf	392	165	974380168
sel_scaf	393	149	974380168
sel_scaf	394	179	974380168
sel_scaf	395	154	974380168
sel_scaf	396	168	974380168
sel_scaf	397	172	974380168
sel_scaf	398	184	974380168
sel_scaf	399	196	974380168
sel_scaf	400	137	974380168
sel_scaf	401	150	974380168
sel_scaf	402	149	974380168
sel_scaf	403	128	974380168
sel_scaf	404	124	974380168
sel_scaf	405	140	974380168
sel_scaf	406	153	974380168
sel_scaf	407	145	974380168
sel_scaf	408	213	974380168
sel_scaf	409	175	974380168
sel_scaf	410	128	974380168
sel_scaf	411	141	974380168
sel_scaf	412	148	974380168
sel_scaf	413	143	974380168
sel_scaf	414	185	974380168
sel_scaf	415	189	974380168
sel_scaf	416	185	974380168
sel_scaf	417	179	974380168
sel_scaf	418	177	974380168
sel_scaf	419	166	974380168
sel_scaf	420	129	974380168
sel_scaf	421	135	974380168
sel_scaf	422	104	974380168
sel_scaf	423	124	974380168
sel_scaf	424	121	974380168
sel_scaf	425	131	974380168
sel_scaf	426	116	974380168
sel_scaf	427	114	974380168
sel_scaf	428	88	974380168
sel_scaf	429	117	974380168
sel_scaf	430	101	974380168
sel_scaf	431	84	974380168
sel_scaf	432	108	974380168
sel_scaf	433	116	974380168
sel_scaf	434	103	974380168
sel_scaf	435	126	974380168
sel_scaf	436	98	974380168
sel_scaf	437	117	974380168
sel_scaf	438	112	974380168
sel_scaf	439	81	974380168
sel_scaf	440	101	974380168
sel_scaf	441	124	974380168
sel_scaf	442	136	974380168
sel_scaf	443	111	974380168
sel_scaf	444	100	974380168
sel_scaf	445	100	974380168
sel_scaf	446	111	974380168
sel_scaf	447	99	974380168
sel_scaf	448	97	974380168
sel_scaf	449	96	974380168
sel_scaf	450	84	974380168
sel_scaf	451	88	974380168
sel_scaf	452	79	974380168
sel_scaf	453	78	974380168
sel_scaf	454	102	974380168
sel_scaf	455	106	974380168
sel_scaf	456	123	974380168
sel_scaf	457	131	974380168
sel_scaf	458	110	974380168
sel_scaf	459	134	974380168
sel_scaf	460	109	974380168
sel_scaf	461	102	974380168
sel_scaf	462	90	974380168
sel_scaf	463	96	974380168
sel_scaf	464	116	974380168
sel_scaf	465	79	974380168
sel_scaf	466	109	974380168
sel_scaf	467	110	974380168
sel_scaf	468	119	974380168
sel_scaf	469	108	974380168
sel_scaf	470	94	974380168
sel_scaf	471	121	974380168
sel_scaf	472	110	974380168
sel_scaf	473	96	974380168
sel_scaf	474	132	974380168
sel_scaf	475	102	974380168
sel_scaf	476	123	974380168
sel_scaf	477	124	974380168
sel_scaf	478	103	974380168
sel_scaf	479	93	974380168
sel_scaf	480	95	974380168
sel_scaf	481	99	974380168
sel_scaf	482	98	974380168
sel_scaf	483	125	974380168
sel_scaf	484	108	974380168
sel_scaf	485	88	974380168
sel_scaf	486	105	974380168
sel_scaf	487	95	974380168
sel_scaf	488	92	974380168
sel_scaf	489	106	974380168
sel_scaf	490	110	974380168
sel_scaf	491	108	974380168
sel_scaf	492	132	974380168
sel_scaf	493	101	974380168
sel_scaf	494	91	974380168
sel_scaf	495	96	974380168
sel_scaf	496	61	974380168
sel_scaf	497	80	974380168
sel_scaf	498	79	974380168
sel_scaf	499	85	974380168
sel_scaf	500	83	974380168
sel_scaf	501	103	974380168
sel_scaf	502	73	974380168
sel_scaf	503	72	974380168
sel_scaf	504	69	974380168
sel_scaf	505	70	974380168
sel_scaf	506	73	974380168
sel_scaf	507	75	974380168
sel_scaf	508	73	974380168
sel_scaf	509	75	974380168
sel_scaf	510	86	974380168
sel_scaf	511	72	974380168
sel_scaf	512	85	974380168
sel_scaf	513	72	974380168
sel_scaf	514	84	974380168
sel_scaf	515	91	974380168
sel_scaf	516	95	974380168
sel_scaf	517	92	974380168
sel_scaf	518	72	974380168
sel_scaf	519	60	974380168
sel_scaf	520	108	974380168
sel_scaf	521	76	974380168
sel_scaf	522	88	974380168
sel_scaf	523	46	974380168
sel_scaf	524	88	974380168
sel_scaf	525	67	974380168
sel_scaf	526	81	974380168
sel_scaf	527	87	974380168
sel_scaf	528	115	974380168
sel_scaf	529	102	974380168
sel_scaf	530	90	974380168
sel_scaf	531	90	974380168
sel_scaf	532	65	974380168
sel_scaf	533	78	974380168
sel_scaf	534	77	974380168
sel_scaf	535	76	974380168
sel_scaf	536	80	974380168
sel_scaf	537	82	974380168
sel_scaf	538	56	974380168
sel_scaf	539	95	974380168
sel_scaf	540	98	974380168
sel_scaf	541	81	974380168
sel_scaf	542	71	974380168
sel_scaf	543	77	974380168
sel_scaf	544	83	974380168
sel_scaf	545	93	974380168
sel_scaf	546	68	974380168
sel_scaf	547	74	974380168
sel_scaf	548	60	974380168
sel_scaf	549	70	974380168
sel_scaf	550	61	974380168
sel_scaf	551	68	974380168
sel_scaf	552	70	974380168
sel_scaf	553	65	974380168
sel_scaf	554	78	974380168
