feature	depth	Nsites	totalNsites	propsites
genome	0	181742069	1220418541	0.148918
genome	1	34979504	1220418541	0.0286619
genome	2	32918271	1220418541	0.0269729
genome	3	33792695	1220418541	0.0276894
genome	4	36421699	1220418541	0.0298436
genome	5	40306842	1220418541	0.0330271
genome	6	45683038	1220418541	0.0374323
genome	7	52006926	1220418541	0.042614
genome	8	58923538	1220418541	0.0482814
genome	9	65464132	1220418541	0.0536407
genome	10	70823938	1220418541	0.0580325
genome	11	74099463	1220418541	0.0607164
genome	12	74651016	1220418541	0.0611684
genome	13	72316733	1220418541	0.0592557
genome	14	67278198	1220418541	0.0551272
genome	15	60103353	1220418541	0.0492481
genome	16	51628024	1220418541	0.0423035
genome	17	42602959	1220418541	0.0349085
genome	18	33858148	1220418541	0.0277431
genome	19	25956058	1220418541	0.0212682
genome	20	19216859	1220418541	0.0157461
genome	21	13754934	1220418541	0.0112707
genome	22	9573424	1220418541	0.00784438
genome	23	6484564	1220418541	0.00531339
genome	24	4307244	1220418541	0.00352932
genome	25	2816189	1220418541	0.00230756
genome	26	1827307	1220418541	0.00149728
genome	27	1192204	1220418541	0.000976881
genome	28	796618	1220418541	0.000652742
genome	29	550560	1220418541	0.000451124
genome	30	398629	1220418541	0.000326633
genome	31	303090	1220418541	0.000248349
genome	32	245171	1220418541	0.000200891
genome	33	202690	1220418541	0.000166082
genome	34	173112	1220418541	0.000141846
genome	35	153224	1220418541	0.00012555
genome	36	135995	1220418541	0.000111433
genome	37	123512	1220418541	0.000101205
genome	38	111599	1220418541	9.14432e-05
genome	39	100668	1220418541	8.24865e-05
genome	40	94479	1220418541	7.74152e-05
genome	41	88175	1220418541	7.22498e-05
genome	42	81458	1220418541	6.6746e-05
genome	43	75261	1220418541	6.16682e-05
genome	44	69930	1220418541	5.73e-05
genome	45	65588	1220418541	5.37422e-05
genome	46	61077	1220418541	5.00459e-05
genome	47	58153	1220418541	4.765e-05
genome	48	54610	1220418541	4.47469e-05
genome	49	51919	1220418541	4.2542e-05
genome	50	49573	1220418541	4.06197e-05
genome	51	46959	1220418541	3.84778e-05
genome	52	44795	1220418541	3.67046e-05
genome	53	42288	1220418541	3.46504e-05
genome	54	40953	1220418541	3.35565e-05
genome	55	38904	1220418541	3.18776e-05
genome	56	36944	1220418541	3.02716e-05
genome	57	35483	1220418541	2.90745e-05
genome	58	34566	1220418541	2.83231e-05
genome	59	33083	1220418541	2.71079e-05
genome	60	31571	1220418541	2.5869e-05
genome	61	30146	1220418541	2.47014e-05
genome	62	28649	1220418541	2.34747e-05
genome	63	27652	1220418541	2.26578e-05
genome	64	26710	1220418541	2.18859e-05
genome	65	25155	1220418541	2.06118e-05
genome	66	24538	1220418541	2.01062e-05
genome	67	23613	1220418541	1.93483e-05
genome	68	23259	1220418541	1.90582e-05
genome	69	22505	1220418541	1.84404e-05
genome	70	21273	1220418541	1.74309e-05
genome	71	20190	1220418541	1.65435e-05
genome	72	19683	1220418541	1.61281e-05
genome	73	19086	1220418541	1.56389e-05
genome	74	18535	1220418541	1.51874e-05
genome	75	17757	1220418541	1.45499e-05
genome	76	17310	1220418541	1.41837e-05
genome	77	17237	1220418541	1.41238e-05
genome	78	16646	1220418541	1.36396e-05
genome	79	16091	1220418541	1.31848e-05
genome	80	15463	1220418541	1.26702e-05
genome	81	15286	1220418541	1.25252e-05
genome	82	14756	1220418541	1.20909e-05
genome	83	14126	1220418541	1.15747e-05
genome	84	14246	1220418541	1.1673e-05
genome	85	13100	1220418541	1.0734e-05
genome	86	13002	1220418541	1.06537e-05
genome	87	12730	1220418541	1.04308e-05
genome	88	12634	1220418541	1.03522e-05
genome	89	12322	1220418541	1.00965e-05
genome	90	12223	1220418541	1.00154e-05
genome	91	11466	1220418541	9.39514e-06
genome	92	11350	1220418541	9.30009e-06
genome	93	11242	1220418541	9.21159e-06
genome	94	10732	1220418541	8.7937e-06
genome	95	10288	1220418541	8.42989e-06
genome	96	10207	1220418541	8.36352e-06
genome	97	9739	1220418541	7.98005e-06
genome	98	9601	1220418541	7.86697e-06
genome	99	9268	1220418541	7.59412e-06
genome	100	8674	1220418541	7.1074e-06
genome	101	8582	1220418541	7.03201e-06
genome	102	8305	1220418541	6.80504e-06
genome	103	8186	1220418541	6.70753e-06
genome	104	8073	1220418541	6.61494e-06
genome	105	7724	1220418541	6.32898e-06
genome	106	7705	1220418541	6.31341e-06
genome	107	7592	1220418541	6.22082e-06
genome	108	7696	1220418541	6.30603e-06
genome	109	7351	1220418541	6.02334e-06
genome	110	7134	1220418541	5.84554e-06
genome	111	6879	1220418541	5.63659e-06
genome	112	6747	1220418541	5.52843e-06
genome	113	6567	1220418541	5.38094e-06
genome	114	6368	1220418541	5.21788e-06
genome	115	6191	1220418541	5.07285e-06
genome	116	5928	1220418541	4.85735e-06
genome	117	5915	1220418541	4.8467e-06
genome	118	5827	1220418541	4.77459e-06
genome	119	5493	1220418541	4.50091e-06
genome	120	5584	1220418541	4.57548e-06
genome	121	5240	1220418541	4.29361e-06
genome	122	5194	1220418541	4.25592e-06
genome	123	5016	1220418541	4.11007e-06
genome	124	4983	1220418541	4.08303e-06
genome	125	4760	1220418541	3.9003e-06
genome	126	4768	1220418541	3.90686e-06
genome	127	4667	1220418541	3.8241e-06
genome	128	4680	1220418541	3.83475e-06
genome	129	4457	1220418541	3.65203e-06
genome	130	4487	1220418541	3.67661e-06
genome	131	4498	1220418541	3.68562e-06
genome	132	4137	1220418541	3.38982e-06
genome	133	4048	1220418541	3.31689e-06
genome	134	3903	1220418541	3.19808e-06
genome	135	3891	1220418541	3.18825e-06
genome	136	3868	1220418541	3.1694e-06
genome	137	3821	1220418541	3.13089e-06
genome	138	3631	1220418541	2.97521e-06
genome	139	3795	1220418541	3.10959e-06
genome	140	3723	1220418541	3.05059e-06
genome	141	3606	1220418541	2.95472e-06
genome	142	3567	1220418541	2.92277e-06
genome	143	3438	1220418541	2.81707e-06
genome	144	3291	1220418541	2.69662e-06
genome	145	3394	1220418541	2.78101e-06
genome	146	3459	1220418541	2.83427e-06
genome	147	3443	1220418541	2.82116e-06
genome	148	3252	1220418541	2.66466e-06
genome	149	3294	1220418541	2.69907e-06
genome	150	3231	1220418541	2.64745e-06
genome	151	3045	1220418541	2.49505e-06
genome	152	3083	1220418541	2.52618e-06
genome	153	2980	1220418541	2.44179e-06
genome	154	2878	1220418541	2.35821e-06
genome	155	2801	1220418541	2.29511e-06
genome	156	2853	1220418541	2.33772e-06
genome	157	2645	1220418541	2.16729e-06
genome	158	2704	1220418541	2.21563e-06
genome	159	2676	1220418541	2.19269e-06
genome	160	2689	1220418541	2.20334e-06
genome	161	2607	1220418541	2.13615e-06
genome	162	2535	1220418541	2.07716e-06
genome	163	2589	1220418541	2.1214e-06
genome	164	2512	1220418541	2.05831e-06
genome	165	2647	1220418541	2.16893e-06
genome	166	2518	1220418541	2.06323e-06
genome	167	2386	1220418541	1.95507e-06
genome	168	2364	1220418541	1.93704e-06
genome	169	2362	1220418541	1.9354e-06
genome	170	2307	1220418541	1.89034e-06
genome	171	2283	1220418541	1.87067e-06
genome	172	2129	1220418541	1.74448e-06
genome	173	2188	1220418541	1.79283e-06
genome	174	2118	1220418541	1.73547e-06
genome	175	2053	1220418541	1.68221e-06
genome	176	2058	1220418541	1.68631e-06
genome	177	1970	1220418541	1.6142e-06
genome	178	2045	1220418541	1.67565e-06
genome	179	1995	1220418541	1.63469e-06
genome	180	1889	1220418541	1.54783e-06
genome	181	1837	1220418541	1.50522e-06
genome	182	1787	1220418541	1.46425e-06
genome	183	1798	1220418541	1.47327e-06
genome	184	1641	1220418541	1.34462e-06
genome	185	1648	1220418541	1.35036e-06
genome	186	1598	1220418541	1.30939e-06
genome	187	1663	1220418541	1.36265e-06
genome	188	1758	1220418541	1.44049e-06
