feature	depth	Nsites	totalNsites
sel_scaf	0	77757459	974380168
sel_scaf	1	6689781	974380168
sel_scaf	2	5745877	974380168
sel_scaf	3	5638758	974380168
sel_scaf	4	5783641	974380168
sel_scaf	5	6065518	974380168
sel_scaf	6	6476741	974380168
sel_scaf	7	6985972	974380168
sel_scaf	8	7644616	974380168
sel_scaf	9	8454217	974380168
sel_scaf	10	9405959	974380168
sel_scaf	11	10498152	974380168
sel_scaf	12	11710507	974380168
sel_scaf	13	13014073	974380168
sel_scaf	14	14319061	974380168
sel_scaf	15	15580839	974380168
sel_scaf	16	16724576	974380168
sel_scaf	17	17704672	974380168
sel_scaf	18	18505228	974380168
sel_scaf	19	19134705	974380168
sel_scaf	20	19656465	974380168
sel_scaf	21	20128640	974380168
sel_scaf	22	20621285	974380168
sel_scaf	23	21196841	974380168
sel_scaf	24	21897492	974380168
sel_scaf	25	22792096	974380168
sel_scaf	26	23862491	974380168
sel_scaf	27	25039551	974380168
sel_scaf	28	26271878	974380168
sel_scaf	29	27515328	974380168
sel_scaf	30	28712570	974380168
sel_scaf	31	29688527	974380168
sel_scaf	32	30431601	974380168
sel_scaf	33	30888480	974380168
sel_scaf	34	30949102	974380168
sel_scaf	35	30653179	974380168
sel_scaf	36	29987508	974380168
sel_scaf	37	28921056	974380168
sel_scaf	38	27491705	974380168
sel_scaf	39	25736878	974380168
sel_scaf	40	23778019	974380168
sel_scaf	41	21633020	974380168
sel_scaf	42	19433558	974380168
sel_scaf	43	17180739	974380168
sel_scaf	44	14983470	974380168
sel_scaf	45	12878122	974380168
sel_scaf	46	10917937	974380168
sel_scaf	47	9132414	974380168
sel_scaf	48	7528957	974380168
sel_scaf	49	6126917	974380168
sel_scaf	50	4924152	974380168
sel_scaf	51	3911622	974380168
sel_scaf	52	3066844	974380168
sel_scaf	53	2380216	974380168
sel_scaf	54	1834788	974380168
sel_scaf	55	1400360	974380168
sel_scaf	56	1066113	974380168
sel_scaf	57	808990	974380168
sel_scaf	58	613408	974380168
sel_scaf	59	467127	974380168
sel_scaf	60	356980	974380168
sel_scaf	61	280412	974380168
sel_scaf	62	222510	974380168
sel_scaf	63	182341	974380168
sel_scaf	64	152145	974380168
sel_scaf	65	129816	974380168
sel_scaf	66	113827	974380168
sel_scaf	67	101744	974380168
sel_scaf	68	92008	974380168
sel_scaf	69	83513	974380168
sel_scaf	70	77959	974380168
sel_scaf	71	71670	974380168
sel_scaf	72	67610	974380168
sel_scaf	73	63111	974380168
sel_scaf	74	59373	974380168
sel_scaf	75	57085	974380168
sel_scaf	76	53547	974380168
sel_scaf	77	51558	974380168
sel_scaf	78	48441	974380168
sel_scaf	79	47316	974380168
sel_scaf	80	44539	974380168
sel_scaf	81	42950	974380168
sel_scaf	82	40996	974380168
sel_scaf	83	38915	974380168
sel_scaf	84	36969	974380168
sel_scaf	85	34989	974380168
sel_scaf	86	33459	974380168
sel_scaf	87	31558	974380168
sel_scaf	88	30507	974380168
sel_scaf	89	29196	974380168
sel_scaf	90	28119	974380168
sel_scaf	91	26792	974380168
sel_scaf	92	25565	974380168
sel_scaf	93	24334	974380168
sel_scaf	94	23379	974380168
sel_scaf	95	22326	974380168
sel_scaf	96	21114	974380168
sel_scaf	97	20580	974380168
sel_scaf	98	20261	974380168
sel_scaf	99	19251	974380168
sel_scaf	100	19179	974380168
sel_scaf	101	18204	974380168
sel_scaf	102	17761	974380168
sel_scaf	103	17458	974380168
