feature	depth	Nsites	totalNsites	propsites
genome	0	162838306	1220418541	0.133428
genome	1	20415661	1220418541	0.0167284
genome	2	17147337	1220418541	0.0140504
genome	3	16189418	1220418541	0.0132655
genome	4	16065913	1220418541	0.0131643
genome	5	16204448	1220418541	0.0132778
genome	6	16760595	1220418541	0.0137335
genome	7	17598987	1220418541	0.0144205
genome	8	18719150	1220418541	0.0153383
genome	9	20048310	1220418541	0.0164274
genome	10	21556606	1220418541	0.0176633
genome	11	23095839	1220418541	0.0189245
genome	12	24595118	1220418541	0.020153
genome	13	25910255	1220418541	0.0212306
genome	14	27015976	1220418541	0.0221366
genome	15	27953475	1220418541	0.0229048
genome	16	28743991	1220418541	0.0235526
genome	17	29526898	1220418541	0.0241941
genome	18	30364740	1220418541	0.0248806
genome	19	31320715	1220418541	0.0256639
genome	20	32488632	1220418541	0.0266209
genome	21	33747450	1220418541	0.0276524
genome	22	35133621	1220418541	0.0287882
genome	23	36457020	1220418541	0.0298726
genome	24	37602198	1220418541	0.0308109
genome	25	38464530	1220418541	0.0315175
genome	26	38870339	1220418541	0.03185
genome	27	38761227	1220418541	0.0317606
genome	28	38082392	1220418541	0.0312044
genome	29	36803848	1220418541	0.0301567
genome	30	34954031	1220418541	0.028641
genome	31	32632837	1220418541	0.0267391
genome	32	29892459	1220418541	0.0244936
genome	33	26936085	1220418541	0.0220712
genome	34	23808435	1220418541	0.0195084
genome	35	20656109	1220418541	0.0169254
genome	36	17610495	1220418541	0.0144299
genome	37	14749528	1220418541	0.0120856
genome	38	12168798	1220418541	0.009971
genome	39	9869852	1220418541	0.00808727
genome	40	7874868	1220418541	0.0064526
genome	41	6191809	1220418541	0.00507351
genome	42	4811376	1220418541	0.0039424
genome	43	3694803	1220418541	0.00302749
genome	44	2810758	1220418541	0.00230311
genome	45	2122950	1220418541	0.00173953
genome	46	1595123	1220418541	0.00130703
genome	47	1196960	1220418541	0.000980778
genome	48	903033	1220418541	0.000739937
genome	49	686422	1220418541	0.000562448
genome	50	532351	1220418541	0.000436204
genome	51	420146	1220418541	0.000344264
genome	52	338003	1220418541	0.000276957
genome	53	279790	1220418541	0.000229257
genome	54	238035	1220418541	0.000195044
genome	55	208034	1220418541	0.000170461
genome	56	185692	1220418541	0.000152154
genome	57	169217	1220418541	0.000138655
genome	58	154711	1220418541	0.000126769
genome	59	142572	1220418541	0.000116822
genome	60	133865	1220418541	0.000109688
genome	61	125762	1220418541	0.000103048
genome	62	117627	1220418541	9.63825e-05
genome	63	109981	1220418541	9.01174e-05
genome	64	105453	1220418541	8.64072e-05
genome	65	98856	1220418541	8.10017e-05
genome	66	94523	1220418541	7.74513e-05
genome	67	89611	1220418541	7.34264e-05
genome	68	85162	1220418541	6.9781e-05
genome	69	79788	1220418541	6.53776e-05
genome	70	76698	1220418541	6.28457e-05
genome	71	72096	1220418541	5.90748e-05
genome	72	69282	1220418541	5.6769e-05
genome	73	66696	1220418541	5.46501e-05
genome	74	63186	1220418541	5.1774e-05
genome	75	60559	1220418541	4.96215e-05
genome	76	58244	1220418541	4.77246e-05
genome	77	55714	1220418541	4.56516e-05
genome	78	53629	1220418541	4.39431e-05
genome	79	51312	1220418541	4.20446e-05
genome	80	49005	1220418541	4.01543e-05
genome	81	46492	1220418541	3.80951e-05
genome	82	44753	1220418541	3.66702e-05
genome	83	43159	1220418541	3.53641e-05
genome	84	41773	1220418541	3.42284e-05
genome	85	40681	1220418541	3.33336e-05
genome	86	39225	1220418541	3.21406e-05
genome	87	37744	1220418541	3.09271e-05
genome	88	35908	1220418541	2.94227e-05
genome	89	35788	1220418541	2.93244e-05
genome	90	34114	1220418541	2.79527e-05
genome	91	33801	1220418541	2.76962e-05
genome	92	32724	1220418541	2.68138e-05
genome	93	31694	1220418541	2.59698e-05
genome	94	30791	1220418541	2.52299e-05
genome	95	29722	1220418541	2.43539e-05
genome	96	29428	1220418541	2.4113e-05
genome	97	27974	1220418541	2.29216e-05
genome	98	27511	1220418541	2.25423e-05
genome	99	26605	1220418541	2.17999e-05
genome	100	25945	1220418541	2.12591e-05
genome	101	24960	1220418541	2.0452e-05
genome	102	24239	1220418541	1.98612e-05
genome	103	23841	1220418541	1.95351e-05
genome	104	23194	1220418541	1.9005e-05
genome	105	21969	1220418541	1.80012e-05
genome	106	21821	1220418541	1.78799e-05
genome	107	21813	1220418541	1.78734e-05
genome	108	20870	1220418541	1.71007e-05
genome	109	20103	1220418541	1.64722e-05
genome	110	19801	1220418541	1.62248e-05
genome	111	19334	1220418541	1.58421e-05
genome	112	18979	1220418541	1.55512e-05
genome	113	18773	1220418541	1.53824e-05
genome	114	18134	1220418541	1.48588e-05
genome	115	17541	1220418541	1.43729e-05
genome	116	17440	1220418541	1.42902e-05
genome	117	16941	1220418541	1.38813e-05
genome	118	16194	1220418541	1.32692e-05
genome	119	15862	1220418541	1.29972e-05
genome	120	15825	1220418541	1.29669e-05
genome	121	15354	1220418541	1.25809e-05
genome	122	15168	1220418541	1.24285e-05
genome	123	14717	1220418541	1.2059e-05
genome	124	14162	1220418541	1.16042e-05
genome	125	14269	1220418541	1.16919e-05
genome	126	14024	1220418541	1.14911e-05
genome	127	13566	1220418541	1.11159e-05
genome	128	12716	1220418541	1.04194e-05
genome	129	12690	1220418541	1.03981e-05
genome	130	12256	1220418541	1.00425e-05
genome	131	12307	1220418541	1.00842e-05
genome	132	11889	1220418541	9.74174e-06
genome	133	11811	1220418541	9.67783e-06
genome	134	11641	1220418541	9.53853e-06
genome	135	11334	1220418541	9.28698e-06
genome	136	10937	1220418541	8.96168e-06
genome	137	10987	1220418541	9.00265e-06
genome	138	10847	1220418541	8.88793e-06
genome	139	10364	1220418541	8.49217e-06
genome	140	10549	1220418541	8.64376e-06
genome	141	9651	1220418541	7.90794e-06
genome	142	9745	1220418541	7.98497e-06
genome	143	9165	1220418541	7.50972e-06
genome	144	9322	1220418541	7.63836e-06
genome	145	9203	1220418541	7.54086e-06
genome	146	9018	1220418541	7.38927e-06
genome	147	9031	1220418541	7.39992e-06
genome	148	8799	1220418541	7.20982e-06
genome	149	8438	1220418541	6.91402e-06
genome	150	8584	1220418541	7.03365e-06
genome	151	8267	1220418541	6.77391e-06
genome	152	8088	1220418541	6.62723e-06
genome	153	7968	1220418541	6.52891e-06
genome	154	7930	1220418541	6.49777e-06
genome	155	7678	1220418541	6.29128e-06
genome	156	7490	1220418541	6.13724e-06
genome	157	7637	1220418541	6.25769e-06
genome	158	7407	1220418541	6.06923e-06
genome	159	7481	1220418541	6.12986e-06
genome	160	7046	1220418541	5.77343e-06
genome	161	7029	1220418541	5.7595e-06
genome	162	6947	1220418541	5.69231e-06
genome	163	6985	1220418541	5.72345e-06
genome	164	6836	1220418541	5.60136e-06
genome	165	6831	1220418541	5.59726e-06
genome	166	6582	1220418541	5.39323e-06
genome	167	7025	1220418541	5.75622e-06
genome	168	6446	1220418541	5.28179e-06
genome	169	6471	1220418541	5.30228e-06
genome	170	6315	1220418541	5.17445e-06
genome	171	6143	1220418541	5.03352e-06
genome	172	5859	1220418541	4.80081e-06
genome	173	6122	1220418541	5.01631e-06
genome	174	5833	1220418541	4.77951e-06
genome	175	5933	1220418541	4.86145e-06
genome	176	5666	1220418541	4.64267e-06
genome	177	5793	1220418541	4.74673e-06
genome	178	5801	1220418541	4.75329e-06
genome	179	5549	1220418541	4.5468e-06
genome	180	5348	1220418541	4.3821e-06
genome	181	5494	1220418541	4.50173e-06
genome	182	5549	1220418541	4.5468e-06
genome	183	5352	1220418541	4.38538e-06
genome	184	5038	1220418541	4.12809e-06
genome	185	5138	1220418541	4.21003e-06
genome	186	5230	1220418541	4.28541e-06
genome	187	4882	1220418541	4.00027e-06
genome	188	4918	1220418541	4.02977e-06
genome	189	4786	1220418541	3.92161e-06
genome	190	4711	1220418541	3.86015e-06
genome	191	4852	1220418541	3.97569e-06
genome	192	4723	1220418541	3.86998e-06
genome	193	4813	1220418541	3.94373e-06
genome	194	4618	1220418541	3.78395e-06
genome	195	4634	1220418541	3.79706e-06
genome	196	4521	1220418541	3.70447e-06
genome	197	4311	1220418541	3.53239e-06
genome	198	4365	1220418541	3.57664e-06
genome	199	4344	1220418541	3.55943e-06
