feature	depth	Nsites	totalNsites
sel_scaf	0	7176968	42355970
sel_scaf	1	1374290	42355970
sel_scaf	2	1335934	42355970
sel_scaf	3	1421280	42355970
sel_scaf	4	1535970	42355970
sel_scaf	5	1643162	42355970
sel_scaf	6	1757950	42355970
sel_scaf	7	1858961	42355970
sel_scaf	8	1941035	42355970
sel_scaf	9	1993163	42355970
sel_scaf	10	2028632	42355970
sel_scaf	11	2024635	42355970
sel_scaf	12	1989095	42355970
sel_scaf	13	1918377	42355970
sel_scaf	14	1815117	42355970
sel_scaf	15	1675071	42355970
sel_scaf	16	1513241	42355970
sel_scaf	17	1335425	42355970
sel_scaf	18	1151435	42355970
sel_scaf	19	978145	42355970
sel_scaf	20	811978	42355970
sel_scaf	21	660534	42355970
sel_scaf	22	532316	42355970
sel_scaf	23	423233	42355970
sel_scaf	24	328178	42355970
sel_scaf	25	252577	42355970
sel_scaf	26	191494	42355970
sel_scaf	27	144545	42355970
sel_scaf	28	108289	42355970
sel_scaf	29	81004	42355970
sel_scaf	30	60421	42355970
sel_scaf	31	45769	42355970
sel_scaf	32	34296	42355970
sel_scaf	33	25953	42355970
sel_scaf	34	19933	42355970
sel_scaf	35	15300	42355970
sel_scaf	36	12628	42355970
sel_scaf	37	10180	42355970
sel_scaf	38	9050	42355970
sel_scaf	39	7715	42355970
sel_scaf	40	6659	42355970
sel_scaf	41	5910	42355970
sel_scaf	42	5450	42355970
sel_scaf	43	4471	42355970
sel_scaf	44	4136	42355970
sel_scaf	45	3720	42355970
sel_scaf	46	3656	42355970
sel_scaf	47	3192	42355970
sel_scaf	48	3220	42355970
sel_scaf	49	2848	42355970
sel_scaf	50	2596	42355970
sel_scaf	51	2578	42355970
sel_scaf	52	2641	42355970
sel_scaf	53	2416	42355970
sel_scaf	54	2401	42355970
sel_scaf	55	2253	42355970
sel_scaf	56	2257	42355970
sel_scaf	57	1995	42355970
sel_scaf	58	1941	42355970
sel_scaf	59	1761	42355970
sel_scaf	60	1559	42355970
sel_scaf	61	1447	42355970
sel_scaf	62	1381	42355970
sel_scaf	63	1369	42355970
sel_scaf	64	1362	42355970
sel_scaf	65	1279	42355970
sel_scaf	66	1253	42355970
sel_scaf	67	1289	42355970
sel_scaf	68	1115	42355970
sel_scaf	69	980	42355970
sel_scaf	70	946	42355970
sel_scaf	71	946	42355970
sel_scaf	72	886	42355970
sel_scaf	73	937	42355970
sel_scaf	74	901	42355970
sel_scaf	75	754	42355970
sel_scaf	76	798	42355970
sel_scaf	77	718	42355970
sel_scaf	78	777	42355970
sel_scaf	79	708	42355970
sel_scaf	80	647	42355970
sel_scaf	81	559	42355970
sel_scaf	82	471	42355970
sel_scaf	83	464	42355970
sel_scaf	84	467	42355970
sel_scaf	85	388	42355970
sel_scaf	86	317	42355970
sel_scaf	87	364	42355970
sel_scaf	88	297	42355970
sel_scaf	89	301	42355970
sel_scaf	90	339	42355970
sel_scaf	91	293	42355970
sel_scaf	92	313	42355970
sel_scaf	93	331	42355970
sel_scaf	94	314	42355970
sel_scaf	95	268	42355970
sel_scaf	96	268	42355970
sel_scaf	97	227	42355970
sel_scaf	98	236	42355970
sel_scaf	99	247	42355970
sel_scaf	100	245	42355970
sel_scaf	101	262	42355970
sel_scaf	102	212	42355970
sel_scaf	103	230	42355970
sel_scaf	104	205	42355970
sel_scaf	105	241	42355970
sel_scaf	106	195	42355970
sel_scaf	107	232	42355970
sel_scaf	108	174	42355970
sel_scaf	109	198	42355970
sel_scaf	110	186	42355970
sel_scaf	111	233	42355970
sel_scaf	112	219	42355970
sel_scaf	113	205	42355970
sel_scaf	114	176	42355970
sel_scaf	115	193	42355970
sel_scaf	116	160	42355970
sel_scaf	117	137	42355970
sel_scaf	118	155	42355970
sel_scaf	119	162	42355970
sel_scaf	120	145	42355970
sel_scaf	121	197	42355970
sel_scaf	122	149	42355970
sel_scaf	123	121	42355970
sel_scaf	124	119	42355970
sel_scaf	125	136	42355970
sel_scaf	126	110	42355970
sel_scaf	127	146	42355970
sel_scaf	128	174	42355970
sel_scaf	129	143	42355970
sel_scaf	130	133	42355970
sel_scaf	131	171	42355970
sel_scaf	132	150	42355970
sel_scaf	133	115	42355970
sel_scaf	134	121	42355970
sel_scaf	135	108	42355970
sel_scaf	136	150	42355970
sel_scaf	137	107	42355970
sel_scaf	138	94	42355970
sel_scaf	139	120	42355970
sel_scaf	140	84	42355970
sel_scaf	141	67	42355970
sel_scaf	142	70	42355970
sel_scaf	143	84	42355970
sel_scaf	144	88	42355970
sel_scaf	145	81	42355970
sel_scaf	146	98	42355970
sel_scaf	147	103	42355970
sel_scaf	148	78	42355970
sel_scaf	149	72	42355970
sel_scaf	150	80	42355970
sel_scaf	151	70	42355970
sel_scaf	152	80	42355970
sel_scaf	153	62	42355970
sel_scaf	154	60	42355970
sel_scaf	155	83	42355970
sel_scaf	156	82	42355970
sel_scaf	157	91	42355970
sel_scaf	158	85	42355970
sel_scaf	159	78	42355970
sel_scaf	160	104	42355970
sel_scaf	161	105	42355970
sel_scaf	162	87	42355970
sel_scaf	163	81	42355970
sel_scaf	164	67	42355970
sel_scaf	165	58	42355970
sel_scaf	166	61	42355970
sel_scaf	167	44	42355970
sel_scaf	168	35	42355970
