feature	depth	Nsites	totalNsites	propsites
genome	0	164739688	1105092765	0.149073
genome	1	29979806	1105092765	0.0271288
genome	2	28286299	1105092765	0.0255963
genome	3	28384466	1105092765	0.0256851
genome	4	28639616	1105092765	0.025916
genome	5	28706124	1105092765	0.0259762
genome	6	28670772	1105092765	0.0259442
genome	7	28525777	1105092765	0.025813
genome	8	28309857	1105092765	0.0256176
genome	9	28124589	1105092765	0.02545
genome	10	27859670	1105092765	0.0252103
genome	11	27597451	1105092765	0.024973
genome	12	27283485	1105092765	0.0246889
genome	13	26996049	1105092765	0.0244288
genome	14	26739170	1105092765	0.0241963
genome	15	26475430	1105092765	0.0239577
genome	16	26193412	1105092765	0.0237025
genome	17	25901236	1105092765	0.0234381
genome	18	25564077	1105092765	0.023133
genome	19	25227436	1105092765	0.0228283
genome	20	24863364	1105092765	0.0224989
genome	21	24427371	1105092765	0.0221044
genome	22	23944974	1105092765	0.0216678
genome	23	23383809	1105092765	0.02116
genome	24	22744658	1105092765	0.0205817
genome	25	22015001	1105092765	0.0199214
genome	26	21218232	1105092765	0.0192004
genome	27	20381564	1105092765	0.0184433
genome	28	19465680	1105092765	0.0176145
genome	29	18502635	1105092765	0.0167431
genome	30	17501717	1105092765	0.0158373
genome	31	16458037	1105092765	0.0148929
genome	32	15393885	1105092765	0.0139299
genome	33	14323845	1105092765	0.0129617
genome	34	13273947	1105092765	0.0120116
genome	35	12210107	1105092765	0.0110489
genome	36	11221685	1105092765	0.0101545
genome	37	10242737	1105092765	0.00926867
genome	38	9301757	1105092765	0.00841717
genome	39	8418021	1105092765	0.00761748
genome	40	7583650	1105092765	0.00686246
genome	41	6807061	1105092765	0.00615972
genome	42	6090946	1105092765	0.00551171
genome	43	5444986	1105092765	0.00492718
genome	44	4834382	1105092765	0.00437464
genome	45	4287399	1105092765	0.00387967
genome	46	3786399	1105092765	0.00342632
genome	47	3331202	1105092765	0.00301441
genome	48	2929320	1105092765	0.00265075
genome	49	2570178	1105092765	0.00232576
genome	50	2253381	1105092765	0.00203909
genome	51	1972044	1105092765	0.00178451
genome	52	1722329	1105092765	0.00155854
genome	53	1500549	1105092765	0.00135785
genome	54	1312289	1105092765	0.00118749
genome	55	1142924	1105092765	0.00103423
genome	56	992974	1105092765	0.000898544
genome	57	864985	1105092765	0.000782726
genome	58	752984	1105092765	0.000681376
genome	59	654320	1105092765	0.000592095
genome	60	571174	1105092765	0.000516856
genome	61	499126	1105092765	0.00045166
genome	62	437907	1105092765	0.000396263
genome	63	384943	1105092765	0.000348335
genome	64	337956	1105092765	0.000305817
genome	65	297257	1105092765	0.000268988
genome	66	261580	1105092765	0.000236704
genome	67	231623	1105092765	0.000209596
genome	68	204235	1105092765	0.000184813
genome	69	181841	1105092765	0.000164548
genome	70	162164	1105092765	0.000146742
genome	71	145347	1105092765	0.000131525
genome	72	129409	1105092765	0.000117102
genome	73	117801	1105092765	0.000106598
genome	74	107945	1105092765	9.76796e-05
genome	75	96888	1105092765	8.76741e-05
genome	76	87994	1105092765	7.96259e-05
genome	77	80738	1105092765	7.30599e-05
genome	78	73713	1105092765	6.6703e-05
genome	79	68622	1105092765	6.20961e-05
genome	80	63400	1105092765	5.73708e-05
genome	81	58668	1105092765	5.30888e-05
genome	82	55153	1105092765	4.9908e-05
genome	83	52035	1105092765	4.70865e-05
genome	84	48423	1105092765	4.3818e-05
genome	85	45330	1105092765	4.10192e-05
genome	86	43417	1105092765	3.92881e-05
genome	87	40444	1105092765	3.65978e-05
genome	88	38854	1105092765	3.5159e-05
genome	89	37262	1105092765	3.37184e-05
genome	90	34944	1105092765	3.16209e-05
genome	91	33466	1105092765	3.02834e-05
genome	92	31961	1105092765	2.89216e-05
genome	93	30621	1105092765	2.7709e-05
genome	94	29726	1105092765	2.68991e-05
genome	95	28677	1105092765	2.59499e-05
genome	96	27654	1105092765	2.50241e-05
genome	97	26975	1105092765	2.44097e-05
genome	98	26023	1105092765	2.35482e-05
genome	99	25117	1105092765	2.27284e-05
genome	100	24485	1105092765	2.21565e-05
genome	101	23813	1105092765	2.15484e-05
genome	102	23324	1105092765	2.11059e-05
genome	103	22580	1105092765	2.04327e-05
genome	104	22164	1105092765	2.00562e-05
genome	105	21329	1105092765	1.93006e-05
genome	106	20487	1105092765	1.85387e-05
genome	107	20243	1105092765	1.83179e-05
genome	108	19966	1105092765	1.80673e-05
genome	109	19317	1105092765	1.748e-05
genome	110	18789	1105092765	1.70022e-05
genome	111	18403	1105092765	1.66529e-05
genome	112	18126	1105092765	1.64022e-05
genome	113	17298	1105092765	1.5653e-05
genome	114	16726	1105092765	1.51354e-05
genome	115	16171	1105092765	1.46332e-05
genome	116	15769	1105092765	1.42694e-05
genome	117	15675	1105092765	1.41843e-05
genome	118	14740	1105092765	1.33382e-05
genome	119	14622	1105092765	1.32315e-05
genome	120	14388	1105092765	1.30197e-05
genome	121	13739	1105092765	1.24324e-05
genome	122	13474	1105092765	1.21926e-05
genome	123	13314	1105092765	1.20479e-05
genome	124	12972	1105092765	1.17384e-05
genome	125	12526	1105092765	1.13348e-05
genome	126	12422	1105092765	1.12407e-05
genome	127	12236	1105092765	1.10724e-05
genome	128	12389	1105092765	1.12108e-05
genome	129	11796	1105092765	1.06742e-05
genome	130	11683	1105092765	1.0572e-05
genome	131	11212	1105092765	1.01458e-05
genome	132	11375	1105092765	1.02933e-05
genome	133	10955	1105092765	9.91319e-06
genome	134	10505	1105092765	9.50599e-06
genome	135	10527	1105092765	9.5259e-06
genome	136	10336	1105092765	9.35306e-06
genome	137	9894	1105092765	8.95309e-06
genome	138	9783	1105092765	8.85265e-06
genome	139	9870	1105092765	8.93138e-06
genome	140	9505	1105092765	8.60109e-06
genome	141	9240	1105092765	8.36129e-06
genome	142	9022	1105092765	8.16402e-06
genome	143	8578	1105092765	7.76224e-06
genome	144	9001	1105092765	8.14502e-06
genome	145	8625	1105092765	7.80478e-06
genome	146	8318	1105092765	7.52697e-06
genome	147	8318	1105092765	7.52697e-06
genome	148	8033	1105092765	7.26907e-06
genome	149	7662	1105092765	6.93335e-06
genome	150	7616	1105092765	6.89173e-06
genome	151	7513	1105092765	6.79852e-06
genome	152	7638	1105092765	6.91164e-06
genome	153	7337	1105092765	6.63926e-06
genome	154	7417	1105092765	6.71165e-06
genome	155	7263	1105092765	6.5723e-06
genome	156	7206	1105092765	6.52072e-06
genome	157	6785	1105092765	6.13976e-06
genome	158	6541	1105092765	5.91896e-06
genome	159	6668	1105092765	6.03388e-06
genome	160	6475	1105092765	5.85924e-06
genome	161	6552	1105092765	5.92891e-06
genome	162	6324	1105092765	5.7226e-06
genome	163	6316	1105092765	5.71536e-06
genome	164	6176	1105092765	5.58867e-06
genome	165	6099	1105092765	5.51899e-06
genome	166	5798	1105092765	5.24662e-06
genome	167	5730	1105092765	5.18509e-06
genome	168	5867	1105092765	5.30906e-06
genome	169	5556	1105092765	5.02763e-06
genome	170	5693	1105092765	5.1516e-06
genome	171	5588	1105092765	5.05659e-06
genome	172	5477	1105092765	4.95614e-06
genome	173	5340	1105092765	4.83217e-06
genome	174	5269	1105092765	4.76793e-06
genome	175	5316	1105092765	4.81046e-06
genome	176	5088	1105092765	4.60414e-06
genome	177	4995	1105092765	4.51998e-06
genome	178	5071	1105092765	4.58876e-06
genome	179	5018	1105092765	4.5408e-06
genome	180	4897	1105092765	4.4313e-06
genome	181	4678	1105092765	4.23313e-06
genome	182	4338	1105092765	3.92546e-06
genome	183	4361	1105092765	3.94628e-06
genome	184	4154	1105092765	3.75896e-06
genome	185	4281	1105092765	3.87388e-06
genome	186	4313	1105092765	3.90284e-06
genome	187	4143	1105092765	3.74901e-06
genome	188	4111	1105092765	3.72005e-06
genome	189	4164	1105092765	3.76801e-06
genome	190	4189	1105092765	3.79063e-06
genome	191	4061	1105092765	3.6748e-06
genome	192	4099	1105092765	3.70919e-06
genome	193	3916	1105092765	3.54359e-06
genome	194	4018	1105092765	3.63589e-06
genome	195	4129	1105092765	3.73634e-06
genome	196	4038	1105092765	3.65399e-06
genome	197	3765	1105092765	3.40695e-06
genome	198	3755	1105092765	3.3979e-06
genome	199	3802	1105092765	3.44044e-06
genome	200	3657	1105092765	3.30922e-06
genome	201	3646	1105092765	3.29927e-06
genome	202	3505	1105092765	3.17168e-06
genome	203	3468	1105092765	3.1382e-06
genome	204	3435	1105092765	3.10834e-06
genome	205	3425	1105092765	3.09929e-06
genome	206	3412	1105092765	3.08752e-06
genome	207	3371	1105092765	3.05042e-06
genome	208	3419	1105092765	3.09386e-06
genome	209	3334	1105092765	3.01694e-06
genome	210	3272	1105092765	2.96084e-06
genome	211	3148	1105092765	2.84863e-06
genome	212	3200	1105092765	2.89568e-06
genome	213	3237	1105092765	2.92917e-06
genome	214	3351	1105092765	3.03232e-06
genome	215	3155	1105092765	2.85496e-06
genome	216	3326	1105092765	3.0097e-06
genome	217	3158	1105092765	2.85768e-06
genome	218	3133	1105092765	2.83506e-06
genome	219	3160	1105092765	2.85949e-06
genome	220	2967	1105092765	2.68484e-06
genome	221	2948	1105092765	2.66765e-06
genome	222	3023	1105092765	2.73552e-06
genome	223	2964	1105092765	2.68213e-06
genome	224	2840	1105092765	2.56992e-06
genome	225	2683	1105092765	2.42785e-06
genome	226	2702	1105092765	2.44504e-06
genome	227	2795	1105092765	2.5292e-06
genome	228	2686	1105092765	2.43057e-06
genome	229	2614	1105092765	2.36541e-06
genome	230	2541	1105092765	2.29935e-06
genome	231	2442	1105092765	2.20977e-06
genome	232	2497	1105092765	2.25954e-06
genome	233	2414	1105092765	2.18443e-06
genome	234	2424	1105092765	2.19348e-06
genome	235	2536	1105092765	2.29483e-06
genome	236	2560	1105092765	2.31655e-06
genome	237	2665	1105092765	2.41156e-06
genome	238	2523	1105092765	2.28307e-06
genome	239	2530	1105092765	2.2894e-06
genome	240	2460	1105092765	2.22606e-06
genome	241	2439	1105092765	2.20705e-06
genome	242	2421	1105092765	2.19077e-06
genome	243	2403	1105092765	2.17448e-06
genome	244	2405	1105092765	2.17629e-06
genome	245	2420	1105092765	2.18986e-06
genome	246	2229	1105092765	2.01703e-06
genome	247	2296	1105092765	2.07765e-06
genome	248	2164	1105092765	1.95821e-06
genome	249	2200	1105092765	1.99078e-06
genome	250	2165	1105092765	1.95911e-06
genome	251	2236	1105092765	2.02336e-06
genome	252	2123	1105092765	1.92111e-06
genome	253	2145	1105092765	1.94101e-06
genome	254	2211	1105092765	2.00074e-06
genome	255	2060	1105092765	1.8641e-06
genome	256	1909	1105092765	1.72746e-06
genome	257	1904	1105092765	1.72293e-06
genome	258	1933	1105092765	1.74917e-06
genome	259	1999	1105092765	1.8089e-06
genome	260	1851	1105092765	1.67497e-06
genome	261	1931	1105092765	1.74736e-06
genome	262	1891	1105092765	1.71117e-06
genome	263	1864	1105092765	1.68674e-06
genome	264	1841	1105092765	1.66592e-06
genome	265	1717	1105092765	1.55372e-06
genome	266	1711	1105092765	1.54829e-06
genome	267	1706	1105092765	1.54376e-06
genome	268	1814	1105092765	1.64149e-06
genome	269	1695	1105092765	1.53381e-06
genome	270	1655	1105092765	1.49761e-06
genome	271	1713	1105092765	1.5501e-06
genome	272	1735	1105092765	1.57e-06
genome	273	1698	1105092765	1.53652e-06
genome	274	1579	1105092765	1.42884e-06
genome	275	1575	1105092765	1.42522e-06
genome	276	1612	1105092765	1.4587e-06
genome	277	1488	1105092765	1.34649e-06
genome	278	1648	1105092765	1.49128e-06
genome	279	1655	1105092765	1.49761e-06
genome	280	1536	1105092765	1.38993e-06
genome	281	1529	1105092765	1.38359e-06
genome	282	1637	1105092765	1.48132e-06
genome	283	1608	1105092765	1.45508e-06
genome	284	1495	1105092765	1.35283e-06
genome	285	1472	1105092765	1.33201e-06
genome	286	1502	1105092765	1.35916e-06
