feature	depth	Nsites	totalNsites
sel_scaf	0	7031867	42355970
sel_scaf	1	1319030	42355970
sel_scaf	2	1260528	42355970
sel_scaf	3	1266648	42355970
sel_scaf	4	1301974	42355970
sel_scaf	5	1338227	42355970
sel_scaf	6	1385532	42355970
sel_scaf	7	1416021	42355970
sel_scaf	8	1446018	42355970
sel_scaf	9	1471893	42355970
sel_scaf	10	1482909	42355970
sel_scaf	11	1501178	42355970
sel_scaf	12	1511694	42355970
sel_scaf	13	1500189	42355970
sel_scaf	14	1486042	42355970
sel_scaf	15	1459399	42355970
sel_scaf	16	1421154	42355970
sel_scaf	17	1369757	42355970
sel_scaf	18	1305749	42355970
sel_scaf	19	1228450	42355970
sel_scaf	20	1142956	42355970
sel_scaf	21	1058607	42355970
sel_scaf	22	966134	42355970
sel_scaf	23	869972	42355970
sel_scaf	24	777789	42355970
sel_scaf	25	682293	42355970
sel_scaf	26	594202	42355970
sel_scaf	27	509723	42355970
sel_scaf	28	429550	42355970
sel_scaf	29	360093	42355970
sel_scaf	30	296452	42355970
sel_scaf	31	239589	42355970
sel_scaf	32	193480	42355970
sel_scaf	33	153660	42355970
sel_scaf	34	121836	42355970
sel_scaf	35	94207	42355970
sel_scaf	36	70870	42355970
sel_scaf	37	55147	42355970
sel_scaf	38	41081	42355970
sel_scaf	39	31012	42355970
sel_scaf	40	23206	42355970
sel_scaf	41	17555	42355970
sel_scaf	42	13439	42355970
sel_scaf	43	10306	42355970
sel_scaf	44	8384	42355970
sel_scaf	45	6794	42355970
sel_scaf	46	5439	42355970
sel_scaf	47	4304	42355970
sel_scaf	48	3797	42355970
sel_scaf	49	3216	42355970
sel_scaf	50	2872	42355970
sel_scaf	51	2528	42355970
sel_scaf	52	2257	42355970
sel_scaf	53	2139	42355970
sel_scaf	54	1801	42355970
sel_scaf	55	1758	42355970
sel_scaf	56	1759	42355970
sel_scaf	57	1638	42355970
sel_scaf	58	1470	42355970
sel_scaf	59	1464	42355970
sel_scaf	60	1463	42355970
sel_scaf	61	1268	42355970
sel_scaf	62	1241	42355970
sel_scaf	63	1127	42355970
sel_scaf	64	1077	42355970
sel_scaf	65	1026	42355970
sel_scaf	66	1076	42355970
sel_scaf	67	1039	42355970
sel_scaf	68	1013	42355970
sel_scaf	69	1021	42355970
sel_scaf	70	803	42355970
sel_scaf	71	753	42355970
sel_scaf	72	803	42355970
sel_scaf	73	690	42355970
sel_scaf	74	686	42355970
sel_scaf	75	570	42355970
sel_scaf	76	666	42355970
sel_scaf	77	621	42355970
sel_scaf	78	589	42355970
sel_scaf	79	540	42355970
sel_scaf	80	538	42355970
sel_scaf	81	573	42355970
sel_scaf	82	464	42355970
sel_scaf	83	502	42355970
sel_scaf	84	474	42355970
sel_scaf	85	448	42355970
sel_scaf	86	395	42355970
sel_scaf	87	411	42355970
sel_scaf	88	376	42355970
sel_scaf	89	444	42355970
sel_scaf	90	365	42355970
sel_scaf	91	357	42355970
sel_scaf	92	343	42355970
sel_scaf	93	372	42355970
sel_scaf	94	366	42355970
sel_scaf	95	331	42355970
sel_scaf	96	323	42355970
sel_scaf	97	294	42355970
sel_scaf	98	289	42355970
sel_scaf	99	340	42355970
sel_scaf	100	313	42355970
sel_scaf	101	325	42355970
sel_scaf	102	284	42355970
sel_scaf	103	277	42355970
sel_scaf	104	310	42355970
sel_scaf	105	282	42355970
sel_scaf	106	286	42355970
sel_scaf	107	333	42355970
sel_scaf	108	323	42355970
sel_scaf	109	314	42355970
sel_scaf	110	284	42355970
sel_scaf	111	261	42355970
sel_scaf	112	235	42355970
sel_scaf	113	252	42355970
sel_scaf	114	257	42355970
sel_scaf	115	255	42355970
sel_scaf	116	261	42355970
sel_scaf	117	215	42355970
sel_scaf	118	239	42355970
sel_scaf	119	231	42355970
sel_scaf	120	233	42355970
sel_scaf	121	236	42355970
sel_scaf	122	221	42355970
sel_scaf	123	185	42355970
sel_scaf	124	186	42355970
sel_scaf	125	164	42355970
sel_scaf	126	181	42355970
sel_scaf	127	133	42355970
sel_scaf	128	156	42355970
sel_scaf	129	183	42355970
sel_scaf	130	181	42355970
sel_scaf	131	184	42355970
sel_scaf	132	147	42355970
sel_scaf	133	155	42355970
sel_scaf	134	176	42355970
sel_scaf	135	194	42355970
sel_scaf	136	160	42355970
sel_scaf	137	169	42355970
sel_scaf	138	167	42355970
sel_scaf	139	145	42355970
sel_scaf	140	136	42355970
sel_scaf	141	139	42355970
sel_scaf	142	158	42355970
sel_scaf	143	138	42355970
sel_scaf	144	161	42355970
sel_scaf	145	93	42355970
sel_scaf	146	121	42355970
sel_scaf	147	129	42355970
sel_scaf	148	91	42355970
sel_scaf	149	108	42355970
sel_scaf	150	110	42355970
sel_scaf	151	102	42355970
sel_scaf	152	88	42355970
sel_scaf	153	107	42355970
sel_scaf	154	91	42355970
sel_scaf	155	103	42355970
sel_scaf	156	155	42355970
sel_scaf	157	106	42355970
sel_scaf	158	96	42355970
sel_scaf	159	86	42355970
sel_scaf	160	95	42355970
sel_scaf	161	91	42355970
sel_scaf	162	97	42355970
sel_scaf	163	98	42355970
sel_scaf	164	125	42355970
sel_scaf	165	115	42355970
sel_scaf	166	95	42355970
sel_scaf	167	48	42355970
sel_scaf	168	53	42355970
sel_scaf	169	58	42355970
sel_scaf	170	66	42355970
sel_scaf	171	70	42355970
sel_scaf	172	64	42355970
sel_scaf	173	59	42355970
sel_scaf	174	55	42355970
sel_scaf	175	62	42355970
sel_scaf	176	80	42355970
sel_scaf	177	70	42355970
sel_scaf	178	81	42355970
sel_scaf	179	79	42355970
sel_scaf	180	67	42355970
sel_scaf	181	73	42355970
sel_scaf	182	56	42355970
sel_scaf	183	43	42355970
sel_scaf	184	39	42355970
sel_scaf	185	52	42355970
sel_scaf	186	55	42355970
sel_scaf	187	64	42355970
sel_scaf	188	44	42355970
sel_scaf	189	67	42355970
sel_scaf	190	25	42355970
sel_scaf	191	35	42355970
sel_scaf	192	29	42355970
sel_scaf	193	54	42355970
sel_scaf	194	40	42355970
sel_scaf	195	46	42355970
sel_scaf	196	48	42355970
sel_scaf	197	40	42355970
sel_scaf	198	31	42355970
sel_scaf	199	30	42355970
sel_scaf	200	44	42355970
sel_scaf	201	42	42355970
sel_scaf	202	78	42355970
sel_scaf	203	42	42355970
sel_scaf	204	23	42355970
sel_scaf	205	47	42355970
sel_scaf	206	53	42355970
sel_scaf	207	45	42355970
sel_scaf	208	48	42355970
sel_scaf	209	35	42355970
sel_scaf	210	45	42355970
sel_scaf	211	53	42355970
sel_scaf	212	46	42355970
sel_scaf	213	38	42355970
sel_scaf	214	36	42355970
sel_scaf	215	38	42355970
sel_scaf	216	31	42355970
sel_scaf	217	41	42355970
sel_scaf	218	42	42355970
sel_scaf	219	34	42355970
sel_scaf	220	35	42355970
sel_scaf	221	32	42355970
sel_scaf	222	19	42355970
sel_scaf	223	40	42355970
sel_scaf	224	31	42355970
sel_scaf	225	39	42355970
sel_scaf	226	40	42355970
sel_scaf	227	29	42355970
sel_scaf	228	40	42355970
sel_scaf	229	37	42355970
sel_scaf	230	64	42355970
sel_scaf	231	50	42355970
sel_scaf	232	45	42355970
sel_scaf	233	54	42355970
sel_scaf	234	68	42355970
sel_scaf	235	55	42355970
sel_scaf	236	31	42355970
sel_scaf	237	30	42355970
sel_scaf	238	30	42355970
sel_scaf	239	40	42355970
sel_scaf	240	43	42355970
sel_scaf	241	41	42355970
sel_scaf	242	44	42355970
sel_scaf	243	52	42355970
sel_scaf	244	59	42355970
sel_scaf	245	49	42355970
sel_scaf	246	33	42355970
sel_scaf	247	40	42355970
sel_scaf	248	42	42355970
sel_scaf	249	15	42355970
sel_scaf	250	34	42355970
sel_scaf	251	29	42355970
sel_scaf	252	27	42355970
sel_scaf	253	30	42355970
sel_scaf	254	14	42355970
sel_scaf	255	21	42355970
sel_scaf	256	14	42355970
sel_scaf	257	31	42355970
sel_scaf	258	31	42355970
sel_scaf	259	16	42355970
sel_scaf	260	13	42355970
sel_scaf	261	14	42355970
sel_scaf	262	28	42355970
sel_scaf	263	29	42355970
sel_scaf	264	22	42355970
sel_scaf	265	18	42355970
sel_scaf	266	17	42355970
sel_scaf	267	22	42355970
sel_scaf	268	37	42355970
sel_scaf	269	16	42355970
sel_scaf	270	14	42355970
sel_scaf	271	14	42355970
sel_scaf	272	17	42355970
