feature	depth	Nsites	totalNsites	propsites
genome	0	174974900	1105092765	0.158335
genome	1	34053743	1105092765	0.0308153
genome	2	32731950	1105092765	0.0296192
genome	3	33840142	1105092765	0.030622
genome	4	35551527	1105092765	0.0321706
genome	5	37374865	1105092765	0.0338206
genome	6	39120808	1105092765	0.0354005
genome	7	40590263	1105092765	0.0367302
genome	8	41809213	1105092765	0.0378332
genome	9	42610794	1105092765	0.0385586
genome	10	43052866	1105092765	0.0389586
genome	11	43049054	1105092765	0.0389552
genome	12	42607732	1105092765	0.0385558
genome	13	41700930	1105092765	0.0377352
genome	14	40418120	1105092765	0.0365744
genome	15	38780297	1105092765	0.0350923
genome	16	36841144	1105092765	0.0333376
genome	17	34731535	1105092765	0.0314286
genome	18	32401082	1105092765	0.0293198
genome	19	29977365	1105092765	0.0271266
genome	20	27498573	1105092765	0.0248835
genome	21	25019358	1105092765	0.0226401
genome	22	22576905	1105092765	0.0204299
genome	23	20173774	1105092765	0.0182553
genome	24	17888299	1105092765	0.0161871
genome	25	15698276	1105092765	0.0142054
genome	26	13623615	1105092765	0.012328
genome	27	11709148	1105092765	0.0105956
genome	28	9951363	1105092765	0.009005
genome	29	8379645	1105092765	0.00758275
genome	30	6975585	1105092765	0.00631222
genome	31	5740235	1105092765	0.00519435
genome	32	4672916	1105092765	0.00422853
genome	33	3758216	1105092765	0.00340081
genome	34	3005510	1105092765	0.00271969
genome	35	2367438	1105092765	0.0021423
genome	36	1848583	1105092765	0.00167279
genome	37	1437392	1105092765	0.0013007
genome	38	1100074	1105092765	0.000995459
genome	39	841957	1105092765	0.000761888
genome	40	644227	1105092765	0.000582962
genome	41	491393	1105092765	0.000444662
genome	42	375485	1105092765	0.000339777
genome	43	292446	1105092765	0.000264635
genome	44	226087	1105092765	0.000204586
genome	45	180633	1105092765	0.000163455
genome	46	145359	1105092765	0.000131536
genome	47	120137	1105092765	0.000108712
genome	48	102308	1105092765	9.25787e-05
genome	49	88280	1105092765	7.98847e-05
genome	50	77953	1105092765	7.05398e-05
genome	51	68598	1105092765	6.20744e-05
genome	52	61679	1105092765	5.58134e-05
genome	53	57835	1105092765	5.2335e-05
genome	54	53826	1105092765	4.87072e-05
genome	55	49639	1105092765	4.49184e-05
genome	56	46729	1105092765	4.22851e-05
genome	57	43321	1105092765	3.92012e-05
genome	58	41212	1105092765	3.72928e-05
genome	59	38919	1105092765	3.52179e-05
genome	60	37057	1105092765	3.35329e-05
genome	61	35250	1105092765	3.18978e-05
genome	62	33439	1105092765	3.0259e-05
genome	63	31678	1105092765	2.86655e-05
genome	64	30172	1105092765	2.73027e-05
genome	65	28999	1105092765	2.62412e-05
genome	66	28474	1105092765	2.57662e-05
genome	67	26888	1105092765	2.4331e-05
genome	68	25302	1105092765	2.28958e-05
genome	69	25135	1105092765	2.27447e-05
genome	70	23742	1105092765	2.14842e-05
genome	71	22337	1105092765	2.02128e-05
genome	72	22008	1105092765	1.99151e-05
genome	73	20652	1105092765	1.8688e-05
genome	74	20394	1105092765	1.84546e-05
genome	75	19701	1105092765	1.78275e-05
genome	76	18969	1105092765	1.71651e-05
genome	77	17780	1105092765	1.60891e-05
genome	78	17838	1105092765	1.61416e-05
genome	79	17215	1105092765	1.55779e-05
genome	80	16774	1105092765	1.51788e-05
genome	81	16008	1105092765	1.44857e-05
genome	82	15595	1105092765	1.41119e-05
genome	83	15262	1105092765	1.38106e-05
genome	84	15175	1105092765	1.37319e-05
genome	85	14644	1105092765	1.32514e-05
genome	86	13725	1105092765	1.24198e-05
genome	87	13432	1105092765	1.21546e-05
genome	88	13030	1105092765	1.17909e-05
genome	89	12613	1105092765	1.14135e-05
genome	90	11590	1105092765	1.04878e-05
genome	91	11677	1105092765	1.05665e-05
genome	92	11422	1105092765	1.03358e-05
genome	93	11540	1105092765	1.04426e-05
genome	94	10627	1105092765	9.61639e-06
genome	95	10595	1105092765	9.58743e-06
genome	96	10395	1105092765	9.40645e-06
genome	97	10151	1105092765	9.18565e-06
genome	98	9993	1105092765	9.04268e-06
genome	99	9427	1105092765	8.53051e-06
genome	100	9218	1105092765	8.34138e-06
genome	101	8970	1105092765	8.11697e-06
genome	102	8611	1105092765	7.79211e-06
genome	103	8830	1105092765	7.99028e-06
genome	104	8881	1105092765	8.03643e-06
genome	105	8465	1105092765	7.65999e-06
genome	106	8265	1105092765	7.47901e-06
genome	107	8125	1105092765	7.35232e-06
genome	108	8050	1105092765	7.28446e-06
genome	109	7958	1105092765	7.20121e-06
genome	110	7939	1105092765	7.18401e-06
genome	111	7607	1105092765	6.88359e-06
genome	112	7364	1105092765	6.66369e-06
genome	113	7024	1105092765	6.35603e-06
genome	114	6974	1105092765	6.31078e-06
genome	115	6897	1105092765	6.2411e-06
genome	116	6769	1105092765	6.12528e-06
genome	117	6678	1105092765	6.04293e-06
genome	118	6702	1105092765	6.06465e-06
genome	119	6549	1105092765	5.9262e-06
genome	120	6462	1105092765	5.84747e-06
genome	121	6025	1105092765	5.45203e-06
genome	122	5941	1105092765	5.37602e-06
genome	123	5940	1105092765	5.37511e-06
genome	124	5679	1105092765	5.13894e-06
genome	125	5663	1105092765	5.12446e-06
genome	126	5609	1105092765	5.07559e-06
genome	127	5563	1105092765	5.03397e-06
genome	128	5126	1105092765	4.63852e-06
genome	129	5075	1105092765	4.59237e-06
genome	130	5176	1105092765	4.68377e-06
genome	131	5218	1105092765	4.72178e-06
genome	132	4942	1105092765	4.47202e-06
genome	133	4819	1105092765	4.36072e-06
genome	134	4778	1105092765	4.32362e-06
genome	135	4873	1105092765	4.40958e-06
genome	136	4619	1105092765	4.17974e-06
genome	137	4395	1105092765	3.97704e-06
genome	138	4397	1105092765	3.97885e-06
genome	139	4281	1105092765	3.87388e-06
genome	140	4077	1105092765	3.68928e-06
genome	141	3945	1105092765	3.56984e-06
genome	142	3860	1105092765	3.49292e-06
genome	143	3983	1105092765	3.60422e-06
genome	144	4129	1105092765	3.73634e-06
genome	145	3675	1105092765	3.32551e-06
genome	146	3679	1105092765	3.32913e-06
genome	147	3662	1105092765	3.31375e-06
genome	148	3430	1105092765	3.10381e-06
genome	149	3573	1105092765	3.23321e-06
genome	150	3615	1105092765	3.27122e-06
genome	151	3451	1105092765	3.12281e-06
genome	152	3222	1105092765	2.91559e-06
genome	153	3242	1105092765	2.93369e-06
