feature	depth	Nsites	totalNsites
sel_scaf	0	7058859	42355970
sel_scaf	1	1258298	42355970
sel_scaf	2	1167385	42355970
sel_scaf	3	1211620	42355970
sel_scaf	4	1315470	42355970
sel_scaf	5	1396894	42355970
sel_scaf	6	1484958	42355970
sel_scaf	7	1575438	42355970
sel_scaf	8	1647947	42355970
sel_scaf	9	1724184	42355970
sel_scaf	10	1804280	42355970
sel_scaf	11	1871544	42355970
sel_scaf	12	1931351	42355970
sel_scaf	13	1960364	42355970
sel_scaf	14	1960052	42355970
sel_scaf	15	1902904	42355970
sel_scaf	16	1798737	42355970
sel_scaf	17	1656286	42355970
sel_scaf	18	1486315	42355970
sel_scaf	19	1298654	42355970
sel_scaf	20	1093849	42355970
sel_scaf	21	895420	42355970
sel_scaf	22	716513	42355970
sel_scaf	23	556383	42355970
sel_scaf	24	423177	42355970
sel_scaf	25	311234	42355970
sel_scaf	26	224019	42355970
sel_scaf	27	157912	42355970
sel_scaf	28	110006	42355970
sel_scaf	29	75623	42355970
sel_scaf	30	51854	42355970
sel_scaf	31	36417	42355970
sel_scaf	32	25991	42355970
sel_scaf	33	18660	42355970
sel_scaf	34	14063	42355970
sel_scaf	35	11396	42355970
sel_scaf	36	8893	42355970
sel_scaf	37	7335	42355970
sel_scaf	38	6251	42355970
sel_scaf	39	5423	42355970
sel_scaf	40	5178	42355970
sel_scaf	41	4405	42355970
sel_scaf	42	3777	42355970
sel_scaf	43	3469	42355970
sel_scaf	44	3436	42355970
sel_scaf	45	3151	42355970
sel_scaf	46	2910	42355970
sel_scaf	47	2699	42355970
sel_scaf	48	2498	42355970
sel_scaf	49	2462	42355970
sel_scaf	50	2309	42355970
sel_scaf	51	2338	42355970
sel_scaf	52	2148	42355970
sel_scaf	53	2024	42355970
sel_scaf	54	1880	42355970
sel_scaf	55	1789	42355970
sel_scaf	56	1873	42355970
sel_scaf	57	1824	42355970
sel_scaf	58	1705	42355970
sel_scaf	59	1591	42355970
sel_scaf	60	1534	42355970
sel_scaf	61	1275	42355970
sel_scaf	62	1304	42355970
sel_scaf	63	1234	42355970
sel_scaf	64	1144	42355970
sel_scaf	65	1096	42355970
sel_scaf	66	1048	42355970
sel_scaf	67	1080	42355970
sel_scaf	68	975	42355970
sel_scaf	69	865	42355970
sel_scaf	70	788	42355970
sel_scaf	71	827	42355970
sel_scaf	72	773	42355970
sel_scaf	73	690	42355970
sel_scaf	74	642	42355970
sel_scaf	75	546	42355970
sel_scaf	76	508	42355970
sel_scaf	77	416	42355970
sel_scaf	78	479	42355970
sel_scaf	79	406	42355970
sel_scaf	80	394	42355970
sel_scaf	81	391	42355970
sel_scaf	82	524	42355970
sel_scaf	83	422	42355970
sel_scaf	84	394	42355970
sel_scaf	85	447	42355970
sel_scaf	86	411	42355970
sel_scaf	87	380	42355970
sel_scaf	88	396	42355970
sel_scaf	89	375	42355970
sel_scaf	90	349	42355970
sel_scaf	91	371	42355970
sel_scaf	92	343	42355970
sel_scaf	93	372	42355970
sel_scaf	94	282	42355970
sel_scaf	95	273	42355970
sel_scaf	96	190	42355970
sel_scaf	97	234	42355970
sel_scaf	98	223	42355970
sel_scaf	99	242	42355970
sel_scaf	100	176	42355970
sel_scaf	101	226	42355970
sel_scaf	102	211	42355970
sel_scaf	103	223	42355970
sel_scaf	104	230	42355970
sel_scaf	105	216	42355970
sel_scaf	106	235	42355970
sel_scaf	107	176	42355970
sel_scaf	108	191	42355970
sel_scaf	109	201	42355970
sel_scaf	110	179	42355970
sel_scaf	111	213	42355970
sel_scaf	112	208	42355970
sel_scaf	113	214	42355970
sel_scaf	114	151	42355970
sel_scaf	115	193	42355970
sel_scaf	116	169	42355970
sel_scaf	117	183	42355970
sel_scaf	118	187	42355970
sel_scaf	119	125	42355970
sel_scaf	120	132	42355970
sel_scaf	121	156	42355970
sel_scaf	122	156	42355970
sel_scaf	123	114	42355970
sel_scaf	124	141	42355970
sel_scaf	125	155	42355970
sel_scaf	126	134	42355970
sel_scaf	127	162	42355970
sel_scaf	128	128	42355970
sel_scaf	129	137	42355970
sel_scaf	130	111	42355970
sel_scaf	131	132	42355970
sel_scaf	132	110	42355970
sel_scaf	133	121	42355970
sel_scaf	134	124	42355970
sel_scaf	135	112	42355970
sel_scaf	136	99	42355970
sel_scaf	137	109	42355970
sel_scaf	138	104	42355970
sel_scaf	139	141	42355970
sel_scaf	140	90	42355970
sel_scaf	141	65	42355970
sel_scaf	142	103	42355970
sel_scaf	143	62	42355970
sel_scaf	144	102	42355970
sel_scaf	145	107	42355970
sel_scaf	146	103	42355970
sel_scaf	147	106	42355970
sel_scaf	148	57	42355970
sel_scaf	149	45	42355970
sel_scaf	150	64	42355970
sel_scaf	151	62	42355970
sel_scaf	152	57	42355970
sel_scaf	153	61	42355970
sel_scaf	154	42	42355970
sel_scaf	155	54	42355970
sel_scaf	156	76	42355970
sel_scaf	157	71	42355970
sel_scaf	158	74	42355970
sel_scaf	159	78	42355970
sel_scaf	160	66	42355970
sel_scaf	161	105	42355970
sel_scaf	162	57	42355970
sel_scaf	163	74	42355970
sel_scaf	164	78	42355970
sel_scaf	165	76	42355970
sel_scaf	166	77	42355970
sel_scaf	167	59	42355970
sel_scaf	168	66	42355970
sel_scaf	169	52	42355970
sel_scaf	170	79	42355970
sel_scaf	171	52	42355970
sel_scaf	172	88	42355970
sel_scaf	173	77	42355970
sel_scaf	174	71	42355970
sel_scaf	175	56	42355970
sel_scaf	176	54	42355970
sel_scaf	177	29	42355970
sel_scaf	178	46	42355970
sel_scaf	179	42	42355970
sel_scaf	180	38	42355970
sel_scaf	181	66	42355970
sel_scaf	182	55	42355970
sel_scaf	183	48	42355970
sel_scaf	184	33	42355970
sel_scaf	185	49	42355970
sel_scaf	186	66	42355970
sel_scaf	187	70	42355970
sel_scaf	188	69	42355970
sel_scaf	189	61	42355970
sel_scaf	190	61	42355970
sel_scaf	191	62	42355970
sel_scaf	192	109	42355970
sel_scaf	193	68	42355970
sel_scaf	194	100	42355970
sel_scaf	195	86	42355970
sel_scaf	196	64	42355970
sel_scaf	197	42	42355970
sel_scaf	198	38	42355970
sel_scaf	199	36	42355970
sel_scaf	200	44	42355970
sel_scaf	201	40	42355970
sel_scaf	202	31	42355970
sel_scaf	203	34	42355970
sel_scaf	204	30	42355970
sel_scaf	205	68	42355970
sel_scaf	206	50	42355970
sel_scaf	207	47	42355970
sel_scaf	208	36	42355970
sel_scaf	209	56	42355970
sel_scaf	210	45	42355970
sel_scaf	211	60	42355970
sel_scaf	212	43	42355970
sel_scaf	213	45	42355970
sel_scaf	214	53	42355970
sel_scaf	215	53	42355970
sel_scaf	216	52	42355970
sel_scaf	217	35	42355970
sel_scaf	218	45	42355970
sel_scaf	219	41	42355970
sel_scaf	220	44	42355970
sel_scaf	221	35	42355970
sel_scaf	222	40	42355970
sel_scaf	223	42	42355970
sel_scaf	224	35	42355970
sel_scaf	225	41	42355970
sel_scaf	226	40	42355970
sel_scaf	227	35	42355970
sel_scaf	228	47	42355970
sel_scaf	229	23	42355970
sel_scaf	230	21	42355970
sel_scaf	231	33	42355970
sel_scaf	232	33	42355970
sel_scaf	233	28	42355970
sel_scaf	234	18	42355970
sel_scaf	235	26	42355970
sel_scaf	236	28	42355970
sel_scaf	237	29	42355970
sel_scaf	238	29	42355970
sel_scaf	239	23	42355970
sel_scaf	240	48	42355970
sel_scaf	241	58	42355970
sel_scaf	242	49	42355970
sel_scaf	243	51	42355970
sel_scaf	244	40	42355970
sel_scaf	245	33	42355970
sel_scaf	246	38	42355970
sel_scaf	247	27	42355970
sel_scaf	248	40	42355970
sel_scaf	249	35	42355970
sel_scaf	250	26	42355970
sel_scaf	251	17	42355970
sel_scaf	252	19	42355970
sel_scaf	253	32	42355970
sel_scaf	254	21	42355970
sel_scaf	255	30	42355970
sel_scaf	256	34	42355970
sel_scaf	257	35	42355970
sel_scaf	258	26	42355970
sel_scaf	259	16	42355970
sel_scaf	260	15	42355970
sel_scaf	261	20	42355970
sel_scaf	262	18	42355970
sel_scaf	263	14	42355970
sel_scaf	264	15	42355970
sel_scaf	265	17	42355970
