feature	depth	Nsites	totalNsites	propsites
genome	0	172816629	1105092765	0.156382
genome	1	30472123	1105092765	0.0275743
genome	2	27455119	1105092765	0.0248442
genome	3	27232251	1105092765	0.0246425
genome	4	27760353	1105092765	0.0251204
genome	5	28655525	1105092765	0.0259304
genome	6	29898397	1105092765	0.0270551
genome	7	31464446	1105092765	0.0284722
genome	8	33374184	1105092765	0.0302003
genome	9	35698176	1105092765	0.0323033
genome	10	38491075	1105092765	0.0348306
genome	11	41615183	1105092765	0.0376576
genome	12	44802259	1105092765	0.0405416
genome	13	47777366	1105092765	0.0432338
genome	14	50115927	1105092765	0.04535
genome	15	51502589	1105092765	0.0466048
genome	16	51624102	1105092765	0.0467147
genome	17	50270372	1105092765	0.0454897
genome	18	47579008	1105092765	0.0430543
genome	19	43646052	1105092765	0.0394954
genome	20	38799637	1105092765	0.0351098
genome	21	33438122	1105092765	0.0302582
genome	22	27997639	1105092765	0.0253351
genome	23	22747714	1105092765	0.0205844
genome	24	17967488	1105092765	0.0162588
genome	25	13811253	1105092765	0.0124978
genome	26	10340433	1105092765	0.00935707
genome	27	7541474	1105092765	0.00682429
genome	28	5382758	1105092765	0.00487087
genome	29	3770469	1105092765	0.0034119
genome	30	2597888	1105092765	0.00235083
genome	31	1772210	1105092765	0.00160368
genome	32	1208195	1105092765	0.0010933
genome	33	823976	1105092765	0.000745617
genome	34	575295	1105092765	0.000520585
genome	35	414808	1105092765	0.00037536
genome	36	311197	1105092765	0.000281603
genome	37	241989	1105092765	0.000218976
genome	38	195351	1105092765	0.000176773
genome	39	166516	1105092765	0.000150681
genome	40	143300	1105092765	0.000129672
genome	41	126379	1105092765	0.000114361
genome	42	111376	1105092765	0.000100784
genome	43	102119	1105092765	9.24076e-05
genome	44	93693	1105092765	8.47829e-05
genome	45	86045	1105092765	7.78622e-05
genome	46	78131	1105092765	7.07009e-05
genome	47	72595	1105092765	6.56913e-05
genome	48	67814	1105092765	6.1365e-05
genome	49	64365	1105092765	5.8244e-05
genome	50	59443	1105092765	5.37901e-05
genome	51	56300	1105092765	5.09459e-05
genome	52	52734	1105092765	4.77191e-05
genome	53	51489	1105092765	4.65925e-05
genome	54	47644	1105092765	4.31131e-05
genome	55	44781	1105092765	4.05224e-05
genome	56	43114	1105092765	3.90139e-05
genome	57	41133	1105092765	3.72213e-05
genome	58	38884	1105092765	3.51862e-05
genome	59	37580	1105092765	3.40062e-05
genome	60	35060	1105092765	3.17258e-05
genome	61	33490	1105092765	3.03051e-05
genome	62	31939	1105092765	2.89016e-05
genome	63	31111	1105092765	2.81524e-05
genome	64	29015	1105092765	2.62557e-05
genome	65	28454	1105092765	2.57481e-05
genome	66	27622	1105092765	2.49952e-05
genome	67	26973	1105092765	2.44079e-05
genome	68	25329	1105092765	2.29202e-05
genome	69	24026	1105092765	2.17412e-05
genome	70	22778	1105092765	2.06118e-05
genome	71	22811	1105092765	2.06417e-05
genome	72	21088	1105092765	1.90826e-05
genome	73	20689	1105092765	1.87215e-05
genome	74	19470	1105092765	1.76184e-05
genome	75	18551	1105092765	1.67868e-05
genome	76	18163	1105092765	1.64357e-05
genome	77	17213	1105092765	1.55761e-05
genome	78	16471	1105092765	1.49046e-05
genome	79	15750	1105092765	1.42522e-05
genome	80	15901	1105092765	1.43888e-05
genome	81	15557	1105092765	1.40776e-05
genome	82	14650	1105092765	1.32568e-05
genome	83	14445	1105092765	1.30713e-05
genome	84	13759	1105092765	1.24505e-05
genome	85	13153	1105092765	1.19022e-05
genome	86	12960	1105092765	1.17275e-05
genome	87	12837	1105092765	1.16162e-05
genome	88	12372	1105092765	1.11954e-05
genome	89	11782	1105092765	1.06615e-05
genome	90	11900	1105092765	1.07683e-05
genome	91	11801	1105092765	1.06787e-05
genome	92	11476	1105092765	1.03846e-05
genome	93	11150	1105092765	1.00897e-05
genome	94	11232	1105092765	1.01639e-05
genome	95	10522	1105092765	9.52137e-06
genome	96	10083	1105092765	9.12412e-06
genome	97	9553	1105092765	8.64452e-06
genome	98	9709	1105092765	8.78569e-06
genome	99	9393	1105092765	8.49974e-06
genome	100	9204	1105092765	8.32871e-06
genome	101	8523	1105092765	7.71248e-06
genome	102	8672	1105092765	7.8473e-06
genome	103	8196	1105092765	7.41657e-06
genome	104	8095	1105092765	7.32518e-06
genome	105	7861	1105092765	7.11343e-06
genome	106	7722	1105092765	6.98765e-06
genome	107	7265	1105092765	6.57411e-06
genome	108	7362	1105092765	6.66188e-06
genome	109	7123	1105092765	6.44561e-06
genome	110	6757	1105092765	6.11442e-06
genome	111	6781	1105092765	6.13614e-06
genome	112	6578	1105092765	5.95244e-06
genome	113	6423	1105092765	5.81218e-06
genome	114	6330	1105092765	5.72803e-06
genome	115	6282	1105092765	5.68459e-06
genome	116	6092	1105092765	5.51266e-06
genome	117	5742	1105092765	5.19594e-06
genome	118	5856	1105092765	5.2991e-06
genome	119	5505	1105092765	4.98148e-06
genome	120	5452	1105092765	4.93352e-06
genome	121	5443	1105092765	4.92538e-06
genome	122	5539	1105092765	5.01225e-06
genome	123	5346	1105092765	4.8376e-06
genome	124	5242	1105092765	4.74349e-06
