feature	depth	Nsites	totalNsites
sel_scaf	0	7167640	42355970
sel_scaf	1	1307601	42355970
sel_scaf	2	1203754	42355970
sel_scaf	3	1250506	42355970
sel_scaf	4	1328949	42355970
sel_scaf	5	1411433	42355970
sel_scaf	6	1511581	42355970
sel_scaf	7	1588068	42355970
sel_scaf	8	1681102	42355970
sel_scaf	9	1771222	42355970
sel_scaf	10	1861908	42355970
sel_scaf	11	1937092	42355970
sel_scaf	12	1996379	42355970
sel_scaf	13	2020594	42355970
sel_scaf	14	2001796	42355970
sel_scaf	15	1927092	42355970
sel_scaf	16	1810181	42355970
sel_scaf	17	1649570	42355970
sel_scaf	18	1451609	42355970
sel_scaf	19	1236798	42355970
sel_scaf	20	1024451	42355970
sel_scaf	21	819824	42355970
sel_scaf	22	636733	42355970
sel_scaf	23	480646	42355970
sel_scaf	24	350945	42355970
sel_scaf	25	250578	42355970
sel_scaf	26	173738	42355970
sel_scaf	27	120064	42355970
sel_scaf	28	81304	42355970
sel_scaf	29	55332	42355970
sel_scaf	30	38356	42355970
sel_scaf	31	25868	42355970
sel_scaf	32	18404	42355970
sel_scaf	33	13324	42355970
sel_scaf	34	10476	42355970
sel_scaf	35	8347	42355970
sel_scaf	36	7661	42355970
sel_scaf	37	6920	42355970
sel_scaf	38	6576	42355970
sel_scaf	39	5777	42355970
sel_scaf	40	5374	42355970
sel_scaf	41	4973	42355970
sel_scaf	42	4555	42355970
sel_scaf	43	3860	42355970
sel_scaf	44	3693	42355970
sel_scaf	45	3419	42355970
sel_scaf	46	3562	42355970
sel_scaf	47	3216	42355970
sel_scaf	48	2850	42355970
sel_scaf	49	3008	42355970
sel_scaf	50	2783	42355970
sel_scaf	51	2530	42355970
sel_scaf	52	2515	42355970
sel_scaf	53	2405	42355970
sel_scaf	54	2254	42355970
sel_scaf	55	2041	42355970
sel_scaf	56	2050	42355970
sel_scaf	57	1876	42355970
sel_scaf	58	1624	42355970
sel_scaf	59	1543	42355970
sel_scaf	60	1475	42355970
sel_scaf	61	1220	42355970
sel_scaf	62	1170	42355970
sel_scaf	63	1343	42355970
sel_scaf	64	1339	42355970
sel_scaf	65	1287	42355970
sel_scaf	66	1136	42355970
sel_scaf	67	995	42355970
sel_scaf	68	894	42355970
sel_scaf	69	914	42355970
sel_scaf	70	827	42355970
sel_scaf	71	898	42355970
sel_scaf	72	932	42355970
sel_scaf	73	904	42355970
sel_scaf	74	887	42355970
sel_scaf	75	704	42355970
sel_scaf	76	659	42355970
sel_scaf	77	629	42355970
sel_scaf	78	684	42355970
sel_scaf	79	587	42355970
sel_scaf	80	622	42355970
sel_scaf	81	550	42355970
sel_scaf	82	538	42355970
sel_scaf	83	482	42355970
sel_scaf	84	488	42355970
sel_scaf	85	401	42355970
sel_scaf	86	433	42355970
sel_scaf	87	469	42355970
sel_scaf	88	438	42355970
sel_scaf	89	344	42355970
sel_scaf	90	374	42355970
sel_scaf	91	350	42355970
sel_scaf	92	339	42355970
sel_scaf	93	319	42355970
sel_scaf	94	368	42355970
sel_scaf	95	307	42355970
sel_scaf	96	391	42355970
sel_scaf	97	374	42355970
sel_scaf	98	393	42355970
sel_scaf	99	350	42355970
sel_scaf	100	321	42355970
sel_scaf	101	251	42355970
sel_scaf	102	297	42355970
sel_scaf	103	294	42355970
sel_scaf	104	243	42355970
sel_scaf	105	246	42355970
sel_scaf	106	164	42355970
sel_scaf	107	192	42355970
sel_scaf	108	238	42355970
sel_scaf	109	199	42355970
sel_scaf	110	250	42355970
sel_scaf	111	300	42355970
sel_scaf	112	214	42355970
sel_scaf	113	242	42355970
sel_scaf	114	256	42355970
sel_scaf	115	171	42355970
sel_scaf	116	225	42355970
sel_scaf	117	202	42355970
sel_scaf	118	161	42355970
sel_scaf	119	233	42355970
sel_scaf	120	185	42355970
sel_scaf	121	143	42355970
sel_scaf	122	165	42355970
sel_scaf	123	166	42355970
sel_scaf	124	161	42355970
sel_scaf	125	149	42355970
sel_scaf	126	154	42355970
sel_scaf	127	149	42355970
sel_scaf	128	129	42355970
sel_scaf	129	124	42355970
sel_scaf	130	128	42355970
sel_scaf	131	117	42355970
sel_scaf	132	118	42355970
sel_scaf	133	100	42355970
sel_scaf	134	73	42355970
sel_scaf	135	69	42355970
sel_scaf	136	99	42355970
sel_scaf	137	102	42355970
sel_scaf	138	96	42355970
sel_scaf	139	117	42355970
sel_scaf	140	184	42355970
sel_scaf	141	125	42355970
sel_scaf	142	120	42355970
sel_scaf	143	133	42355970
sel_scaf	144	120	42355970
sel_scaf	145	107	42355970
sel_scaf	146	90	42355970
sel_scaf	147	117	42355970
sel_scaf	148	106	42355970
sel_scaf	149	86	42355970
sel_scaf	150	71	42355970
sel_scaf	151	100	42355970
sel_scaf	152	106	42355970
sel_scaf	153	112	42355970
sel_scaf	154	94	42355970
sel_scaf	155	88	42355970
sel_scaf	156	104	42355970
sel_scaf	157	100	42355970
sel_scaf	158	83	42355970
sel_scaf	159	140	42355970
sel_scaf	160	126	42355970
sel_scaf	161	127	42355970
sel_scaf	162	124	42355970
sel_scaf	163	137	42355970
sel_scaf	164	103	42355970
sel_scaf	165	90	42355970
sel_scaf	166	71	42355970
sel_scaf	167	54	42355970
sel_scaf	168	89	42355970
sel_scaf	169	82	42355970
sel_scaf	170	62	42355970
sel_scaf	171	52	42355970
sel_scaf	172	65	42355970
sel_scaf	173	85	42355970
sel_scaf	174	68	42355970
sel_scaf	175	50	42355970
sel_scaf	176	61	42355970
sel_scaf	177	43	42355970
sel_scaf	178	51	42355970
sel_scaf	179	50	42355970
sel_scaf	180	49	42355970
sel_scaf	181	49	42355970
sel_scaf	182	52	42355970
sel_scaf	183	57	42355970
sel_scaf	184	50	42355970
sel_scaf	185	63	42355970
sel_scaf	186	73	42355970
sel_scaf	187	48	42355970
sel_scaf	188	35	42355970
sel_scaf	189	36	42355970
sel_scaf	190	47	42355970
sel_scaf	191	30	42355970
sel_scaf	192	58	42355970
sel_scaf	193	43	42355970
sel_scaf	194	33	42355970
sel_scaf	195	24	42355970
sel_scaf	196	21	42355970
sel_scaf	197	27	42355970
sel_scaf	198	25	42355970
sel_scaf	199	36	42355970
sel_scaf	200	33	42355970
sel_scaf	201	45	42355970
sel_scaf	202	33	42355970
sel_scaf	203	37	42355970
sel_scaf	204	50	42355970
sel_scaf	205	22	42355970
sel_scaf	206	46	42355970
sel_scaf	207	54	42355970
sel_scaf	208	21	42355970
sel_scaf	209	24	42355970
sel_scaf	210	45	42355970
sel_scaf	211	40	42355970
sel_scaf	212	32	42355970
sel_scaf	213	51	42355970
sel_scaf	214	61	42355970
sel_scaf	215	63	42355970
sel_scaf	216	54	42355970
sel_scaf	217	24	42355970
sel_scaf	218	21	42355970
sel_scaf	219	41	42355970
sel_scaf	220	42	42355970
sel_scaf	221	22	42355970
sel_scaf	222	24	42355970
sel_scaf	223	28	42355970
sel_scaf	224	21	42355970
sel_scaf	225	16	42355970
sel_scaf	226	28	42355970
sel_scaf	227	21	42355970
sel_scaf	228	21	42355970
sel_scaf	229	22	42355970
