feature	depth	Nsites	totalNsites	propsites
genome	0	176056085	1105092765	0.159313
genome	1	31223507	1105092765	0.0282542
genome	2	28020928	1105092765	0.0253562
genome	3	27770012	1105092765	0.0251291
genome	4	28280935	1105092765	0.0255915
genome	5	29216520	1105092765	0.0264381
genome	6	30571395	1105092765	0.0276641
genome	7	32289411	1105092765	0.0292187
genome	8	34438159	1105092765	0.0311631
genome	9	37011552	1105092765	0.0334918
genome	10	40048208	1105092765	0.0362397
genome	11	43415740	1105092765	0.039287
genome	12	46763631	1105092765	0.0423165
genome	13	49771822	1105092765	0.0450386
genome	14	52000784	1105092765	0.0470556
genome	15	53020312	1105092765	0.0479782
genome	16	52568514	1105092765	0.0475693
genome	17	50626929	1105092765	0.0458124
genome	18	47171321	1105092765	0.0426854
genome	19	42546262	1105092765	0.0385002
genome	20	37117715	1105092765	0.0335879
genome	21	31362010	1105092765	0.0283795
genome	22	25629921	1105092765	0.0231926
genome	23	20312856	1105092765	0.0183811
genome	24	15606965	1105092765	0.0141228
genome	25	11658852	1105092765	0.0105501
genome	26	8477267	1105092765	0.00767109
genome	27	6026376	1105092765	0.00545328
genome	28	4184178	1105092765	0.00378627
genome	29	2849221	1105092765	0.00257826
genome	30	1923815	1105092765	0.00174086
genome	31	1287857	1105092765	0.00116538
genome	32	873907	1105092765	0.0007908
genome	33	605553	1105092765	0.000547966
genome	34	434235	1105092765	0.00039294
genome	35	322632	1105092765	0.00029195
genome	36	254044	1105092765	0.000229885
genome	37	207979	1105092765	0.000188201
genome	38	178449	1105092765	0.000161479
genome	39	156663	1105092765	0.000141765
genome	40	138692	1105092765	0.000125503
genome	41	125004	1105092765	0.000113116
genome	42	113384	1105092765	0.000102601
genome	43	102976	1105092765	9.31831e-05
genome	44	95165	1105092765	8.61149e-05
genome	45	87886	1105092765	7.95282e-05
genome	46	82722	1105092765	7.48553e-05
genome	47	76581	1105092765	6.92983e-05
genome	48	70357	1105092765	6.36661e-05
genome	49	65386	1105092765	5.91679e-05
genome	50	61995	1105092765	5.60994e-05
genome	51	57891	1105092765	5.23857e-05
genome	52	54395	1105092765	4.92221e-05
genome	53	51367	1105092765	4.64821e-05
genome	54	49443	1105092765	4.4741e-05
genome	55	46075	1105092765	4.16933e-05
genome	56	44033	1105092765	3.98455e-05
genome	57	42510	1105092765	3.84674e-05
genome	58	39532	1105092765	3.57726e-05
genome	59	37957	1105092765	3.43473e-05
genome	60	36395	1105092765	3.29339e-05
genome	61	34272	1105092765	3.10128e-05
