feature	depth	Nsites	totalNsites
sel_scaf	0	6297722	42355970
sel_scaf	1	814175	42355970
sel_scaf	2	549808	42355970
sel_scaf	3	505220	42355970
sel_scaf	4	496022	42355970
sel_scaf	5	509493	42355970
sel_scaf	6	522125	42355970
sel_scaf	7	539795	42355970
sel_scaf	8	561591	42355970
sel_scaf	9	586868	42355970
sel_scaf	10	624499	42355970
sel_scaf	11	654428	42355970
sel_scaf	12	686621	42355970
sel_scaf	13	726112	42355970
sel_scaf	14	752225	42355970
sel_scaf	15	781347	42355970
sel_scaf	16	804876	42355970
sel_scaf	17	822448	42355970
sel_scaf	18	835799	42355970
sel_scaf	19	847068	42355970
sel_scaf	20	854727	42355970
sel_scaf	21	862648	42355970
sel_scaf	22	865432	42355970
sel_scaf	23	871948	42355970
sel_scaf	24	885029	42355970
sel_scaf	25	896417	42355970
sel_scaf	26	909051	42355970
sel_scaf	27	924144	42355970
sel_scaf	28	938570	42355970
sel_scaf	29	955280	42355970
sel_scaf	30	965772	42355970
sel_scaf	31	971258	42355970
sel_scaf	32	968958	42355970
sel_scaf	33	963316	42355970
sel_scaf	34	944879	42355970
sel_scaf	35	923235	42355970
sel_scaf	36	893123	42355970
sel_scaf	37	846873	42355970
sel_scaf	38	800981	42355970
sel_scaf	39	747591	42355970
sel_scaf	40	692183	42355970
sel_scaf	41	632608	42355970
sel_scaf	42	571563	42355970
sel_scaf	43	512434	42355970
sel_scaf	44	453788	42355970
sel_scaf	45	398689	42355970
sel_scaf	46	346212	42355970
sel_scaf	47	298384	42355970
sel_scaf	48	251477	42355970
sel_scaf	49	212634	42355970
sel_scaf	50	177592	42355970
sel_scaf	51	146158	42355970
sel_scaf	52	119558	42355970
sel_scaf	53	97295	42355970
sel_scaf	54	77609	42355970
sel_scaf	55	63105	42355970
sel_scaf	56	50974	42355970
sel_scaf	57	40776	42355970
sel_scaf	58	32776	42355970
sel_scaf	59	26653	42355970
sel_scaf	60	21494	42355970
sel_scaf	61	17583	42355970
sel_scaf	62	14188	42355970
sel_scaf	63	11867	42355970
sel_scaf	64	9986	42355970
sel_scaf	65	8482	42355970
sel_scaf	66	7394	42355970
sel_scaf	67	6202	42355970
sel_scaf	68	5480	42355970
sel_scaf	69	4973	42355970
sel_scaf	70	4416	42355970
sel_scaf	71	4276	42355970
sel_scaf	72	3848	42355970
sel_scaf	73	3474	42355970
sel_scaf	74	3272	42355970
sel_scaf	75	3196	42355970
sel_scaf	76	3001	42355970
sel_scaf	77	2614	42355970
sel_scaf	78	2439	42355970
sel_scaf	79	2574	42355970
sel_scaf	80	2349	42355970
sel_scaf	81	2172	42355970
sel_scaf	82	2251	42355970
sel_scaf	83	2144	42355970
sel_scaf	84	2064	42355970
sel_scaf	85	1947	42355970
sel_scaf	86	2030	42355970
sel_scaf	87	1959	42355970
sel_scaf	88	1994	42355970
sel_scaf	89	1781	42355970
sel_scaf	90	1707	42355970
sel_scaf	91	1701	42355970
sel_scaf	92	1611	42355970
sel_scaf	93	1575	42355970
sel_scaf	94	1530	42355970
