feature	depth	Nsites	totalNsites	propsites
genome	0	155005419	1105092765	0.140265
genome	1	18986395	1105092765	0.0171808
genome	2	13410862	1105092765	0.0121355
genome	3	12324221	1105092765	0.0111522
genome	4	11982601	1105092765	0.0108431
genome	5	11874174	1105092765	0.010745
genome	6	11972415	1105092765	0.0108339
genome	7	12102415	1105092765	0.0109515
genome	8	12382383	1105092765	0.0112048
genome	9	12740500	1105092765	0.0115289
genome	10	13221660	1105092765	0.0119643
genome	11	13787359	1105092765	0.0124762
genome	12	14442057	1105092765	0.0130686
genome	13	15214565	1105092765	0.0137677
genome	14	16002061	1105092765	0.0144803
genome	15	16834115	1105092765	0.0152332
genome	16	17628542	1105092765	0.0159521
genome	17	18390168	1105092765	0.0166413
genome	18	19028585	1105092765	0.017219
genome	19	19539599	1105092765	0.0176814
genome	20	19925024	1105092765	0.0180302
genome	21	20195775	1105092765	0.0182752
genome	22	20333807	1105092765	0.0184001
genome	23	20375323	1105092765	0.0184377
genome	24	20382549	1105092765	0.0184442
genome	25	20373662	1105092765	0.0184362
genome	26	20382842	1105092765	0.0184445
genome	27	20441577	1105092765	0.0184976
genome	28	20582892	1105092765	0.0186255
genome	29	20810223	1105092765	0.0188312
genome	30	21105028	1105092765	0.019098
genome	31	21481084	1105092765	0.0194383
genome	32	21889615	1105092765	0.0198079
genome	33	22286695	1105092765	0.0201673
genome	34	22616128	1105092765	0.0204654
genome	35	22873554	1105092765	0.0206983
genome	36	23027354	1105092765	0.0208375
genome	37	23035196	1105092765	0.0208446
genome	38	22881072	1105092765	0.0207051
genome	39	22536254	1105092765	0.0203931
genome	40	22008636	1105092765	0.0199156
genome	41	21302533	1105092765	0.0192767
genome	42	20445598	1105092765	0.0185013
genome	43	19414721	1105092765	0.0175684
genome	44	18263057	1105092765	0.0165263
genome	45	17004418	1105092765	0.0153873
genome	46	15660564	1105092765	0.0141713
genome	47	14292766	1105092765	0.0129335
genome	48	12883626	1105092765	0.0116584
genome	49	11512153	1105092765	0.0104174
genome	50	10169865	1105092765	0.00920273
genome	51	8896375	1105092765	0.00805034
genome	52	7706678	1105092765	0.00697378
genome	53	6605954	1105092765	0.00597774
genome	54	5603582	1105092765	0.00507069
genome	55	4703260	1105092765	0.00425599
genome	56	3923688	1105092765	0.00355055
genome	57	3240136	1105092765	0.002932
genome	58	2654361	1105092765	0.00240194
genome	59	2161354	1105092765	0.00195581
genome	60	1746660	1105092765	0.00158056
genome	61	1406598	1105092765	0.00127283
genome	62	1126685	1105092765	0.00101954
genome	63	902564	1105092765	0.000816731
genome	64	718831	1105092765	0.000650471
genome	65	573233	1105092765	0.000518719
genome	66	461787	1105092765	0.000417872
genome	67	374115	1105092765	0.000338537
genome	68	307176	1105092765	0.000277964
genome	69	253278	1105092765	0.000229192
genome	70	213762	1105092765	0.000193434
genome	71	182714	1105092765	0.000165338
genome	72	158222	1105092765	0.000143175
genome	73	139032	1105092765	0.00012581
genome	74	124722	1105092765	0.000112861
genome	75	112621	1105092765	0.000101911
genome	76	103848	1105092765	9.39722e-05
genome	77	95358	1105092765	8.62896e-05
genome	78	89284	1105092765	8.07932e-05
genome	79	83517	1105092765	7.55747e-05
genome	80	78559	1105092765	7.10882e-05
genome	81	74589	1105092765	6.74957e-05
genome	82	71018	1105092765	6.42643e-05
genome	83	68085	1105092765	6.16102e-05
genome	84	63934	1105092765	5.7854e-05
genome	85	61370	1105092765	5.55338e-05
genome	86	59166	1105092765	5.35394e-05
genome	87	56626	1105092765	5.12409e-05
genome	88	54139	1105092765	4.89905e-05
genome	89	52205	1105092765	4.72404e-05
genome	90	50076	1105092765	4.53138e-05
genome	91	48890	1105092765	4.42406e-05
genome	92	46609	1105092765	4.21766e-05
genome	93	44383	1105092765	4.01622e-05
genome	94	42670	1105092765	3.86121e-05
genome	95	41946	1105092765	3.7957e-05
genome	96	40273	1105092765	3.64431e-05
genome	97	38708	1105092765	3.50269e-05
genome	98	37072	1105092765	3.35465e-05
genome	99	36548	1105092765	3.30723e-05
genome	100	35395	1105092765	3.2029e-05
genome	101	33585	1105092765	3.03911e-05
genome	102	32626	1105092765	2.95233e-05
genome	103	31591	1105092765	2.85867e-05
genome	104	30772	1105092765	2.78456e-05
genome	105	30199	1105092765	2.73271e-05
genome	106	29005	1105092765	2.62467e-05
genome	107	27854	1105092765	2.52051e-05
genome	108	27261	1105092765	2.46685e-05
genome	109	26409	1105092765	2.38975e-05
genome	110	25751	1105092765	2.33021e-05
genome	111	24966	1105092765	2.25918e-05
genome	112	24332	1105092765	2.20181e-05
genome	113	23790	1105092765	2.15276e-05
genome	114	23157	1105092765	2.09548e-05
genome	115	22511	1105092765	2.03702e-05
genome	116	21743	1105092765	1.96753e-05
genome	117	21059	1105092765	1.90563e-05
genome	118	20704	1105092765	1.87351e-05
genome	119	19791	1105092765	1.79089e-05
genome	120	19457	1105092765	1.76067e-05
genome	121	18592	1105092765	1.68239e-05
genome	122	18285	1105092765	1.65461e-05
genome	123	18489	1105092765	1.67307e-05
