feature	depth	Nsites	totalNsites
sel_scaf	0	140773444	931466597
sel_scaf	1	67193959	931466597
sel_scaf	2	47935066	931466597
sel_scaf	3	37734643	931466597
sel_scaf	4	32643378	931466597
sel_scaf	5	30019210	931466597
sel_scaf	6	28818136	931466597
sel_scaf	7	28372334	931466597
sel_scaf	8	28362751	931466597
sel_scaf	9	28514779	931466597
sel_scaf	10	28716976	931466597
sel_scaf	11	28859873	931466597
sel_scaf	12	28847682	931466597
sel_scaf	13	28603210	931466597
sel_scaf	14	28180369	931466597
sel_scaf	15	27516984	931466597
sel_scaf	16	26707448	931466597
sel_scaf	17	25690053	931466597
sel_scaf	18	24542865	931466597
sel_scaf	19	23271398	931466597
sel_scaf	20	21953398	931466597
sel_scaf	21	20514627	931466597
sel_scaf	22	19043907	931466597
sel_scaf	23	17507001	931466597
sel_scaf	24	15937273	931466597
sel_scaf	25	14370927	931466597
sel_scaf	26	12787416	931466597
sel_scaf	27	11257438	931466597
sel_scaf	28	9789035	931466597
sel_scaf	29	8409150	931466597
sel_scaf	30	7136745	931466597
sel_scaf	31	5973373	931466597
sel_scaf	32	4948292	931466597
sel_scaf	33	4048294	931466597
sel_scaf	34	3283053	931466597
sel_scaf	35	2631956	931466597
sel_scaf	36	2083463	931466597
sel_scaf	37	1648864	931466597
sel_scaf	38	1290630	931466597
sel_scaf	39	1002347	931466597
sel_scaf	40	776662	931466597
sel_scaf	41	597830	931466597
sel_scaf	42	461686	931466597
sel_scaf	43	356098	931466597
sel_scaf	44	278891	931466597
sel_scaf	45	215747	931466597
sel_scaf	46	170500	931466597
sel_scaf	47	135897	931466597
sel_scaf	48	108892	931466597
sel_scaf	49	88928	931466597
sel_scaf	50	73554	931466597
sel_scaf	51	62537	931466597
sel_scaf	52	53917	931466597
sel_scaf	53	46709	931466597
sel_scaf	54	41266	931466597
sel_scaf	55	36579	931466597
sel_scaf	56	33012	931466597
sel_scaf	57	29488	931466597
sel_scaf	58	26934	931466597
sel_scaf	59	24936	931466597
sel_scaf	60	22531	931466597
sel_scaf	61	20984	931466597
sel_scaf	62	19915	931466597
sel_scaf	63	17930	931466597
sel_scaf	64	17143	931466597
