feature	depth	Nsites	totalNsites	propsites
genome	0	114684703	1137318704	0.100838
genome	1	21380677	1137318704	0.0187992
genome	2	20092107	1137318704	0.0176662
genome	3	20111283	1137318704	0.0176831
genome	4	21003577	1137318704	0.0184676
genome	5	22480146	1137318704	0.0197659
genome	6	24777821	1137318704	0.0217862
genome	7	27849874	1137318704	0.0244873
genome	8	31812605	1137318704	0.0279716
genome	9	36643388	1137318704	0.0322191
genome	10	42231697	1137318704	0.0371327
genome	11	48111300	1137318704	0.0423024
genome	12	53833285	1137318704	0.0473335
genome	13	58902781	1137318704	0.0517909
genome	14	62635883	1137318704	0.0550733
genome	15	64616709	1137318704	0.056815
genome	16	64598247	1137318704	0.0567987
genome	17	62537112	1137318704	0.0549864
genome	18	58618215	1137318704	0.0515407
genome	19	53209075	1137318704	0.0467847
genome	20	46808541	1137318704	0.0411569
genome	21	39929293	1137318704	0.0351083
genome	22	33060968	1137318704	0.0290692
genome	23	26579820	1137318704	0.0233706
genome	24	20800496	1137318704	0.0182891
genome	25	15830487	1137318704	0.0139191
genome	26	11764774	1137318704	0.0103443
genome	27	8558315	1137318704	0.00752499
genome	28	6089220	1137318704	0.00535401
genome	29	4263616	1137318704	0.00374883
genome	30	2948404	1137318704	0.00259242
genome	31	2026043	1137318704	0.00178142
genome	32	1394989	1137318704	0.00122656
genome	33	968117	1137318704	0.000851228
genome	34	687089	1137318704	0.000604131
genome	35	501941	1137318704	0.000441337
genome	36	383083	1137318704	0.00033683
genome	37	306195	1137318704	0.000269225
genome	38	253810	1137318704	0.000223165
genome	39	218447	1137318704	0.000192072
genome	40	189802	1137318704	0.000166886
genome	41	169183	1137318704	0.000148756
genome	42	152763	1137318704	0.000134319
genome	43	139985	1137318704	0.000123083
genome	44	129438	1137318704	0.00011381
genome	45	119156	1137318704	0.000104769
genome	46	110416	1137318704	9.70845e-05
genome	47	101867	1137318704	8.95677e-05
genome	48	95671	1137318704	8.41198e-05
genome	49	88706	1137318704	7.79957e-05
genome	50	82918	1137318704	7.29066e-05
genome	51	78148	1137318704	6.87125e-05
genome	52	73962	1137318704	6.50319e-05
genome	53	69932	1137318704	6.14885e-05
genome	54	65277	1137318704	5.73955e-05
genome	55	61609	1137318704	5.41704e-05
genome	56	58490	1137318704	5.1428e-05
genome	57	55905	1137318704	4.91551e-05
genome	58	52529	1137318704	4.61867e-05
genome	59	50158	1137318704	4.4102e-05
genome	60	48242	1137318704	4.24173e-05
genome	61	46234	1137318704	4.06518e-05
genome	62	44490	1137318704	3.91183e-05
genome	63	42283	1137318704	3.71778e-05
genome	64	40244	1137318704	3.5385e-05
genome	65	38508	1137318704	3.38586e-05
genome	66	37338	1137318704	3.28298e-05
genome	67	36120	1137318704	3.17589e-05
genome	68	34909	1137318704	3.06941e-05
genome	69	33267	1137318704	2.92504e-05
genome	70	31469	1137318704	2.76695e-05
genome	71	30258	1137318704	2.66047e-05
genome	72	29636	1137318704	2.60578e-05
genome	73	27967	1137318704	2.45903e-05
genome	74	27057	1137318704	2.37902e-05
genome	75	25934	1137318704	2.28028e-05
genome	76	25445	1137318704	2.23728e-05
genome	77	24438	1137318704	2.14874e-05
genome	78	23692	1137318704	2.08315e-05
genome	79	22707	1137318704	1.99654e-05
genome	80	21786	1137318704	1.91556e-05
genome	81	20869	1137318704	1.83493e-05
genome	82	20089	1137318704	1.76635e-05
genome	83	19590	1137318704	1.72247e-05
genome	84	19110	1137318704	1.68027e-05
genome	85	18458	1137318704	1.62294e-05
genome	86	18029	1137318704	1.58522e-05
genome	87	17596	1137318704	1.54715e-05
genome	88	17021	1137318704	1.49659e-05
genome	89	17135	1137318704	1.50661e-05
genome	90	16457	1137318704	1.447e-05
genome	91	16203	1137318704	1.42467e-05
genome	92	15447	1137318704	1.35819e-05
genome	93	15060	1137318704	1.32417e-05
genome	94	14221	1137318704	1.2504e-05
genome	95	14055	1137318704	1.2358e-05
genome	96	13436	1137318704	1.18138e-05
genome	97	13010	1137318704	1.14392e-05
genome	98	12853	1137318704	1.13011e-05
genome	99	12297	1137318704	1.08123e-05
genome	100	11774	1137318704	1.03524e-05
genome	101	11643	1137318704	1.02372e-05
genome	102	11732	1137318704	1.03155e-05
genome	103	11013	1137318704	9.6833e-06
genome	104	10838	1137318704	9.52943e-06
genome	105	10801	1137318704	9.4969e-06
genome	106	10569	1137318704	9.29291e-06
genome	107	10344	1137318704	9.09508e-06
genome	108	9951	1137318704	8.74953e-06
genome	109	9771	1137318704	8.59126e-06
genome	110	9562	1137318704	8.40749e-06
genome	111	8983	1137318704	7.8984e-06
genome	112	9102	1137318704	8.00303e-06
genome	113	9098	1137318704	7.99952e-06
genome	114	8872	1137318704	7.8008e-06
genome	115	8522	1137318704	7.49306e-06
genome	116	8204	1137318704	7.21346e-06
genome	117	8077	1137318704	7.10179e-06
genome	118	8198	1137318704	7.20818e-06
genome	119	8120	1137318704	7.1396e-06
genome	120	7836	1137318704	6.88989e-06
genome	121	7457	1137318704	6.55665e-06
genome	122	7233	1137318704	6.3597e-06
genome	123	7031	1137318704	6.18208e-06
genome	124	7070	1137318704	6.21638e-06
genome	125	6949	1137318704	6.10998e-06
genome	126	6559	1137318704	5.76707e-06
genome	127	6708	1137318704	5.89808e-06
genome	128	6359	1137318704	5.59122e-06
genome	129	6417	1137318704	5.64222e-06
genome	130	6419	1137318704	5.64398e-06
genome	131	6322	1137318704	5.55869e-06
genome	132	6368	1137318704	5.59913e-06
genome	133	5979	1137318704	5.2571e-06
genome	134	6014	1137318704	5.28788e-06
genome	135	6113	1137318704	5.37492e-06
genome	136	5991	1137318704	5.26765e-06
genome	137	5828	1137318704	5.12433e-06
genome	138	5663	1137318704	4.97926e-06
genome	139	5535	1137318704	4.86671e-06
genome	140	5318	1137318704	4.67591e-06
genome	141	5382	1137318704	4.73218e-06
genome	142	5504	1137318704	4.83945e-06
genome	143	5278	1137318704	4.64074e-06
genome	144	5057	1137318704	4.44642e-06
genome	145	5042	1137318704	4.43323e-06
genome	146	5106	1137318704	4.48951e-06
genome	147	4789	1137318704	4.21078e-06
genome	148	4814	1137318704	4.23276e-06
genome	149	4711	1137318704	4.1422e-06
genome	150	4649	1137318704	4.08768e-06
genome	151	4553	1137318704	4.00328e-06
genome	152	4386	1137318704	3.85644e-06
genome	153	4243	1137318704	3.7307e-06
genome	154	4060	1137318704	3.5698e-06
genome	155	3989	1137318704	3.50737e-06
genome	156	4002	1137318704	3.5188e-06
genome	157	3926	1137318704	3.45198e-06
genome	158	3709	1137318704	3.26118e-06
genome	159	3914	1137318704	3.44143e-06
genome	160	3758	1137318704	3.30426e-06
genome	161	3859	1137318704	3.39307e-06
genome	162	3864	1137318704	3.39746e-06
genome	163	3619	1137318704	3.18205e-06
genome	164	3706	1137318704	3.25854e-06
genome	165	3554	1137318704	3.12489e-06
genome	166	3587	1137318704	3.15391e-06
genome	167	3535	1137318704	3.10819e-06
genome	168	3429	1137318704	3.01499e-06
genome	169	3515	1137318704	3.0906e-06
genome	170	3427	1137318704	3.01323e-06
genome	171	3524	1137318704	3.09852e-06
genome	172	3299	1137318704	2.90068e-06
genome	173	3321	1137318704	2.92003e-06
genome	174	3318	1137318704	2.91739e-06
genome	175	3217	1137318704	2.82858e-06
genome	176	3062	1137318704	2.6923e-06
genome	177	3186	1137318704	2.80133e-06
genome	178	2921	1137318704	2.56832e-06
genome	179	2997	1137318704	2.63515e-06
genome	180	2915	1137318704	2.56305e-06
genome	181	2714	1137318704	2.38631e-06
genome	182	2913	1137318704	2.56129e-06
genome	183	3035	1137318704	2.66856e-06
genome	184	2898	1137318704	2.5481e-06
genome	185	3020	1137318704	2.65537e-06
genome	186	2773	1137318704	2.43819e-06
genome	187	2731	1137318704	2.40126e-06
genome	188	2693	1137318704	2.36785e-06
genome	189	2746	1137318704	2.41445e-06
genome	190	2548	1137318704	2.24036e-06
genome	191	2505	1137318704	2.20255e-06
genome	192	2508	1137318704	2.20519e-06
genome	193	2401	1137318704	2.11111e-06
genome	194	2508	1137318704	2.20519e-06
genome	195	2500	1137318704	2.19815e-06
genome	196	2366	1137318704	2.08033e-06
genome	197	2417	1137318704	2.12517e-06
genome	198	2322	1137318704	2.04164e-06
genome	199	2331	1137318704	2.04956e-06
genome	200	2242	1137318704	1.9713e-06
genome	201	2206	1137318704	1.93965e-06
genome	202	2335	1137318704	2.05307e-06
genome	203	2249	1137318704	1.97746e-06
genome	204	2092	1137318704	1.83941e-06
genome	205	2048	1137318704	1.80073e-06
genome	206	2043	1137318704	1.79633e-06
genome	207	1957	1137318704	1.72071e-06
genome	208	2060	1137318704	1.81128e-06
genome	209	2101	1137318704	1.84733e-06
genome	210	2034	1137318704	1.78842e-06
genome	211	2053	1137318704	1.80512e-06
genome	212	1966	1137318704	1.72863e-06
genome	213	2006	1137318704	1.7638e-06
genome	214	1938	1137318704	1.70401e-06
genome	215	1852	1137318704	1.62839e-06
genome	216	1957	1137318704	1.72071e-06
