feature	depth	Nsites	totalNsites	propsites
genome	0	113601556	1137318704	0.0998854
genome	1	17518350	1137318704	0.0154032
genome	2	16139863	1137318704	0.0141912
genome	3	16293523	1137318704	0.0143263
genome	4	17192818	1137318704	0.015117
genome	5	18648350	1137318704	0.0163968
genome	6	20642241	1137318704	0.0181499
genome	7	22995039	1137318704	0.0202186
genome	8	25540366	1137318704	0.0224566
genome	9	28116965	1137318704	0.0247222
genome	10	30470560	1137318704	0.0267916
genome	11	32571402	1137318704	0.0286388
genome	12	34569935	1137318704	0.030396
genome	13	36527396	1137318704	0.0321171
genome	14	38655031	1137318704	0.0339879
genome	15	41034564	1137318704	0.0360801
genome	16	43569900	1137318704	0.0383093
genome	17	46132134	1137318704	0.0405622
genome	18	48329432	1137318704	0.0424942
genome	19	49980503	1137318704	0.0439459
genome	20	50697893	1137318704	0.0445767
genome	21	50306204	1137318704	0.0442323
genome	22	48739288	1137318704	0.0428546
genome	23	46011197	1137318704	0.0404559
genome	24	42301529	1137318704	0.0371941
genome	25	37848317	1137318704	0.0332786
genome	26	32974901	1137318704	0.0289935
genome	27	27995881	1137318704	0.0246157
genome	28	23161765	1137318704	0.0203652
genome	29	18674521	1137318704	0.0164198
genome	30	14710466	1137318704	0.0129343
genome	31	11286769	1137318704	0.00992402
genome	32	8481910	1137318704	0.00745781
genome	33	6242650	1137318704	0.00548892
genome	34	4511113	1137318704	0.00396645
genome	35	3206323	1137318704	0.00281919
genome	36	2263506	1137318704	0.00199021
genome	37	1586863	1137318704	0.00139527
genome	38	1118135	1137318704	0.000983133
genome	39	796764	1137318704	0.000700564
genome	40	580471	1137318704	0.000510386
genome	41	437494	1137318704	0.000384671
genome	42	341866	1137318704	0.000300589
genome	43	277649	1137318704	0.000244126
genome	44	231573	1137318704	0.000203613
genome	45	202174	1137318704	0.000177764
genome	46	180061	1137318704	0.000158321
genome	47	161261	1137318704	0.000141791
genome	48	147279	1137318704	0.000129497
genome	49	133989	1137318704	0.000117811
genome	50	124075	1137318704	0.000109094
genome	51	113804	1137318704	0.000100063
genome	52	105860	1137318704	9.30786e-05
genome	53	98983	1137318704	8.70319e-05
genome	54	91434	1137318704	8.03944e-05
genome	55	84701	1137318704	7.44743e-05
genome	56	79559	1137318704	6.99531e-05
genome	57	74524	1137318704	6.55261e-05
genome	58	69637	1137318704	6.12291e-05
genome	59	65425	1137318704	5.75257e-05
genome	60	62004	1137318704	5.45177e-05
genome	61	57738	1137318704	5.07668e-05
genome	62	55138	1137318704	4.84807e-05
genome	63	53119	1137318704	4.67055e-05
genome	64	49740	1137318704	4.37344e-05
genome	65	46966	1137318704	4.12954e-05
genome	66	44977	1137318704	3.95465e-05
genome	67	42669	1137318704	3.75172e-05
genome	68	40613	1137318704	3.57094e-05
genome	69	38836	1137318704	3.4147e-05
genome	70	37493	1137318704	3.29661e-05
genome	71	36784	1137318704	3.23427e-05
genome	72	34724	1137318704	3.05315e-05
genome	73	34867	1137318704	3.06572e-05
genome	74	32804	1137318704	2.88433e-05
genome	75	31908	1137318704	2.80555e-05
genome	76	30270	1137318704	2.66152e-05
genome	77	29731	1137318704	2.61413e-05
genome	78	28545	1137318704	2.50985e-05
genome	79	27667	1137318704	2.43265e-05
genome	80	26651	1137318704	2.34332e-05
genome	81	25255	1137318704	2.22057e-05
genome	82	24682	1137318704	2.17019e-05
genome	83	24047	1137318704	2.11436e-05
genome	84	23470	1137318704	2.06363e-05
genome	85	23095	1137318704	2.03065e-05
genome	86	21976	1137318704	1.93226e-05
genome	87	21796	1137318704	1.91644e-05
genome	88	21148	1137318704	1.85946e-05
genome	89	20458	1137318704	1.79879e-05
genome	90	20323	1137318704	1.78692e-05
genome	91	19742	1137318704	1.73584e-05
genome	92	19180	1137318704	1.68642e-05
genome	93	18752	1137318704	1.64879e-05
genome	94	18745	1137318704	1.64817e-05
genome	95	17717	1137318704	1.55779e-05
genome	96	17214	1137318704	1.51356e-05
genome	97	16750	1137318704	1.47276e-05
genome	98	16276	1137318704	1.43109e-05
genome	99	16191	1137318704	1.42361e-05
genome	100	15685	1137318704	1.37912e-05
genome	101	15306	1137318704	1.3458e-05
genome	102	14685	1137318704	1.29119e-05
genome	103	14405	1137318704	1.26658e-05
genome	104	13899	1137318704	1.22208e-05
genome	105	13303	1137318704	1.16968e-05
genome	106	12698	1137318704	1.11649e-05
genome	107	12964	1137318704	1.13987e-05
genome	108	12385	1137318704	1.08896e-05
genome	109	11754	1137318704	1.03348e-05
genome	110	11751	1137318704	1.03322e-05
genome	111	11559	1137318704	1.01634e-05
genome	112	10946	1137318704	9.62439e-06
genome	113	11133	1137318704	9.78881e-06
genome	114	10968	1137318704	9.64374e-06
genome	115	10804	1137318704	9.49954e-06
genome	116	10830	1137318704	9.5224e-06
genome	117	10002	1137318704	8.79437e-06
genome	118	9864	1137318704	8.67303e-06
genome	119	9783	1137318704	8.60181e-06
genome	120	9720	1137318704	8.54642e-06
genome	121	9124	1137318704	8.02238e-06
genome	122	8976	1137318704	7.89225e-06
genome	123	8665	1137318704	7.6188e-06
genome	124	8393	1137318704	7.37964e-06
genome	125	8341	1137318704	7.33392e-06
genome	126	7893	1137318704	6.94001e-06
genome	127	7536	1137318704	6.62611e-06
genome	128	7545	1137318704	6.63402e-06
genome	129	7385	1137318704	6.49334e-06
genome	130	7364	1137318704	6.47488e-06
genome	131	7243	1137318704	6.36849e-06
genome	132	6925	1137318704	6.08888e-06
genome	133	6739	1137318704	5.92534e-06
genome	134	6875	1137318704	6.04492e-06
genome	135	6725	1137318704	5.91303e-06
genome	136	6756	1137318704	5.94029e-06
genome	137	6643	1137318704	5.84093e-06
genome	138	6401	1137318704	5.62815e-06
genome	139	6159	1137318704	5.41537e-06
genome	140	6203	1137318704	5.45406e-06
genome	141	6117	1137318704	5.37844e-06
genome	142	5926	1137318704	5.2105e-06
genome	143	5758	1137318704	5.06279e-06
genome	144	5709	1137318704	5.0197e-06
genome	145	5724	1137318704	5.03289e-06
genome	146	5789	1137318704	5.09004e-06
genome	147	5645	1137318704	4.96343e-06
genome	148	5659	1137318704	4.97574e-06
genome	149	5259	1137318704	4.62403e-06
genome	150	5277	1137318704	4.63986e-06
genome	151	5321	1137318704	4.67855e-06
genome	152	5252	1137318704	4.61788e-06
genome	153	5052	1137318704	4.44203e-06
genome	154	5262	1137318704	4.62667e-06
genome	155	5116	1137318704	4.4983e-06
genome	156	4903	1137318704	4.31102e-06
genome	157	5168	1137318704	4.54402e-06
genome	158	5034	1137318704	4.4262e-06
genome	159	4786	1137318704	4.20814e-06
genome	160	4664	1137318704	4.10087e-06
genome	161	4661	1137318704	4.09824e-06
genome	162	4635	1137318704	4.07537e-06
genome	163	4492	1137318704	3.94964e-06
genome	164	4401	1137318704	3.86963e-06
genome	165	4309	1137318704	3.78874e-06
genome	166	4349	1137318704	3.82391e-06
genome	167	4253	1137318704	3.7395e-06
genome	168	4116	1137318704	3.61904e-06
genome	169	3917	1137318704	3.44407e-06
