feature	depth	Nsites	totalNsites
sel_scaf	0	55399713	931466597
sel_scaf	1	7607161	931466597
sel_scaf	2	7357306	931466597
sel_scaf	3	8219091	931466597
sel_scaf	4	9653195	931466597
sel_scaf	5	11577210	931466597
sel_scaf	6	13959278	931466597
sel_scaf	7	16705866	931466597
sel_scaf	8	19642949	931466597
sel_scaf	9	22543206	931466597
sel_scaf	10	25298958	931466597
sel_scaf	11	27855181	931466597
sel_scaf	12	30230689	931466597
sel_scaf	13	32656785	931466597
sel_scaf	14	35209788	931466597
sel_scaf	15	37916601	931466597
sel_scaf	16	40578878	931466597
sel_scaf	17	43101267	931466597
sel_scaf	18	45204396	931466597
sel_scaf	19	46568577	931466597
sel_scaf	20	46992018	931466597
sel_scaf	21	46338536	931466597
sel_scaf	22	44581124	931466597
sel_scaf	23	41776850	931466597
sel_scaf	24	38147776	931466597
sel_scaf	25	33943932	931466597
sel_scaf	26	29426055	931466597
sel_scaf	27	24847186	931466597
sel_scaf	28	20490004	931466597
sel_scaf	29	16493823	931466597
sel_scaf	30	12953366	931466597
sel_scaf	31	9959073	931466597
sel_scaf	32	7502323	931466597
sel_scaf	33	5523874	931466597
sel_scaf	34	3992698	931466597
sel_scaf	35	2843899	931466597
sel_scaf	36	1988755	931466597
sel_scaf	37	1381661	931466597
sel_scaf	38	958467	931466597
sel_scaf	39	667651	931466597
sel_scaf	40	470072	931466597
sel_scaf	41	338828	931466597
sel_scaf	42	250515	931466597
sel_scaf	43	191143	931466597
sel_scaf	44	153595	931466597
sel_scaf	45	128486	931466597
sel_scaf	46	110091	931466597
sel_scaf	47	96159	931466597
sel_scaf	48	86283	931466597
sel_scaf	49	77459	931466597
sel_scaf	50	70427	931466597
sel_scaf	51	64184	931466597
sel_scaf	52	59109	931466597
sel_scaf	53	55085	931466597
sel_scaf	54	50755	931466597
sel_scaf	55	47506	931466597
sel_scaf	56	43763	931466597
sel_scaf	57	40869	931466597
sel_scaf	58	38013	931466597
sel_scaf	59	35618	931466597
sel_scaf	60	32021	931466597
sel_scaf	61	30025	931466597
sel_scaf	62	28560	931466597
sel_scaf	63	27102	931466597
sel_scaf	64	25700	931466597
sel_scaf	65	24117	931466597
sel_scaf	66	22870	931466597
sel_scaf	67	21988	931466597
sel_scaf	68	21113	931466597
sel_scaf	69	19918	931466597
sel_scaf	70	19071	931466597
sel_scaf	71	17758	931466597
sel_scaf	72	17025	931466597
sel_scaf	73	16927	931466597
sel_scaf	74	15945	931466597
sel_scaf	75	15767	931466597
sel_scaf	76	14827	931466597
sel_scaf	77	14369	931466597
sel_scaf	78	13250	931466597
sel_scaf	79	12527	931466597
sel_scaf	80	12019	931466597
sel_scaf	81	11215	931466597
sel_scaf	82	10983	931466597
sel_scaf	83	10284	931466597
sel_scaf	84	9829	931466597
sel_scaf	85	9672	931466597
sel_scaf	86	9191	931466597
sel_scaf	87	8865	931466597
sel_scaf	88	8360	931466597
sel_scaf	89	8080	931466597
sel_scaf	90	7566	931466597
sel_scaf	91	7572	931466597
sel_scaf	92	7469	931466597
sel_scaf	93	6881	931466597
sel_scaf	94	6610	931466597
sel_scaf	95	6445	931466597
sel_scaf	96	6401	931466597
sel_scaf	97	5761	931466597
sel_scaf	98	5718	931466597
sel_scaf	99	5730	931466597
sel_scaf	100	5461	931466597
sel_scaf	101	5377	931466597
sel_scaf	102	5155	931466597
sel_scaf	103	4907	931466597
sel_scaf	104	5204	931466597
sel_scaf	105	4890	931466597
sel_scaf	106	4722	931466597
sel_scaf	107	4634	931466597
sel_scaf	108	4286	931466597
sel_scaf	109	4340	931466597
sel_scaf	110	4325	931466597
sel_scaf	111	4037	931466597
sel_scaf	112	4093	931466597
sel_scaf	113	3886	931466597
sel_scaf	114	3660	931466597
sel_scaf	115	3683	931466597
sel_scaf	116	3523	931466597
sel_scaf	117	3519	931466597
sel_scaf	118	3444	931466597
sel_scaf	119	3318	931466597
sel_scaf	120	3403	931466597
sel_scaf	121	3322	931466597
sel_scaf	122	3376	931466597
sel_scaf	123	3171	931466597
sel_scaf	124	3226	931466597
sel_scaf	125	3174	931466597
sel_scaf	126	3320	931466597
sel_scaf	127	3016	931466597
sel_scaf	128	2852	931466597
sel_scaf	129	2918	931466597
sel_scaf	130	2911	931466597
sel_scaf	131	2853	931466597
sel_scaf	132	2872	931466597
sel_scaf	133	2732	931466597
sel_scaf	134	2761	931466597
sel_scaf	135	2641	931466597
sel_scaf	136	2435	931466597
sel_scaf	137	2495	931466597
sel_scaf	138	2409	931466597
sel_scaf	139	2266	931466597
sel_scaf	140	2409	931466597
sel_scaf	141	2307	931466597
sel_scaf	142	2333	931466597
sel_scaf	143	2260	931466597
sel_scaf	144	2199	931466597
sel_scaf	145	2145	931466597
sel_scaf	146	2130	931466597
sel_scaf	147	2177	931466597
sel_scaf	148	2128	931466597
sel_scaf	149	2090	931466597
