feature	depth	Nsites	totalNsites
sel_scaf	0	77972423	931466597
sel_scaf	1	10836216	931466597
sel_scaf	2	10830371	931466597
sel_scaf	3	12189867	931466597
sel_scaf	4	14433920	931466597
sel_scaf	5	17401815	931466597
sel_scaf	6	20847801	931466597
sel_scaf	7	24423127	931466597
sel_scaf	8	27889100	931466597
sel_scaf	9	31014224	931466597
sel_scaf	10	33958142	931466597
sel_scaf	11	36756971	931466597
sel_scaf	12	39591497	931466597
sel_scaf	13	42501329	931466597
sel_scaf	14	45310462	931466597
sel_scaf	15	47782610	931466597
sel_scaf	16	49541825	931466597
sel_scaf	17	50159643	931466597
sel_scaf	18	49439879	931466597
sel_scaf	19	47289906	931466597
sel_scaf	20	43858012	931466597
sel_scaf	21	39398084	931466597
sel_scaf	22	34303599	931466597
sel_scaf	23	28904741	931466597
sel_scaf	24	23602169	931466597
sel_scaf	25	18704636	931466597
sel_scaf	26	14390787	931466597
sel_scaf	27	10770077	931466597
sel_scaf	28	7843941	931466597
sel_scaf	29	5581245	931466597
sel_scaf	30	3884936	931466597
sel_scaf	31	2651296	931466597
sel_scaf	32	1789338	931466597
sel_scaf	33	1199541	931466597
sel_scaf	34	802130	931466597
sel_scaf	35	546198	931466597
sel_scaf	36	381481	931466597
sel_scaf	37	273148	931466597
sel_scaf	38	207602	931466597
sel_scaf	39	164041	931466597
sel_scaf	40	133997	931466597
sel_scaf	41	113921	931466597
sel_scaf	42	100111	931466597
sel_scaf	43	89445	931466597
sel_scaf	44	79210	931466597
sel_scaf	45	70626	931466597
sel_scaf	46	64542	931466597
sel_scaf	47	59355	931466597
sel_scaf	48	54963	931466597
sel_scaf	49	50030	931466597
sel_scaf	50	45700	931466597
sel_scaf	51	42227	931466597
sel_scaf	52	39042	931466597
sel_scaf	53	36197	931466597
sel_scaf	54	33202	931466597
sel_scaf	55	30361	931466597
sel_scaf	56	29261	931466597
sel_scaf	57	26989	931466597
sel_scaf	58	26011	931466597
sel_scaf	59	24474	931466597
sel_scaf	60	23237	931466597
sel_scaf	61	21383	931466597
sel_scaf	62	20406	931466597
sel_scaf	63	19090	931466597
sel_scaf	64	18155	931466597
sel_scaf	65	17052	931466597
sel_scaf	66	16516	931466597
sel_scaf	67	15284	931466597
sel_scaf	68	15069	931466597
sel_scaf	69	14415	931466597
sel_scaf	70	14036	931466597
sel_scaf	71	13911	931466597
sel_scaf	72	13771	931466597
sel_scaf	73	12849	931466597
sel_scaf	74	12573	931466597
sel_scaf	75	11877	931466597
sel_scaf	76	11273	931466597
sel_scaf	77	10968	931466597
sel_scaf	78	10425	931466597
sel_scaf	79	10314	931466597
sel_scaf	80	10070	931466597
sel_scaf	81	9858	931466597
sel_scaf	82	9223	931466597
sel_scaf	83	9065	931466597
sel_scaf	84	9050	931466597
sel_scaf	85	8778	931466597
sel_scaf	86	8298	931466597
sel_scaf	87	8023	931466597
sel_scaf	88	8027	931466597
sel_scaf	89	7819	931466597
sel_scaf	90	7501	931466597
sel_scaf	91	7125	931466597
sel_scaf	92	6979	931466597
sel_scaf	93	6793	931466597
sel_scaf	94	6652	931466597
sel_scaf	95	6269	931466597
sel_scaf	96	6367	931466597
sel_scaf	97	6209	931466597
sel_scaf	98	6100	931466597
sel_scaf	99	6102	931466597
sel_scaf	100	6153	931466597
sel_scaf	101	5765	931466597
sel_scaf	102	5493	931466597
sel_scaf	103	5443	931466597
sel_scaf	104	5297	931466597
sel_scaf	105	5081	931466597
sel_scaf	106	4824	931466597
sel_scaf	107	4788	931466597
sel_scaf	108	4409	931466597
sel_scaf	109	4535	931466597
sel_scaf	110	4426	931466597
sel_scaf	111	4409	931466597
sel_scaf	112	4165	931466597
sel_scaf	113	4208	931466597
sel_scaf	114	4129	931466597
sel_scaf	115	4162	931466597
sel_scaf	116	4000	931466597
sel_scaf	117	3913	931466597
sel_scaf	118	3718	931466597
sel_scaf	119	3620	931466597
sel_scaf	120	3635	931466597
sel_scaf	121	3684	931466597
sel_scaf	122	3594	931466597
sel_scaf	123	3697	931466597
sel_scaf	124	3465	931466597
sel_scaf	125	3393	931466597
sel_scaf	126	3502	931466597
sel_scaf	127	3254	931466597
sel_scaf	128	3314	931466597
sel_scaf	129	3244	931466597
sel_scaf	130	3073	931466597
sel_scaf	131	3101	931466597
sel_scaf	132	3160	931466597
sel_scaf	133	3132	931466597
sel_scaf	134	2947	931466597
sel_scaf	135	2889	931466597
sel_scaf	136	2777	931466597
sel_scaf	137	2764	931466597
sel_scaf	138	2566	931466597
sel_scaf	139	2613	931466597
sel_scaf	140	2623	931466597
sel_scaf	141	2527	931466597
sel_scaf	142	2569	931466597
sel_scaf	143	2520	931466597
sel_scaf	144	2684	931466597
sel_scaf	145	2550	931466597
sel_scaf	146	2461	931466597
sel_scaf	147	2561	931466597
sel_scaf	148	2548	931466597
sel_scaf	149	2482	931466597
sel_scaf	150	2396	931466597
sel_scaf	151	2453	931466597
sel_scaf	152	2508	931466597
sel_scaf	153	2413	931466597
sel_scaf	154	2347	931466597
sel_scaf	155	2224	931466597
sel_scaf	156	2358	931466597
sel_scaf	157	2182	931466597
sel_scaf	158	2284	931466597
sel_scaf	159	2051	931466597
sel_scaf	160	1989	931466597
sel_scaf	161	1977	931466597
sel_scaf	162	1889	931466597
sel_scaf	163	1979	931466597
sel_scaf	164	1957	931466597
sel_scaf	165	1898	931466597
sel_scaf	166	1838	931466597
sel_scaf	167	1792	931466597
sel_scaf	168	1873	931466597
sel_scaf	169	1815	931466597
sel_scaf	170	1688	931466597
sel_scaf	171	1693	931466597
sel_scaf	172	1653	931466597
sel_scaf	173	1710	931466597
sel_scaf	174	1776	931466597
sel_scaf	175	1613	931466597
sel_scaf	176	1626	931466597
sel_scaf	177	1616	931466597
sel_scaf	178	1503	931466597
sel_scaf	179	1498	931466597
sel_scaf	180	1523	931466597
sel_scaf	181	1446	931466597
sel_scaf	182	1525	931466597
sel_scaf	183	1436	931466597
sel_scaf	184	1403	931466597
sel_scaf	185	1379	931466597
sel_scaf	186	1437	931466597
sel_scaf	187	1365	931466597
sel_scaf	188	1399	931466597
sel_scaf	189	1392	931466597
