feature	depth	Nsites	totalNsites	propsites
genome	0	153587779	1137318704	0.135044
genome	1	22882511	1137318704	0.0201197
genome	2	20589492	1137318704	0.0181035
genome	3	20836238	1137318704	0.0183205
genome	4	22503296	1137318704	0.0197863
genome	5	25035653	1137318704	0.0220129
genome	6	28155684	1137318704	0.0247562
genome	7	31462017	1137318704	0.0276633
genome	8	34697680	1137318704	0.0305083
genome	9	37599874	1137318704	0.0330601
genome	10	40298090	1137318704	0.0354325
genome	11	42838228	1137318704	0.037666
genome	12	45371249	1137318704	0.0398932
genome	13	47927282	1137318704	0.0421406
genome	14	50316972	1137318704	0.0442418
genome	15	52293532	1137318704	0.0459797
genome	16	53522674	1137318704	0.0470604
genome	17	53605743	1137318704	0.0471334
genome	18	52347468	1137318704	0.0460271
genome	19	49690325	1137318704	0.0436908
genome	20	45788013	1137318704	0.0402596
genome	21	40920838	1137318704	0.0359801
genome	22	35479965	1137318704	0.0311962
genome	23	29802225	1137318704	0.0262039
genome	24	24275190	1137318704	0.0213442
genome	25	19215728	1137318704	0.0168956
genome	26	14776155	1137318704	0.0129921
genome	27	11061486	1137318704	0.00972593
genome	28	8073955	1137318704	0.00709911
genome	29	5763020	1137318704	0.0050672
genome	30	4036723	1137318704	0.00354933
genome	31	2778813	1137318704	0.0024433
genome	32	1899135	1137318704	0.00166984
genome	33	1297071	1137318704	0.00114046
genome	34	892503	1137318704	0.000784743
genome	35	628312	1137318704	0.00055245
genome	36	457587	1137318704	0.000402338
genome	37	343340	1137318704	0.000301885
genome	38	272770	1137318704	0.000239836
genome	39	224287	1137318704	0.000197207
genome	40	190911	1137318704	0.000167861
genome	41	167741	1137318704	0.000147488
genome	42	150486	1137318704	0.000132316
genome	43	136670	1137318704	0.000120169
genome	44	123675	1137318704	0.000108743
genome	45	113565	1137318704	9.98533e-05
genome	46	104703	1137318704	9.20613e-05
genome	47	97305	1137318704	8.55565e-05
genome	48	91395	1137318704	8.03601e-05
genome	49	85103	1137318704	7.48278e-05
genome	50	79750	1137318704	7.01211e-05
genome	51	74667	1137318704	6.56518e-05
genome	52	70030	1137318704	6.15747e-05
genome	53	65783	1137318704	5.78404e-05
genome	54	61951	1137318704	5.44711e-05
genome	55	57455	1137318704	5.05179e-05
