gene_id,tot_exon_len,HOG,scaf_name,scaf_len,M_F_mode,chr_soft,chr_hard,Tbi_SF_HD_Md_Re1,Tbi_SF_HD_Md_Re2,Tbi_SF_HD_Md_Re3,Tbi_SF_LG_Md_Re1,Tbi_SF_LG_Md_Re2,Tbi_SF_LG_Md_Re3,Tbi_SF_RT_Md_Re1,Tbi_SF_RT_Md_Re2,Tbi_SF_RT_Md_Re3,Tbi_SF_WB_Md_Re1,Tbi_SF_WB_Md_Re2,Tbi_SF_WB_Md_Re3,Tbi_SM_HD_Md_Re1,Tbi_SM_HD_Md_Re2,Tbi_SM_HD_Md_Re3,Tbi_SM_LG_Md_Re1,Tbi_SM_LG_Md_Re2,Tbi_SM_LG_Md_Re3,Tbi_SM_RT_Md_Re1,Tbi_SM_RT_Md_Re2,Tbi_SM_RT_Md_Re3,Tbi_SM_WB_Md_Re1,Tbi_SM_WB_Md_Re2,Tbi_SM_WB_Md_Re3,lg_pos,gene_rel_midpoint,multi_lg,all_lg
TBI_00001,3414,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,1,0,10,0,3,3,21,18,18,11,15,13,2,2,2,4,2,2,38,78,70,11,19,17,lg7,32762750,NO,lg7
TBI_00002,1302,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,15,26,13,26,29,29,108,105,78,52,38,57,30,21,23,21,13,24,99,125,122,42,40,36,lg7,32803948,NO,lg7
TBI_00003,7622,HOG_24011,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,842,921,809,681,694,772,5979,5468,4881,1213,821,1385,790,658,660,425,395,453,2126,1118,1721,842,572,457,lg7,32813009,NO,lg7
TBI_00004,345,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,0,0,1,0,1,3,4,6,0,6,5,6,0,0,0,1,1,0,4,0,2,2,6,0,lg7,32868026,NO,lg7
TBI_00005,561,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,0,1,3,1,0,3,6,4,1,8,5,9,0,0,0,0,1,0,1,0,1,3,5,0,lg7,32877974,NO,lg7
TBI_00006,480,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,2,2,4,1,2,7,16,14,11,8,11,16,2,1,0,1,0,0,2,0,1,3,10,2,lg7,32889719,NO,lg7
TBI_00007,2637,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,0,0,5,0,0,3,2,1,0,1,3,1,1,0,0,0,1,0,0,0,0,0,4,0,lg7,32958034,NO,lg7
TBI_00008,1341,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,10,11,11,6,13,14,47,40,33,27,22,31,5,8,12,5,15,5,44,62,36,32,18,15,lg7,33096431,NO,lg7
TBI_00009,10319,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,1273,1276,1268,1504,1607,1808,4732,4891,3627,2863,2517,2994,1431,1115,1339,1350,1248,1262,3465,3784,3687,2138,2470,1739,lg7,33149975,NO,lg7
TBI_00010,693,HOG_17836,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,29,24,29,35,23,40,135,108,100,54,42,94,44,28,29,37,22,34,341,486,554,52,121,129,lg7,33286339,NO,lg7
TBI_00011,3304,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,650,656,521,738,802,791,2578,2365,1637,1677,1133,1450,396,296,431,272,323,339,897,665,914,1044,661,521,lg7,33319643,NO,lg7
TBI_00012,990,HOG_21317,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,108,122,113,18,14,23,71,64,38,39,44,41,120,95,104,16,23,7,26,40,31,40,49,45,lg7,33367598,NO,lg7
