gene_id,tot_exon_len,HOG,scaf_name,scaf_len,M_F_mode,chr_soft,chr_hard,Tpa_SF_HD_Md_Re1,Tpa_SF_HD_Md_Re2,Tpa_SF_HD_Md_Re3,Tpa_SF_LG_Md_Re1,Tpa_SF_LG_Md_Re2,Tpa_SF_LG_Md_Re3,Tpa_SF_RT_Md_Re1,Tpa_SF_RT_Md_Re2,Tpa_SF_RT_Md_Re3,Tpa_SF_WB_Md_Re1,Tpa_SF_WB_Md_Re2,Tpa_SF_WB_Md_Re3,Tpa_SM_HD_Md_Re1,Tpa_SM_HD_Md_Re2,Tpa_SM_HD_Md_Re3,Tpa_SM_LG_Md_Re1,Tpa_SM_LG_Md_Re2,Tpa_SM_LG_Md_Re3,Tpa_SM_RT_Md_Re1,Tpa_SM_RT_Md_Re2,Tpa_SM_RT_Md_Re3,Tpa_SM_WB_Md_Re1,Tpa_SM_WB_Md_Re2,Tpa_SM_WB_Md_Re3,lg_pos,gene_rel_midpoint,multi_lg,all_lg
TPA_00001,5358,NA,5_Tpa_b3v08_scaf000055,126762,-0.64401362748156,X,A,3872,4144,4244,9900,13753,7562,211,140,106,4689,5461,9111,4392,4913,4993,5712,7786,7011,1280,1136,1924,10920,10827,15646,NA,NA,NA,NA
TPA_00002,10282,NA,5_Tpa_b3v08_scaf000078,115274,-0.712463842191857,X,A,505,786,686,803,1085,1013,1228,1160,1218,597,459,982,782,948,919,865,938,871,475,613,758,789,886,940,lgX_ordNA_scaf2537,15358482,NO,lgX_ordNA_scaf2537;lgX_ordNA_scaf1319
TPA_00003,17989,NA,5_Tpa_b3v08_scaf000233,85299,-0.00587115888411967,A,A,344,549,550,492,539,438,3135,3690,1962,1564,2941,2230,374,605,647,381,420,533,1108,1115,1769,2009,1974,1616,NA,NA,NA,NA
TPA_00004,12282,NA,5_Tpa_b3v08_scaf000120,101621,0.138418398406449,A,A,91,39,24,0,0,1,1,1,0,11,20,54,25,59,64,2,1,0,80,119,198,66,60,114,lg3,15709625,NO,lg3
TPA_00005,576,NA,5_Tpa_b3v08_scaf000109,104085,0.00194516892488594,A,A,109,111,90,115,186,210,609,564,661,183,130,338,119,144,136,147,169,133,2371,2213,2541,472,366,417,lg10,18304884,NO,lg10
TPA_00006,15694,HOG_16878,5_Tpa_b3v08_scaf000109,104085,0.00194516892488594,A,A,12,11,22,24,19,25,62,25,69,50,43,243,17,22,17,33,19,26,1600,2283,3132,562,433,611,lg10,18357428,NO,lg10
TPA_00007,10998,NA,5_Tpa_b3v08_scaf000588,64389,-0.0255075122294179,A,A,1065,1227,1346,1104,1087,1295,3216,1854,2714,2116,3081,3708,967,2132,1806,899,1209,898,1401,2054,2278,2518,4500,3113,NA,NA,NA,NA
TPA_00008,1527,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,312,466,448,935,752,701,180,170,127,443,897,782,339,569,547,537,811,744,313,255,326,771,853,939,NA,NA,NA,NA
TPA_00009,16688,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,407,428,450,476,541,557,695,514,688,336,309,621,438,555,392,433,471,416,1136,1377,2328,433,733,695,NA,NA,NA,NA
TPA_00010,873,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,8,10,6,14,17,8,8,2,1,11,10,18,8,7,4,6,4,5,84,75,186,16,19,27,NA,NA,NA,NA
TPA_00011,1407,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,3,8,4,14,10,8,13,2,5,10,13,21,10,1,4,4,2,1,68,78,140,25,23,31,NA,NA,NA,NA
TPA_00012,1389,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,4,6,5,11,7,3,12,1,2,12,5,9,7,10,1,1,2,2,37,64,105,14,26,28,NA,NA,NA,NA
TPA_00013,1509,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,9,10,7,11,9,3,15,0,2,21,14,25,8,5,4,3,2,1,40,88,151,18,24,52,NA,NA,NA,NA
TPA_00014,1614,NA,5_Tpa_b3v08_scaf000080,113550,0.0445584521039569,A,A,5,5,4,7,10,2,15,2,1,8,7,16,6,3,2,1,0,1,39,57,119,14,25,29,NA,NA,NA,NA
TPA_00015,3450,HOG_16812,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,206,247,233,295,139,190,5878,958,1407,844,1266,1500,177,389,448,116,224,202,522,1906,3095,816,2117,1097,NA,NA,NA,NA
TPA_00016,2201,NA,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,339,374,434,574,550,741,6177,4031,3517,1059,1704,2086,555,601,644,586,567,629,1939,2399,3357,1078,2661,1472,NA,NA,NA,NA
TPA_00017,189,NA,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,1,1,0,1,0,0,11,2,9,2,2,9,0,0,0,0,0,0,46,35,40,7,14,6,NA,NA,NA,NA
TPA_00018,1653,NA,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,2,3,2,3,1,1,35,26,27,9,14,33,0,3,0,0,1,0,259,217,227,68,55,38,NA,NA,NA,NA
TPA_00019,411,NA,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,8,NA,NA,NA,NA
TPA_00020,498,NA,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
TPA_00021,480,NA,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
TPA_00022,1160,HOG_23598,5_Tpa_b3v08_scaf001802,43919,-0.196950079686672,A,A,0,0,0,0,0,1,0,15,0,10,507,183,0,0,0,0,0,0,9,2,0,2,219,318,NA,NA,NA,NA
TPA_00023,444,NA,5_Tpa_b3v08_scaf000163,92883,0.133324035814666,A,A,2,4,6,5,8,9,47,31,33,11,11,10,2,7,7,12,13,9,23,40,49,13,16,16,lg3,96873094,NO,lg3
TPA_00024,5971,NA,5_Tpa_b3v08_scaf000163,92883,0.133324035814666,A,A,68,40,53,87,66,41,172,72,117,111,223,263,41,103,84,27,78,70,165,282,518,115,324,197,lg3,96840067,NO,lg3
TPA_00025,12378,NA,5_Tpa_b3v08_scaf000616,63832,-0.147213683739415,A,A,24,8,6,14,9,14,45,8,10,7,21,409,2,15,8,14,12,5,962,1563,2065,532,659,443,lg2,43833623,NO,lg2
TPA_00026,5930,HOG_15138,5_Tpa_b3v08_scaf000249,83103,0.0841021744868657,A,A,69,90,96,97,88,144,300,317,323,174,124,257,88,132,133,125,124,82,359,499,627,252,295,348,NA,NA,NA,NA
TPA_00027,4690,HOG_10372,5_Tpa_b3v08_scaf000249,83103,0.0841021744868657,A,A,30,46,35,36,68,29,76,94,145,78,59,110,18,52,43,50,34,46,334,302,380,96,123,175,NA,NA,NA,NA
TPA_00028,336,NA,5_Tpa_b3v08_scaf000249,83103,0.0841021744868657,A,A,28,30,20,39,36,30,120,115,146,30,39,36,27,49,34,27,33,23,136,122,135,50,55,39,NA,NA,NA,NA
TPA_00029,363,NA,5_Tpa_b3v08_scaf000217,86622,0.0709587665629316,A,A,2,0,0,0,0,0,6,0,5,2,2,5,1,0,1,0,1,0,2,14,45,4,9,4,NA,NA,NA,NA
TPA_00030,2143,HOG_18562,5_Tpa_b3v08_scaf000217,86622,0.0709587665629316,A,A,251,393,380,594,485,565,2318,1737,2326,1015,857,1282,321,757,483,362,555,411,1086,1584,1295,894,1527,1114,NA,NA,NA,NA
TPA_00031,2872,NA,5_Tpa_b3v08_scaf000217,86622,0.0709587665629316,A,A,51,81,69,28,32,17,160,75,115,404,329,299,19,80,84,13,39,19,156,247,311,257,217,296,NA,NA,NA,NA
TPA_00032,2520,NA,5_Tpa_b3v08_scaf000217,86622,0.0709587665629316,A,A,27,86,50,29,21,30,197,126,223,146,250,291,30,52,41,21,33,16,394,449,510,193,253,277,NA,NA,NA,NA
TPA_00033,999,HOG_19162,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,50,74,63,73,81,86,412,393,490,134,225,170,47,74,80,60,73,61,290,224,258,116,210,150,lg4,118418528,NO,lg4
TPA_00034,984,NA,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,19,29,43,39,41,52,184,148,171,35,71,98,44,42,38,37,26,34,137,108,152,59,87,47,lg4,118428533,NO,lg4
TPA_00035,3124,HOG_2587,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,178,258,206,285,226,230,1981,1497,1909,692,643,903,141,304,296,138,224,186,728,1014,1444,520,1070,675,lg4,118450783,NO,lg4
TPA_00036,375,NA,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,31,61,38,65,68,75,335,369,343,99,132,159,33,74,66,61,54,57,256,214,270,121,189,143,lg4,118475697,NO,lg4
TPA_00037,276,NA,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,2,7,6,7,10,7,14,15,8,6,12,14,3,5,3,9,5,9,9,3,12,8,20,13,lg4,118485955,NO,lg4
TPA_00038,1728,HOG_17858,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,10,7,5,3,13,8,23,31,29,38,46,46,2,4,2,2,6,2,103,96,124,15,49,40,lg4,118512764,NO,lg4
