HOG_23995	TPS_13982	TCM_10890	TCE_12138	TBI_11529	TPA_13879
HOG_17528	TPS_06743	TCM_11266	TCE_00204	TBI_00479	TPA_05888
HOG_22467	TPS_00301	TCM_00975	TCE_03913	TBI_01098	TPA_00097
HOG_16071	TPS_05409	TCM_04262	TCE_03770	TBI_04389	TPA_07303
HOG_19710	TPS_08177	TCM_07086	TCE_00537	TBI_04994	TPA_01227
HOG_16077	TPS_03618	TCM_06449	TCE_02907	TBI_05333	TPA_00812
HOG_19716	TPS_12976	TCM_07165	TCE_09879	TBI_12265	TPA_16134
HOG_22461	TPS_03656	TCM_02615	TCE_05426	TBI_08228	TPA_07914
HOG_19714	TPS_08611	TCM_03612	TCE_02132	TBI_04267	TPA_04766
HOG_17294	TPS_02700	TCM_03736	TCE_07139	TBI_03087	TPA_05317
HOG_3921	TPS_14149	TCM_05612	TCE_13392	TBI_08537	TPA_13866
HOG_17295	TPS_00372	TCM_00848	TCE_01833	TBI_00048	TPA_06626
HOG_23440	TPS_14640	TCM_12724	TCE_12780	TBI_07804	TPA_15688
HOG_23441	TPS_02347	TCM_01038	TCE_00248	TBI_01189	TPA_00776
HOG_23447	TPS_07173	TCM_08051	TCE_03021	TBI_04754	TPA_16265
HOG_22662	TPS_09651	TCM_00907	TCE_09429	TBI_09977	TPA_03671
HOG_11384	TPS_06622	TCM_05565	TCE_09490	TBI_08771	TPA_01810
HOG_17290	TPS_10302	TCM_00701	TCE_02286	TBI_07634	TPA_05205
HOG_19391	TPS_01165	TCM_09249	TCE_03446	TBI_06444	TPA_11917
HOG_19390	TPS_06935	TCM_01009	TCE_08033	TBI_02552	TPA_11066
HOG_345	TPS_11013	TCM_05446	TCE_06785	TBI_09207	TPA_08586
HOG_22263	TPS_00443	TCM_00385	TCE_05050	TBI_00858	TPA_15672
HOG_22262	TPS_05173	TCM_04028	TCE_10949	TBI_05414	TPA_15478
HOG_19409	TPS_01155	TCM_00296	TCE_00492	TBI_00144	TPA_03303
HOG_19154	TPS_08672	TCM_07420	TCE_08704	TBI_07066	TPA_11489
HOG_19404	TPS_05110	TCM_00649	TCE_01662	TBI_01608	TPA_10718
HOG_19403	TPS_10860	TCM_14492	TCE_13840	TBI_14025	TPA_15540
HOG_3990	TPS_06382	TCM_05621	TCE_06747	TBI_06429	TPA_03753
HOG_16671	TPS_07899	TCM_03664	TCE_06341	TBI_01950	TPA_01118
HOG_16670	TPS_15465	TCM_13080	TCE_06148	TBI_08072	TPA_12109
HOG_19377	TPS_03268	TCM_04479	TCE_04603	TBI_04374	TPA_01083
HOG_22464	TPS_08701	TCM_03034	TCE_04964	TBI_00923	TPA_01272
HOG_19370	TPS_06975	TCM_09780	TCE_11209	TBI_08850	TPA_05892
HOG_8803	TPS_00498	TCM_03745	TCE_05349	TBI_00727	TPA_00106
HOG_19378	TPS_12572	TCM_01357	TCE_06157	TBI_04635	TPA_08625
HOG_12700	TPS_06323	TCM_07923	TCE_04518	TBI_09293	TPA_06744
HOG_19715	TPS_08816	TCM_04210	TCE_03586	TBI_01332	TPA_08294
HOG_6156	TPS_13940	TCM_12272	TCE_01437	TBI_12046	TPA_06772
HOG_22001	TPS_00991	TCM_02196	TCE_05843	TBI_06646	TPA_11725
HOG_22002	TPS_00657	TCM_03521	TCE_00389	TBI_03941	TPA_00043
HOG_22004	TPS_08823	TCM_10254	TCE_11316	TBI_10396	TPA_05280
HOG_23843	TPS_04313	TCM_09084	TCE_08774	TBI_01681	TPA_07437
HOG_6791	TPS_14838	TCM_05099	TCE_05382	TBI_01677	TPA_10955
HOG_4739	TPS_07593	TCM_01295	TCE_03632	TBI_00121	TPA_09003
HOG_2312	TPS_00079	TCM_00503	TCE_00274	TBI_00376	TPA_00313
HOG_23449	TPS_04442	TCM_09009	TCE_11834	TBI_06872	TPA_06822
HOG_298	TPS_14308	TCM_11573	TCE_02896	TBI_04898	TPA_11538
HOG_299	TPS_01826	TCM_12053	TCE_03079	TBI_04452	TPA_01103
HOG_297	TPS_11068	TCM_09935	TCE_09383	TBI_11294	TPA_08403
HOG_5859	TPS_01002	TCM_02986	TCE_01690	TBI_01959	TPA_13265
HOG_17654	TPS_01651	TCM_01282	TCE_02410	TBI_01395	TPA_01490
HOG_21100	TPS_13010	TCM_13239	TCE_01323	TBI_02431	TPA_01469
HOG_21105	TPS_08456	TCM_02361	TCE_06156	TBI_05939	TPA_06510
HOG_16498	TPS_08936	TCM_07466	TCE_08750	TBI_10636	TPA_15968
HOG_17653	TPS_00302	TCM_00978	TCE_09586	TBI_01099	TPA_02159
HOG_16496	TPS_14216	TCM_00546	TCE_00054	TBI_00463	TPA_00091
HOG_17659	TPS_01366	TCM_01986	TCE_03490	TBI_11826	TPA_11475
HOG_16493	TPS_07308	TCM_08161	TCE_09820	TBI_04607	TPA_01287
HOG_270	TPS_09494	TCM_09072	TCE_09740	TBI_10480	TPA_16161
HOG_16252	TPS_03792	TCM_07024	TCE_02506	TBI_03605	TPA_04397
HOG_272	TPS_15574	TCM_14516	TCE_07611	TBI_08305	TPA_15911
HOG_22716	TPS_10681	TCM_10861	TCE_03565	TBI_11786	TPA_07390
HOG_22711	TPS_11660	TCM_11637	TCE_12806	TBI_10834	TPA_12827
HOG_16708	TPS_08412	TCM_06647	TCE_03444	TBI_04296	TPA_05065
HOG_19975	TPS_01246	TCM_00714	TCE_02738	TBI_01170	TPA_00754
HOG_4652	TPS_00597	TCM_02326	TCE_02699	TBI_01569	TPA_01139
HOG_16705	TPS_11873	TCM_08385	TCE_09126	TBI_02885	TPA_03263
HOG_279	TPS_02786	TCM_03752	TCE_03748	TBI_03488	TPA_01245
HOG_16707	TPS_03610	TCM_02716	TCE_04787	TBI_00153	TPA_07918
HOG_19978	TPS_07666	TCM_10775	TCE_05140	TBI_07473	TPA_10988
HOG_4659	TPS_05801	TCM_09360	TCE_09193	TBI_08311	TPA_12745
HOG_22487	TPS_10960	TCM_08840	TCE_11510	TBI_09987	TPA_07697
HOG_22483	TPS_01665	TCM_02415	TCE_01699	TBI_02486	TPA_01739
HOG_16381	TPS_04410	TCM_01694	TCE_11391	TBI_02345	TPA_05101
HOG_16382	TPS_03900	TCM_06455	TCE_11862	TBI_04614	TPA_01729
HOG_19572	TPS_00516	TCM_03051	TCE_08125	TBI_01262	TPA_08938
HOG_16387	TPS_02497	TCM_05913	TCE_01591	TBI_03721	TPA_01114
HOG_17250	TPS_07242	TCM_06797	TCE_08849	TBI_06811	TPA_09218
HOG_17251	TPS_01901	TCM_05015	TCE_06217	TBI_02909	TPA_16185
HOG_17253	TPS_08951	TCM_10600	TCE_06427	TBI_10528	TPA_00835
HOG_17254	TPS_02290	TCM_02066	TCE_02253	TBI_03279	TPA_02647
HOG_17255	TPS_00231	TCM_04395	TCE_00166	TBI_01165	TPA_02128
HOG_20745	TPS_01218	TCM_14342	TCE_06441	TBI_06266	TPA_05347
HOG_20746	TPS_03589	TCM_05263	TCE_12737	TBI_06485	TPA_04425
HOG_20740	TPS_10313	TCM_10138	TCE_02283	TBI_07636	TPA_12125
HOG_20741	TPS_04692	TCM_03073	TCE_12855	TBI_10151	TPA_01472
HOG_9259	TPS_08266	TCM_02519	TCE_03264	TBI_10629	TPA_05045
HOG_2448	TPS_11709	TCM_05276	TCE_09234	TBI_08320	TPA_15402
HOG_7865	TPS_01316	TCM_04836	TCE_09229	TBI_07191	TPA_05143
HOG_109	TPS_00561	TCM_02664	TCE_07828	TBI_03952	TPA_05224
HOG_21618	TPS_01963	TCM_09301	TCE_03423	TBI_04529	TPA_05879
HOG_21615	TPS_10488	TCM_12520	TCE_01697	TBI_07629	TPA_13862
HOG_103	TPS_00839	TCM_02990	TCE_03065	TBI_03144	TPA_16133
HOG_22902	TPS_02707	TCM_02254	TCE_02130	TBI_04269	TPA_06162
HOG_21612	TPS_04919	TCM_14432	TCE_09334	TBI_01074	TPA_01572
HOG_16819	TPS_05867	TCM_07389	TCE_06160	TBI_09340	TPA_15987
HOG_16813	TPS_11480	TCM_13541	TCE_02005	TBI_02947	TPA_10828
HOG_16812	TPS_01196	TCM_01151	TCE_01444	TBI_02783	TPA_00015
HOG_16814	TPS_04778	TCM_08569	TCE_04223	TBI_07393	TPA_07427
HOG_16817	TPS_07806	TCM_12444	TCE_11067	TBI_08949	TPA_08863
HOG_16816	TPS_15547	TCM_04873	TCE_10940	TBI_08038	TPA_16374
HOG_21291	TPS_11570	TCM_10701	TCE_11053	TBI_09881	TPA_08427
HOG_21924	TPS_01644	TCM_01751	TCE_02385	TBI_04182	TPA_09502
HOG_21295	TPS_05039	TCM_11186	TCE_03164	TBI_08221	TPA_06890
HOG_21294	TPS_14972	TCM_03550	TCE_05446	TBI_12229	TPA_04629
HOG_21297	TPS_04618	TCM_00881	TCE_03283	TBI_06074	TPA_09133
HOG_21296	TPS_08209	TCM_11831	TCE_07407	TBI_07359	TPA_09036
HOG_12123	TPS_05063	TCM_02013	TCE_00849	TBI_00062	TPA_16141
HOG_6052	TPS_00965	TCM_00876	TCE_03286	TBI_04562	TPA_10840
HOG_20521	TPS_14910	TCM_08768	TCE_13852	TBI_03515	TPA_16174
HOG_20522	TPS_03201	TCM_02888	TCE_05739	TBI_06390	TPA_07864
HOG_20527	TPS_10047	TCM_01513	TCE_11257	TBI_02415	TPA_05422
HOG_18453	TPS_00875	TCM_13551	TCE_01313	TBI_01563	TPA_06012
HOG_20529	TPS_08769	TCM_02481	TCE_08070	TBI_06738	TPA_02077
HOG_18451	TPS_03513	TCM_08399	TCE_06431	TBI_05970	TPA_16247
HOG_18457	TPS_13829	TCM_10723	TCE_03532	TBI_12608	TPA_06648
HOG_22871	TPS_11448	TCM_07634	TCE_02848	TBI_02729	TPA_09049
HOG_17725	TPS_03291	TCM_04965	TCE_05779	TBI_04513	TPA_06277
HOG_17720	TPS_01008	TCM_00363	TCE_01077	TBI_00516	TPA_06188
HOG_24084	TPS_09454	TCM_10462	TCE_10591	TBI_09848	TPA_08001
HOG_21728	TPS_07553	TCM_08139	TCE_04041	TBI_06279	TPA_12132
HOG_16927	TPS_07833	TCM_04384	TCE_09372	TBI_07770	TPA_07420
HOG_7516	TPS_05317	TCM_09544	TCE_06625	TBI_10838	TPA_04652
HOG_21721	TPS_05881	TCM_09928	TCE_06601	TBI_11003	TPA_12544
HOG_18856	TPS_15568	TCM_12656	TCE_05252	TBI_08482	TPA_15476
HOG_3511	TPS_04247	TCM_03167	TCE_02644	TBI_05817	TPA_02322
HOG_18853	TPS_05930	TCM_00726	TCE_00766	TBI_00737	TPA_08671
HOG_3516	TPS_03161	TCM_05519	TCE_04430	TBI_02972	TPA_12370
HOG_21726	TPS_09610	TCM_04050	TCE_06146	TBI_08070	TPA_06329
HOG_12235	TPS_01838	TCM_01080	TCE_04140	TBI_01459	TPA_10206
HOG_2688	TPS_13043	TCM_06185	TCE_09139	TBI_02338	TPA_13203
HOG_2686	TPS_04358	TCM_06131	TCE_05987	TBI_04175	TPA_14367
HOG_2687	TPS_04239	TCM_05125	TCE_05974	TBI_08614	TPA_13393
HOG_20223	TPS_06484	TCM_01945	TCE_04613	TBI_01401	TPA_00337
HOG_342	TPS_03895	TCM_05680	TCE_10999	TBI_00573	TPA_08413
HOG_14273	TPS_03807	TCM_05351	TCE_02055	TBI_05000	TPA_14839
HOG_10162	TPS_01224	TCM_05373	TCE_03764	TBI_04035	TPA_03004
HOG_9746	TPS_00735	TCM_02110	TCE_02072	TBI_01789	TPA_04091
HOG_20418	TPS_03020	TCM_00959	TCE_06614	TBI_00366	TPA_11842
HOG_22181	TPS_07310	TCM_08000	TCE_05674	TBI_10314	TPA_07568
HOG_92	TPS_04129	TCM_02695	TCE_02912	TBI_04342	TPA_06580
HOG_20411	TPS_06514	TCM_10703	TCE_07680	TBI_07793	TPA_07358
HOG_3206	TPS_00031	TCM_02849	TCE_00241	TBI_01687	TPA_00344
HOG_21437	TPS_04197	TCM_07273	TCE_04413	TBI_00930	TPA_04904
HOG_1620	TPS_06441	TCM_04323	TCE_02120	TBI_02331	TPA_12375
HOG_24150	TPS_01583	TCM_03234	TCE_01742	TBI_07991	TPA_02989
HOG_21433	TPS_04597	TCM_07605	TCE_06937	TBI_05589	TPA_01332
HOG_24158	TPS_06643	TCM_13799	TCE_04869	TBI_13545	TPA_07845
HOG_3209	TPS_01091	TCM_02060	TCE_10302	TBI_03068	TPA_01284
HOG_8839	TPS_06694	TCM_03516	TCE_08258	TBI_03934	TPA_03366
HOG_24367	TPS_09522	TCM_07474	TCE_09153	TBI_14004	TPA_14875
HOG_18923	TPS_02041	TCM_01194	TCE_00084	TBI_00324	TPA_00443
HOG_19152	TPS_05078	TCM_00508	TCE_10552	TBI_07051	TPA_07934
HOG_18926	TPS_12907	TCM_13196	TCE_13834	TBI_13982	TPA_16056
HOG_18925	TPS_00045	TCM_00167	TCE_00112	TBI_00341	TPA_04975
HOG_8046	TPS_05194	TCM_11856	TCE_11186	TBI_10398	TPA_11103
HOG_2863	TPS_05439	TCM_06842	TCE_09125	TBI_08314	TPA_08613
HOG_2864	TPS_09418	TCM_10606	TCE_11618	TBI_09342	TPA_03610
HOG_2869	TPS_04400	TCM_14246	TCE_06139	TBI_10306	TPA_10292
HOG_18709	TPS_00902	TCM_00319	TCE_05685	TBI_02757	TPA_05113
HOG_21700	TPS_00163	TCM_06221	TCE_08956	TBI_04847	TPA_04110
HOG_553	TPS_13348	TCM_11696	TCE_05595	TBI_09680	TPA_15641
HOG_24238	TPS_10126	TCM_04340	TCE_02612	TBI_03257	TPA_09660
HOG_20656	TPS_10858	TCM_02838	TCE_05540	TBI_05378	TPA_05223
HOG_20657	TPS_08323	TCM_07123	TCE_00682	TBI_05871	TPA_04631
HOG_17827	TPS_09824	TCM_14444	TCE_10106	TBI_13887	TPA_16246
HOG_17825	TPS_07750	TCM_04388	TCE_06484	TBI_08683	TPA_14484
HOG_17823	TPS_05102	TCM_13919	TCE_04596	TBI_11189	TPA_06373
HOG_17740	TPS_10326	TCM_09340	TCE_09409	TBI_05526	TPA_05652
HOG_1198	TPS_01271	TCM_00278	TCE_00012	TBI_00866	TPA_03869
HOG_19669	TPS_07100	TCM_06450	TCE_11099	TBI_05329	TPA_05859
HOG_1190	TPS_06959	TCM_04859	TCE_05875	TBI_10064	TPA_11342
HOG_1195	TPS_00968	TCM_00872	TCE_03290	TBI_02903	TPA_00711
HOG_1197	TPS_09405	TCM_01514	TCE_03608	TBI_02412	TPA_04305
HOG_18636	TPS_06891	TCM_07666	TCE_02852	TBI_02726	TPA_11419
HOG_14396	TPS_05849	TCM_05148	TCE_00785	TBI_03669	TPA_02921
HOG_11108	TPS_05653	TCM_07081	TCE_08520	TBI_00984	TPA_13978
HOG_19275	TPS_12137	TCM_10790	TCE_05152	TBI_01753	TPA_09030
HOG_1753	TPS_06312	TCM_14522	TCE_06047	TBI_10030	TPA_16237
HOG_19182	TPS_07731	TCM_08759	TCE_12952	TBI_07702	TPA_10078
HOG_1176	TPS_10097	TCM_11507	TCE_02794	TBI_08209	TPA_00642
HOG_1175	TPS_02284	TCM_00815	TCE_04953	TBI_00724	TPA_04331
HOG_15916	TPS_13117	TCM_07469	TCE_10998	TBI_04767	TPA_11106
HOG_23058	TPS_05035	TCM_04649	TCE_06508	TBI_04976	TPA_10024
HOG_1171	TPS_10500	TCM_10909	TCE_08595	TBI_12099	TPA_03817
HOG_23507	TPS_03016	TCM_10539	TCE_00292	TBI_00667	TPA_04943
HOG_23505	TPS_01060	TCM_05080	TCE_03433	TBI_03397	TPA_07242
HOG_23504	TPS_09190	TCM_07053	TCE_13815	TBI_10571	TPA_11597
HOG_1178	TPS_05422	TCM_11364	TCE_11901	TBI_11680	TPA_06778
HOG_5535	TPS_02032	TCM_01171	TCE_01221	TBI_00774	TPA_00179
HOG_18140	TPS_06706	TCM_04528	TCE_09377	TBI_10422	TPA_02448
HOG_18145	TPS_14264	TCM_10788	TCE_08676	TBI_05510	TPA_08971
HOG_18147	TPS_14176	TCM_04569	TCE_03436	TBI_08447	TPA_05020
HOG_18146	TPS_10938	TCM_09983	TCE_08505	TBI_07219	TPA_13883
HOG_1280	TPS_02820	TCM_11861	TCE_02663	TBI_11682	TPA_13311
HOG_11164	TPS_01979	TCM_12855	TCE_03708	TBI_00919	TPA_09578
HOG_14407	TPS_05741	TCM_04647	TCE_08270	TBI_02625	TPA_05648
HOG_685	TPS_07959	TCM_01475	TCE_07860	TBI_03673	TPA_11193
HOG_684	TPS_06050	TCM_05784	TCE_08536	TBI_00384	TPA_02139
HOG_1571	TPS_08390	TCM_09192	TCE_09736	TBI_09829	TPA_11572
HOG_7184	TPS_14777	TCM_12080	TCE_04545	TBI_07857	TPA_15566
HOG_1574	TPS_02554	TCM_03423	TCE_04026	TBI_05690	TPA_09742
HOG_8389	TPS_04369	TCM_02204	TCE_07186	TBI_03944	TPA_08527
HOG_22956	TPS_13989	TCM_06382	TCE_01549	TBI_12665	TPA_13596
HOG_12833	TPS_01193	TCM_03081	TCE_04193	TBI_03190	TPA_00328
HOG_19784	TPS_03064	TCM_08461	TCE_05032	TBI_04281	TPA_16476
HOG_23619	TPS_01676	TCM_04825	TCE_04840	TBI_04021	TPA_04224
HOG_23618	TPS_03846	TCM_02024	TCE_00332	TBI_03753	TPA_14825
HOG_19181	TPS_04654	TCM_10007	TCE_07590	TBI_02877	TPA_05723
HOG_627	TPS_01291	TCM_09246	TCE_02780	TBI_02123	TPA_04326
HOG_4389	TPS_00497	TCM_00812	TCE_05350	TBI_00726	TPA_00105
HOG_22543	TPS_06853	TCM_08059	TCE_01429	TBI_09622	TPA_16316
HOG_5625	TPS_06329	TCM_08386	TCE_06204	TBI_09058	TPA_01354
HOG_5624	TPS_11150	TCM_04109	TCE_00318	TBI_04778	TPA_15001
HOG_13364	TPS_12323	TCM_07322	TCE_03198	TBI_02074	TPA_13924
HOG_5620	TPS_00529	TCM_04933	TCE_09016	TBI_13275	TPA_05440
HOG_1372	TPS_09809	TCM_14060	TCE_13003	TBI_13014	TPA_12691
HOG_16457	TPS_02521	TCM_03526	TCE_05634	TBI_01934	TPA_08151
HOG_18805	TPS_08144	TCM_01589	TCE_09445	TBI_10979	TPA_04945
HOG_23296	TPS_02173	TCM_00781	TCE_00122	TBI_00241	TPA_02818
HOG_22169	TPS_01146	TCM_00855	TCE_06777	TBI_02643	TPA_01485
HOG_23293	TPS_11825	TCM_01141	TCE_02402	TBI_03844	TPA_08365
HOG_23292	TPS_08267	TCM_08263	TCE_08561	TBI_10261	TPA_03757
HOG_23291	TPS_07664	TCM_12168	TCE_02582	TBI_03803	TPA_14835
HOG_3836	TPS_10129	TCM_05430	TCE_02167	TBI_08881	TPA_14863
HOG_23474	TPS_00804	TCM_01083	TCE_09412	TBI_02795	TPA_03693
HOG_13874	TPS_07054	TCM_03310	TCE_03396	TBI_00751	TPA_00929
HOG_23479	TPS_09820	TCM_07547	TCE_03672	TBI_07380	TPA_02273
HOG_10884	TPS_11982	TCM_06696	TCE_04319	TBI_06961	TPA_10407
HOG_23277	TPS_00354	TCM_01233	TCE_00972	TBI_04400	TPA_01385
HOG_23276	TPS_06274	TCM_03108	TCE_03152	TBI_09192	TPA_09359
HOG_23271	TPS_04456	TCM_05316	TCE_10834	TBI_07589	TPA_06970
HOG_4034	TPS_01537	TCM_01245	TCE_03618	TBI_01969	TPA_03500
HOG_22676	TPS_05979	TCM_12678	TCE_11479	TBI_08287	TPA_03647
HOG_1347	TPS_07784	TCM_08910	TCE_08733	TBI_06740	TPA_13105
HOG_22672	TPS_10475	TCM_05287	TCE_03414	TBI_08059	TPA_09421
HOG_11571	TPS_04162	TCM_09210	TCE_05611	TBI_09179	TPA_05999
HOG_2319	TPS_10602	TCM_07664	TCE_13783	TBI_10120	TPA_06197
HOG_19386	TPS_07042	TCM_03751	TCE_10169	TBI_08451	TPA_04457
HOG_19387	TPS_02720	TCM_04303	TCE_10779	TBI_05194	TPA_02612
HOG_22272	TPS_01991	TCM_01614	TCE_00031	TBI_00075	TPA_00171
HOG_22277	TPS_13119	TCM_14199	TCE_13762	TBI_11471	TPA_16170
HOG_19410	TPS_00700	TCM_01451	TCE_04235	TBI_02556	TPA_03798
HOG_18112	TPS_08113	TCM_05553	TCE_09921	TBI_07467	TPA_06169
HOG_22279	TPS_01997	TCM_02276	TCE_01396	TBI_00228	TPA_01013
HOG_19414	TPS_08843	TCM_08213	TCE_05597	TBI_12559	TPA_07342
HOG_374	TPS_15548	TCM_14487	TCE_12868	TBI_12303	TPA_12175
HOG_16660	TPS_09490	TCM_09619	TCE_11452	TBI_09044	TPA_04029
HOG_16667	TPS_06146	TCM_05455	TCE_02323	TBI_00585	TPA_02083
HOG_19361	TPS_02071	TCM_00919	TCE_08393	TBI_02272	TPA_03408
HOG_6653	TPS_06294	TCM_10597	TCE_04843	TBI_04691	TPA_15550
HOG_16668	TPS_07913	TCM_08535	TCE_04972	TBI_00959	TPA_01422
HOG_16669	TPS_04616	TCM_08520	TCE_05258	TBI_02529	TPA_09061
HOG_3205	TPS_04943	TCM_01906	TCE_00635	TBI_03322	TPA_07239
HOG_6146	TPS_04665	TCM_00695	TCE_02289	TBI_01163	TPA_05212
HOG_22012	TPS_07250	TCM_06438	TCE_09647	TBI_09882	TPA_02575
HOG_22010	TPS_01684	TCM_02828	TCE_06256	TBI_03772	TPA_04042
HOG_6148	TPS_11611	TCM_12528	TCE_04934	TBI_12546	TPA_10858
HOG_15416	TPS_07583	TCM_07098	TCE_10392	TBI_11296	TPA_04498
HOG_22014	TPS_05159	TCM_10131	TCE_05004	TBI_11391	TPA_07633
HOG_18548	TPS_04799	TCM_09779	TCE_05928	TBI_02590	TPA_09044
HOG_23873	TPS_06435	TCM_09123	TCE_09249	TBI_05753	TPA_01771
HOG_23871	TPS_00129	TCM_01214	TCE_04129	TBI_02090	TPA_01690
HOG_13619	TPS_09713	TCM_07094	TCE_07774	TBI_11233	TPA_15383
HOG_21470	TPS_01300	TCM_07836	TCE_03745	TBI_00220	TPA_06441
HOG_2301	TPS_11490	TCM_12804	TCE_09484	TBI_07127	TPA_14340
HOG_2303	TPS_02943	TCM_04419	TCE_00668	TBI_03640	TPA_00422
HOG_4726	TPS_10448	TCM_13100	TCE_08204	TBI_09976	TPA_11779
HOG_19700	TPS_05657	TCM_02726	TCE_05165	TBI_07731	TPA_07944
HOG_19701	TPS_01653	TCM_01283	TCE_02411	TBI_01394	TPA_16289
HOG_19702	TPS_05437	TCM_02951	TCE_02692	TBI_02718	TPA_01152
HOG_11285	TPS_03295	TCM_10642	TCE_02487	TBI_01700	TPA_00828
HOG_21112	TPS_09881	TCM_10403	TCE_12534	TBI_07826	TPA_04984
HOG_17623	TPS_15545	TCM_05962	TCE_11697	TBI_14059	TPA_03583
HOG_17622	TPS_11059	TCM_07160	TCE_09458	TBI_03064	TPA_01363
HOG_21116	TPS_00667	TCM_00417	TCE_01239	TBI_03059	TPA_03128
HOG_17624	TPS_11254	TCM_09290	TCE_03108	TBI_06842	TPA_09817
HOG_21114	TPS_03578	TCM_07076	TCE_01534	TBI_00391	TPA_02823
HOG_17626	TPS_01333	TCM_01649	TCE_01348	TBI_01838	TPA_04678
HOG_16487	TPS_00389	TCM_01225	TCE_01105	TBI_00432	TPA_06145
HOG_16484	TPS_02733	TCM_00941	TCE_05534	TBI_08719	TPA_09226
HOG_3742	TPS_02283	TCM_00816	TCE_04952	TBI_00723	TPA_04330
HOG_13531	TPS_08844	TCM_08221	TCE_06094	TBI_10131	TPA_05636
HOG_22707	TPS_01035	TCM_01134	TCE_05914	TBI_04347	TPA_06797
HOG_22704	TPS_05285	TCM_03385	TCE_09904	TBI_13224	TPA_05117
HOG_19968	TPS_15065	TCM_08328	TCE_11007	TBI_12051	TPA_11222
HOG_19969	TPS_07703	TCM_03709	TCE_07161	TBI_06815	TPA_01050
HOG_16719	TPS_01312	TCM_09658	TCE_02154	TBI_10695	TPA_02392
HOG_19966	TPS_09545	TCM_10728	TCE_01812	TBI_00016	TPA_10699
HOG_16247	TPS_10496	TCM_01359	TCE_11679	TBI_13927	TPA_14330
HOG_16712	TPS_03039	TCM_03572	TCE_03156	TBI_05609	TPA_01997
HOG_16710	TPS_07888	TCM_08496	TCE_10245	TBI_08249	TPA_08956
HOG_22709	TPS_01465	TCM_05543	TCE_05063	TBI_03862	TPA_00407
HOG_16179	TPS_05821	TCM_04722	TCE_09415	TBI_08352	TPA_04290
HOG_2270	TPS_05922	TCM_06423	TCE_12620	TBI_12898	TPA_08025
HOG_2272	TPS_12552	TCM_05437	TCE_12604	TBI_05924	TPA_10276
HOG_11758	TPS_05717	TCM_02068	TCE_03216	TBI_03277	TPA_03879
HOG_19567	TPS_14895	TCM_03515	TCE_09548	TBI_08496	TPA_16233
HOG_20731	TPS_03505	TCM_06355	TCE_02036	TBI_05114	TPA_02546
HOG_20735	TPS_04124	TCM_01235	TCE_00973	TBI_04398	TPA_00803
HOG_20882	TPS_06225	TCM_01267	TCE_03415	TBI_08058	TPA_02515
HOG_20881	TPS_14037	TCM_13576	TCE_10644	TBI_10909	TPA_16231
HOG_20880	TPS_04895	TCM_01543	TCE_02747	TBI_04725	TPA_00724
HOG_2451	TPS_00967	TCM_00873	TCE_03289	TBI_02904	TPA_09762
HOG_17283	TPS_05759	TCM_03879	TCE_11163	TBI_09580	TPA_12034
HOG_17285	TPS_10606	TCM_10766	TCE_06948	TBI_10716	TPA_02683
HOG_17535	TPS_15562	TCM_11863	TCE_03518	TBI_11850	TPA_09725
HOG_21604	TPS_15438	TCM_04466	TCE_01918	TBI_05269	TPA_16427
HOG_21605	TPS_12459	TCM_08129	TCE_09857	TBI_07461	TPA_16378
HOG_21603	TPS_07821	TCM_09894	TCE_07215	TBI_04868	TPA_07556
HOG_171	TPS_02545	TCM_03791	TCE_06264	TBI_04832	TPA_00625
HOG_21601	TPS_02632	TCM_04135	TCE_03890	TBI_06452	TPA_01296
HOG_23158	TPS_01767	TCM_00666	TCE_04183	TBI_00526	TPA_00704
HOG_10502	TPS_03270	TCM_03060	TCE_04103	TBI_02416	TPA_02580
HOG_2056	TPS_04515	TCM_07613	TCE_09316	TBI_12956	TPA_09981
HOG_16806	TPS_01858	TCM_06643	TCE_04282	TBI_08724	TPA_06594
HOG_4820	TPS_03238	TCM_06273	TCE_03049	TBI_00539	TPA_00700
HOG_21930	TPS_09629	TCM_08682	TCE_11296	TBI_11960	TPA_06848
HOG_17225	TPS_03756	TCM_08953	TCE_07264	TBI_09891	TPA_11387
HOG_21286	TPS_08451	TCM_13119	TCE_02101	TBI_02053	TPA_03354
HOG_11626	TPS_03341	TCM_03307	TCE_00137	TBI_01129	TPA_09476
HOG_21938	TPS_02514	TCM_02394	TCE_01170	TBI_11369	TPA_15410
HOG_21939	TPS_15449	TCM_12799	TCE_09896	TBI_09983	TPA_16241
HOG_21289	TPS_15445	TCM_07275	TCE_13626	TBI_02372	TPA_14666
HOG_17004	TPS_10953	TCM_09144	TCE_08390	TBI_03742	TPA_03359
HOG_18941	TPS_05568	TCM_02332	TCE_04332	TBI_05176	TPA_02365
HOG_24092	TPS_02064	TCM_04773	TCE_09851	TBI_02570	TPA_10565
HOG_20088	TPS_10453	TCM_10408	TCE_11084	TBI_09895	TPA_08225
HOG_20086	TPS_02957	TCM_01415	TCE_01789	TBI_00440	TPA_05752
HOG_3527	TPS_15474	TCM_06803	TCE_09022	TBI_09986	TPA_15161
HOG_3525	TPS_00456	TCM_00773	TCE_02025	TBI_13959	TPA_16338
